dataset,rank,n_taxa,median_nominal,median_effective,median_top_share,frac_otus_in_top10pct_taxa
soil,Phylum,46,15.5,7.6362226964337845,0.2378388428248566,0.822996589940324
soil,Class,106,7.5,4.1783815755656,0.3749340243260431,0.8518755328218244
soil,Order,265,4,2.4452007354403693,0.5229636436260305,0.7682225063938619
soil,Family,479,3,2.1067557575123845,0.5812447502671508,0.7391304347826086
soil,Genus,1222,2,1.3047892710375444,0.8690914058709074,0.6877664109121909
ocean,Phylum,43,7,3.36605733675799,0.4371371447787601,0.8578115857226448
ocean,Class,76,4,2.556362410469719,0.5117420219430563,0.8715623171445289
ocean,Order,199,3,1.9332896339022638,0.631014998329217,0.7001170275014629
ocean,Family,328,2,1.7233190508955978,0.7163451436761945,0.700702165008777
ocean,Genus,796,2,1.1259701881415052,0.9405413981111124,0.5851375073142189
