Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
AACY020080403.492.1950,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Caldora,Caldora sp010672925,1.0
AALY01000002,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius_489642,Roseovarius nubinhibens,1.0
AAMO01000005,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola_C_490794,Pseudooceanicola_C_490794 batsensis,1.0
AAMT01000002,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,Maritimibacter alkaliphilus,1.0
AAOG01000005,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Polaribacter_A,Polaribacter_A irgensii,1.0
AAYA01000001,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata,1.0
AB002630,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Alteromonadaceae,Colwellia_A_665065,Colwellia_A_665065 piezophila,1.0
AB003623,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Roseateles_592282,Roseateles depolymerans,1.0
AB004714,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 luteum,1.0
AB004720,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 terrae,1.0
AB004721,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 lacticum,1.0
AB006711,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum,1.0
AB009457,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_E_647464,Pseudomonas_E_647464 monteilii,1.0
AB009933,Bacteria,Bacillota_I,Bacilli_A,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,1.0
AB009939,Bacteria,Bacillota_I,Bacilli_A,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,1.0
AB009941,Bacteria,Bacillota_I,Bacilli_A,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,1.0
AB010909,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Williamsia_A,Williamsia_A deligens,1.0
AB012595,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Gulosibacter,Gulosibacter bifidus,1.0
AB012648,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Mycetocola_B,Mycetocola_B saprophilus,1.0
AB013907,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 chocolatum,1.0
AB017203,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Kaistiaceae_504716,Prosthecomicrobium,Prosthecomicrobium pneumaticum,1.0
AB018439,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 oligophenolica,1.0
AB021188,Bacteria,Bacillota_I,Bacilli_A,Bacillales_D,Halobacillaceae,Salimicrobium,Salimicrobium jeotgali,1.0
AB021366,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Herbaspirillum,Herbaspirillum seropedicae,1.0
AB021367,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,Nitrincolaceae,Marinobacterium_D,Marinobacterium_D stanieri,1.0
AB021373,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_F_650324,Pseudomonas_F_650324 resinovorans_A,1.0
AB021376,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_F_650324,Pseudomonas_F_650228 anguilliseptica,1.0
AB021390,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Curvibacter_587305,Curvibacter lanceolatus,1.0
