"sample_id","depth","temperature","po4","no2","salinity","oxygen"
"37",57.622514,20.649431,0.78,0.16,35.544655,216.790338
"38",175.2568,13.014573,2.68,0.03,34.840218,0.70843
"39",5.479,25.2512,0.68,0.14,35.835267,200.233917
"40",45.659026,19.566255,1.86,1.2,34.900284,103.916711
"41",475.619375,9.195825,2.85,0.01,34.69255,4.42525
"42",5.4785,24.943108,1,0.32,34.748175,205.992583
"43",29.806808,26.532035,0.5,0.11,34.344808,203.127654
"44",376.367333,11.3158,2.58,0.02,34.79985,2.516667
"45",5.400583,27.617558,0.27,0.04,33.3676,198.635833
"46",48.691267,21.814577,0.93,0.41,35.066093,144.633667
"47",376.926537,10.2584,2.8,0,34.755346,1.27395
"48",5.464917,23.8683,0.75,0.31,35.0193,190.816333
"49",88.989575,19.881449,0.44,0.2,35.687249,211.54555
"50",347.146525,10.893125,2.73,0.01,34.698369,3.171063
"51",5.8897,22.76873,0.5,0.04,35.97144,208.8654
"52",153.5436,22.261435,0.11,0,35.939945,207.089325
"53",689.263312,5.791448,2.15,0.01,34.305001,199.248437
"54",5.43925,24.237467,0.14,0.01,36.453917,202.174583
"55",113.25225,24.69625,0.59,0.1,36.097575,179.916875
"56",594.575,7.212238,2.43,0.02,34.580675,38.115125
"57",5.8596,26.54413,0.57,0.12,35.3662,186.2407
"59",5.537917,26.576175,0.53,0.14,35.359483,189.758333
"58",147.9844,22.1151,0.66,1.47,35.88072,161.3185
"61",9.8985,26.518986,0.63,0.16,35.396729,190.724
"60",118.2815,25.221787,0.49,0.35,35.797875,175.895625
"63",5.456417,26.780158,0.56,0.19,35.427733,187.302833
"62",138.168625,23.706525,0.56,0.06,36.272675,160.4895
"64",41.657389,26.080233,0.55,0.28,35.135422,176.984778
"65",5.4465,26.074467,0.54,0.27,35.100467,179.86
"66",113.793163,15.284298,0.13,0.02,34.36909,225.501338
"67",545.5185,6.689724,1.22,0,34.000507,138.735952
"68",5.453417,25.173925,0.01,0,35.181842,197.682417
"69",47.21475,13.159842,0.46,0.08,33.241367,227.686042
"70",644.642237,4.936634,3.29,0,34.329655,8.57745
"71",5.4605,19.249733,0.29,0,33.099008,224.407583
"72",44.174167,18.594842,0.88,0.31,34.372667,95.411833
"73",370.969763,8.911481,2.95,0.01,34.586699,0.628413
"74",5.370667,26.4091,0.46,0.07,33.884425,195.126917
"75",58.102975,19.048358,1.11,0.83,34.611755,77.038525
"76",444.883637,8.210557,3.16,0.01,34.608434,0.78015
"77",5.352917,26.6362,0.16,0,33.407042,196.88275
"79",5.431667,27.119358,0.01,0,34.347208,195.523833
"80",123.712288,24.948842,0.02,0.02,36.172194,192.971638
"81",634.7514,9.756257,1.22,0,35.165658,108.240083
"82",5.443,24.96555,0,0.02,36.193733,194.2675
"83",585.697288,5.067239,1.47,0.01,34.969202,230.24915
"84",5.529083,14.11885,0.35,0.11,35.18335,233.859
"85",633.320325,11.012346,1.31,0,35.402185,138.0832
"86",11.6915,19.1288,0.02,0.22,36.4626,214.365
"87",246.368475,18.169021,0.18,0.03,36.563668,191.752575
