"sample_label","analysis_id","pangea_id"
"TARA_018_DCM_0.22-1.6",1,"TARA_S200000501"
"TARA_018_SRF_0.22-1.6",2,"TARA_A100000164"
"TARA_023_DCM_0.22-1.6",3,"TARA_E500000081"
"TARA_023_SRF_0.22-1.6",4,"TARA_E500000075"
"TARA_025_DCM_0.22-1.6",5,"TARA_E500000331"
"TARA_025_SRF_0.22-1.6",6,"TARA_E500000178"
"TARA_030_DCM_0.22-1.6",7,"TARA_A100001011"
"TARA_030_SRF_0.22-1.6",8,"TARA_A100001015"
"TARA_031_SRF_0.22-1.6",9,"TARA_A100001388"
"TARA_032_DCM_0.22-1.6",10,"TARA_A100001037"
"TARA_032_SRF_0.22-1.6",11,"TARA_A100001035"
"TARA_033_SRF_0.22-1.6",12,"TARA_A100001234"
"TARA_034_DCM_0.22-1.6",13,"TARA_B100000029"
"TARA_034_SRF_0.22-1.6",14,"TARA_B100000003"
"TARA_036_DCM_0.22-1.6",15,"TARA_B100000035"
"TARA_036_SRF_0.22-1.6",16,"TARA_Y100000022"
"TARA_037_MES_0.22-1.6",17,"TARA_B100000315"
"TARA_038_DCM_0.22-1.6",18,"TARA_B100000073"
"TARA_038_MES_0.22-1.6",19,"TARA_Y100000294"
"TARA_038_SRF_0.22-1.6",20,"TARA_Y100000287"
"TARA_039_DCM_0.22-1.6",21,"TARA_B100000085"
"TARA_039_MES_0.22-1.6",22,"TARA_Y100000031"
"TARA_041_DCM_0.22-1.6",23,"TARA_B100000287"
"TARA_041_SRF_0.22-1.6",24,"TARA_B100000282"
"TARA_042_DCM_0.22-1.6",25,"TARA_B100000131"
"TARA_042_SRF_0.22-1.6",26,"TARA_B100000123"
"TARA_045_SRF_0.22-1.6",27,"TARA_B100000161"
"TARA_048_SRF_0.22-1.6",28,"TARA_B100000242"
"TARA_004_DCM_0.22-1.6",29,"TARA_X000000368"
"TARA_004_SRF_0.22-1.6",30,"TARA_Y200000002"
"TARA_052_DCM_0.22-1.6",31,"TARA_B100000214"
"TARA_052_SRF_0.22-1.6",32,"TARA_B100000212"
"TARA_007_DCM_0.22-1.6",33,"TARA_A200000159"
"TARA_007_SRF_0.22-1.6",34,"TARA_A200000113"
"TARA_009_DCM_0.22-1.6",35,"TARA_X000001036"
"TARA_009_SRF_0.22-1.6",36,"TARA_X000000950"
"TARA_100_DCM_0.22-3",37,"TARA_B100000965"
"TARA_100_MES_0.22-3",38,"TARA_B100000959"
"TARA_100_SRF_0.22-3",39,"TARA_B100000963"
"TARA_102_DCM_0.22-3",40,"TARA_B100000902"
"TARA_102_MES_0.22-3",41,"TARA_B100000953"
"TARA_102_SRF_0.22-3",42,"TARA_B100000900"
"TARA_109_DCM_0.22-3",43,"TARA_B100000927"
