"sample_id","depth","temperature","po4","no2no3","si","no2","salinity","oxygen","pH","co2","co2_pp","co2_f","hco3","co3","carbon_total","alkalinity_total","calcite_saturation_state","aragonite_saturation_state"
"37",57.622514,20.649431,0.78,5.7,1.9,0.16,35.544655,216.790338,NA,NA,NA,NA,0,0.0099,0.0096,0.0061,0,0.002
"38",175.2568,13.014573,2.68,23.9,19.6,0.03,34.840218,0.70843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",5.479,25.2512,0.68,6.2,1.2,0.14,35.835267,200.233917,NA,NA,NA,NA,0,0.0049,0.0066,0.0017,0,8e-04
"40",45.659026,19.566255,1.86,24.4,10.5,1.2,34.900284,103.916711,NA,NA,NA,NA,0,0.038,0.018,0.0334,0.0036,0.0123
"41",475.619375,9.195825,2.85,39.2,40.6,0.01,34.69255,4.42525,NA,NA,NA,NA,0,0,0,0,0,0
"42",5.4785,24.943108,1,12.6,5,0.32,34.748175,205.992583,7.905094,16.56381,585.365934,583.524493,0,0.00475,0.00655,0.0104,0,0.0105
"43",29.806808,26.532035,0.5,4.6,3.2,0.11,34.344808,203.127654,NA,NA,NA,NA,0,0.0234,0.013,0.0195,0,0.01
"44",376.367333,11.3158,2.58,35.3,36.3,0.02,34.79985,2.516667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",5.400583,27.617558,0.27,0.9,1.7,0.04,33.3676,198.635833,8.021784,10.944395,409.791925,408.543322,0,0.00275,0.004,0.005,0,0.00545
"46",48.691267,21.814577,0.93,10.7,6,0.41,35.066093,144.633667,NA,NA,NA,NA,0,0.0316,0.0291,0.005,0,0.0022
"47",376.926537,10.2584,2.8,38.1,35,0,34.755346,1.27395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",5.464917,23.8683,0.75,8.2,3.9,0.31,35.0193,190.816333,7.484872,50.225139,1724.757588,1719.253263,0,0.00855,0.0125,0,0,0.00155
"49",88.989575,19.881449,0.44,0.93,0.9,0.2,35.687249,211.54555,NA,NA,NA,NA,0,0.0141,0.0035,0.0047,0,8e-04
"50",347.146525,10.893125,2.73,34.61,26,0.01,34.698369,3.171063,NA,NA,NA,NA,0,0,0,0,0,0
"51",5.8897,22.76873,0.5,2.68,1,0.04,35.97144,208.8654,8.049736,12.099805,405.640381,404.327962,0,0.0041,0.0027,0,0,0
"52",153.5436,22.261435,0.11,0.02,0.7,0,35.939945,207.089325,NA,NA,NA,NA,0,0.0104,0.0011,0,0,0
"53",689.263312,5.791448,2.15,31.46,20.6,0.01,34.305001,199.248437,NA,NA,NA,NA,0,0,0,0,0,0
"54",5.43925,24.237467,0.14,0.03,0.8,0.01,36.453917,202.174583,7.793725,22.327772,778.162264,775.687644,0,0.0018,0,0,0,0
"55",113.25225,24.69625,0.59,2.8,1.8,0.1,36.097575,179.916875,NA,NA,NA,NA,0,0.0107,0.0028,0.0093,0,0.00165
"56",594.575,7.212238,2.43,34.63,22.49,0.02,34.580675,38.115125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",5.8596,26.54413,0.57,5.46,2.19,0.12,35.3662,186.2407,7.470711,48.966505,1801.446465,1795.880934,0,0.0045,0.0041,0.003,0,0.0012
"59",5.537917,26.576175,0.53,4.9,2.22,0.14,35.359483,189.758333,8.012428,11.921045,439.081584,437.725871,0.0036,0.01,0.0092,0.0023,0.00155,6e-04
"58",147.9844,22.1151,0.66,5.43,1.19,1.47,35.88072,161.3185,NA,NA,NA,NA,0.002,0.006175,0.000925,0.0025,0,0.00035
"61",9.8985,26.518986,0.63,6.18,2.52,0.16,35.396729,190.724,7.870713,17.599899,646.697247,644.698081,0.00774,0.01821,0.01184,0.00937,0.00386,0.00435
"60",118.2815,25.221787,0.49,1.21,1.47,0.35,35.797875,175.895625,NA,NA,NA,NA,0,0.00975,0.00185,0.00585,0,0.00105
"63",5.456417,26.780158,0.56,3.73,1.8,0.19,35.427733,187.302833,8.015136,11.793852,436.548929,435.204126,0,0.0077,0.0029,0.0032,0,6e-04
"62",138.168625,23.706525,0.56,3.15,1.34,0.06,36.272675,160.4895,NA,NA,NA,NA,0,0.0025,4e-04,0,0,0
"64",41.657389,26.080233,0.55,5.26,2.74,0.28,35.135422,176.984778,NA,NA,NA,NA,0,0.0203,0.0082,0.0036,0,0.002
"65",5.4465,26.074467,0.54,5.08,2.67,0.27,35.100467,179.86,NA,NA,NA,NA,0,0.0127,0.0061,0.0015,0,0.0013
"66",113.793163,15.284298,0.13,0.05,4.45,0.02,34.36909,225.501338,NA,NA,NA,NA,0,0.041,0.0099,0.0055,9e-04,0.0011
"67",545.5185,6.689724,1.22,17.49,22.34,0,34.000507,138.735952,NA,NA,NA,NA,0,0,0,0,0,0
"68",5.453417,25.173925,0.01,0.01,2.43,0,35.181842,197.682417,NA,NA,NA,NA,0,0.0035,0.0024,0,0,7e-04
"69",47.21475,13.159842,0.46,1.3,2.84,0.08,33.241367,227.686042,NA,NA,NA,NA,0,0.10295,0.03465,0.0169,0.00685,0.00555
"70",644.642237,4.936634,3.29,44.24,113.32,0,34.329655,8.57745,NA,NA,NA,NA,0,0,0,0,0,0
"71",5.4605,19.249733,0.29,0.02,1.91,0,33.099008,224.407583,NA,NA,NA,NA,0,0.01845,0.00805,0.0022,0.00045,0.0025
"72",44.174167,18.594842,0.88,6.05,4.66,0.31,34.372667,95.411833,NA,NA,NA,NA,0,0.0606,0.0228,0.0238,0.0051,0.0066
"73",370.969763,8.911481,2.95,34.55,46.62,0.01,34.586699,0.628413,NA,NA,NA,NA,0,0,0,0,0,0
"74",5.370667,26.4091,0.46,2.44,2.54,0.07,33.884425,195.126917,7.994835,12.327003,448.50297,447.114982,0,0.0118,0.0081,0.0044,0,0.0022
"75",58.102975,19.048358,1.11,12.9,8.07,0.83,34.611755,77.038525,NA,NA,NA,NA,0,0.0475,0.0132,0.0089,0.0018,0.0027
"76",444.883637,8.210557,3.16,36.22,52.92,0.01,34.608434,0.78015,NA,NA,NA,NA,0,0,0.0018,0,0,0
"77",5.352917,26.6362,0.16,0,1.19,0,33.407042,196.88275,8.070004,9.803891,356.94714,355.844759,0,0.0059,0.0032,0,0,8e-04
"78",5.41025,26.62925,0.08,0,0.54,0,28.919008,205.2885,8.078013,9.035155,321.70056,320.706913,0,0.01655,0.04365,0.0037,0.00445,0.0054
"79",5.431667,27.119358,0.01,0,2.93,0,34.347208,195.523833,8.06296,9.964816,369.57032,368.436099,NA,NA,NA,NA,NA,NA
"80",123.712288,24.948842,0.02,0.06,1.17,0.02,36.172194,192.971638,NA,NA,NA,NA,0,0.041,0.0189,0.001,0.0019,6e-04
