"sample_id","latitude","longitude"
"37",-12.994483,-95.9855
"38",-12.931623,-96.11851
"39",-12.994483,-95.9855
"40",-5.269667,-85.228733
"41",-5.266542,-85.223467
"42",-5.252333,-85.160983
"43",2.076667,-84.520283
"44",2.065494,-84.542422
"45",1.992817,-84.576617
"46",-1.837817,-84.632283
"47",-1.866842,-84.619671
"48",-2.009,-84.589683
"49",-16.961946,-100.696296
"50",-16.956762,-100.658613
"51",-16.9604,-100.6302
"52",-23.192692,-129.538283
"53",-23.200517,-129.6376
"54",-23.280967,-129.395067
"55",-8.978858,-139.197825
"56",-8.992925,-139.2318
"57",-8.989917,-139.213083
"59",-8.90655,-140.284017
"58",-8.904057,-140.285333
"61",-9.109658,-140.5761
"60",-9.067362,-140.619879
"63",-8.911133,-142.557083
"62",-8.899696,-142.582492
"64",0.000467,-153.67545
"65",-0.000383,-153.67885
"66",31.503087,-159.063771
"67",31.530844,-159.015522
"68",31.5206,-158.9975
"69",35.41715,-127.694733
"70",35.314517,-127.737879
"71",35.406833,-127.74315
"72",14.1749,-116.7071
"73",14.174271,-116.660225
"74",14.2022,-116.629067
"75",6.336983,-102.9801
"76",6.369046,-103.069029
"77",6.3332,-102.943217
"78",7.411717,-79.302583
"79",9.849067,-80.0384
"80",25.656496,-88.470725
"81",25.630994,-88.443983
"82",25.510083,-88.383033
"83",39.187971,-70.076283
"84",39.23015,-70.032517
"85",34.633667,-71.260317
"86",34.6775,-71.302333
"87",34.016071,-56.866504
"88",31.696217,-64.247217
"89",34.097089,-49.781372
"90",34.096367,-49.890617
"91",35.751167,-37.051233
"92",35.90705,-37.26095
"93",36.194437,-28.882892
"94",36.155767,-29.0089
"96",43.736161,-16.880306
"97",43.6876,-16.851517
"95",43.790367,-16.887067
"1",35.76055,14.25215
"2",35.757733,14.260883
"3",42.174367,17.719383
"4",42.20535,17.714017
"5",39.40855,19.380733
"6",39.387717,19.390967
"7",33.925292,32.774146
"8",33.91795,32.894367
"9",27.155,34.83
"10",23.38,37.291667
"11",23.36,37.218333
"12",21.98,38.235
"13",18.398333,39.861667
"14",18.396667,39.876667
"15",20.81755,63.512117
"16",20.818333,63.50465
"17",20.826027,63.605667
"18",19.025767,64.622667
"19",19.012958,64.568194
"20",19.038633,64.493667
"21",18.570217,66.486117
"22",18.722622,66.361228
"29",36.573,-6.538667
"30",36.553333,-6.566833
"23",14.56,70.011667
"24",14.5954,69.981
"25",5.999683,73.901517
"26",6.031333,73.89415
"27",0.004567,71.64395
"28",-9.392117,66.4236
"31",-16.959783,54.013367
"32",-16.957033,53.985183
"98",-15.33795,43.2948
"99",-15.33795,43.2948
"100",-17.023783,42.741517
"101",-17.318917,42.285267
"102",-21.375317,39.563317
"103",-29.543567,37.9356
"104",-29.506283,37.942617
"105",-29.502217,37.9904
"106",-35.246808,26.309575
"107",-35.233875,26.326342
"108",-35.188867,26.28905
"109",-34.893308,18.072967
"110",-34.936267,17.936583
"111",-32.2315,17.708283
"112",-31.0302,4.687867
"113",-31.03542,4.640597
"114",-31.0302,4.687867
"33",37.038683,1.949833
"34",37.021067,1.949467
"115",-20.366944,-3.217333
"116",-20.436833,-3.18585
"117",-8.702583,-17.93975
"118",-8.796808,-17.905421
"119",-8.776367,-17.912733
"120",-21.045633,-35.368772
"121",-20.951596,-35.220442
"122",-20.940633,-35.195967
"123",-30.146556,-43.253761
"124",-30.146783,-43.2916
"125",-30.13815,-43.289967
"126",-47.21295,-58.059433
"127",-47.184717,-58.295033
"128",-60.232367,-60.6451
"129",-62.243679,-49.182663
"130",-61.976275,-49.452633
"131",-62.034883,-49.5383
"35",39.0734,5.859833
"36",39.0734,5.859833
"132",-33.879233,-73.04655
"133",-34.0487,-73.084267
"134",-32.784758,-87.085217
"135",-29.723767,-101.160367
"136",-25.850863,-111.772623
"137",-25.815117,-111.742093
"138",-25.825233,-111.775683
"139",-21.146467,-104.792617
