"canonical_direction","var","fold","value"
1,"ABY1",1,-0.00700079958073118
1,"Acidimicrobiia_401430",1,-0.213647305908663
1,"Acidimicrobiia_402965",1,0.144719230537963
1,"Actinomycetes",1,-0.0755128900088466
1,"Alphaproteobacteria",1,0.200629372759152
1,"Anaerolineae",1,-0.0683847957912225
1,"Babeliae",1,-0.0465466704289237
1,"Bacilli_A",1,-0.0704663594384835
1,"Bacteriovoracia",1,0.0635927218403551
1,"Bacteroidia",1,0.105737361826648
1,"Bathyarchaeia",1,-0.0681142832608008
1,"Bdellovibrionia",1,-0.0478717889901417
1,"Binatia",1,-0.191254946581519
1,"Bradymonadia",1,0.0475357365079524
1,"Brocadiia",1,-0.0594342153617972
1,"Campylobacteria",1,0.0304961403251235
1,"Chlamydiia",1,0.012314997434146
1,"Chlorobiia",1,-0.0710103024800704
1,"Clostridia_258483",1,0.0252053841491689
1,"Cyanobacteriia",1,0.174462328328059
1,"Dehalococcoidia",1,-0.108318865142352
1,"Deinococci",1,0.0185041166524812
1,"Desulfobacteria",1,-0.0682819323228369
1,"Desulfobulbia",1,-0.0673549098338733
1,"Desulfovibrionia",1,0.0260621822296457
1,"Desulfuromonadia",1,-0.0693185452220294
1,"EX4484-52",1,-0.0634366927770242
1,"Gammaproteobacteria",1,-0.0536693696091224
1,"Gemmatimonadetes",1,-0.176028959690307
1,"Gracilibacteria_12420",1,-0.0844926991403783
1,"Halobacteria",1,-0.0228109065335262
1,"Hydrogenedentia",1,-0.0654217204270616
1,"Hydrothermarchaeia",1,-0.0623233615190133
1,"Ignavibacteria",1,0.0234509381842153
1,"Kiritimatiellia",1,0.0375498533220905
1,"Latescibacteria",1,-0.138182737749919
1,"Lentisphaeria",1,-0.0602068942410937
1,"Leptospirae",1,0.0326924698762445
1,"Leptospirillia",1,-0.0829622242261156
1,"Marinamargulisbacteria",1,0.038846111100065
1,"Marinisomatia",1,-0.144535300764737
1,"Methanobacteria",1,-0.262940006254865
1,"Methanosarcinia",1,-0.259630437104967
1,"Nanoarchaeia",1,-0.0784890284108759
1,"Nitrososphaeria_A",1,-0.245044504281028
1,"Nitrospinia",1,-0.190883559960307
1,"Nitrospiria",1,-0.0459555940921499
1,"Oligoflexia",1,0.00541078300898847
1,"Paceibacteria",1,-0.163972118986997
1,"Phycisphaerae",1,-0.0235337019562326
1,"Planctomycetia",1,0.00416944899725967
1,"Polyangia_463783",1,-0.0142202153850467
1,"Poseidoniia",1,0.030153419823684
1,"Rhodothermia",1,0.0102828345752091
1,"SAR324",1,-0.243207921771472
1,"Saccharimonadia",1,-0.11491752051318
1,"Spirochaetia",1,-0.0166055957991849
1,"Terriglobia",1,-0.113493616445673
1,"Thermosulfidibacteria",1,0.0395457022238775
1,"UBA1135",1,-0.119449932625173
1,"UBA1144",1,0.100748888891606
1,"UBA1551",1,0.0128928129881541
1,"UBA2968",1,-0.142987349233335
1,"UBA6911",1,-0.197295745507215
1,"UBA796",1,-0.015387622128472
1,"UBA8108",1,-0.230620162591236
1,"UBA8248",1,-0.140805220255674
1,"UBA9160",1,-0.207915009814052
1,"Unassigned",1,0.0022774174480225
1,"Vampirovibrionia",1,0.0264035424510395
1,"Verrucomicrobiae",1,-0.0447860671755218
1,"Vicinamibacteria",1,-0.206329624573786
1,"WGA-4E",1,-0.149674202816358
1,"WYAZ01",1,-0.00524748477384812
1,"XYA12-FULL-58-9",1,-0.104580561115095
1,"Xenobia",1,-0.0470180505779346
4,"ABY1",1,-0.216934331125601
4,"Acidimicrobiia_401430",1,-0.185729490226082
4,"Acidimicrobiia_402965",1,-0.105751918020596
4,"Actinomycetes",1,0.124361080001226
4,"Alphaproteobacteria",1,-0.0352786054838887
4,"Anaerolineae",1,-0.108130943961071
4,"Babeliae",1,-0.243067191582595
4,"Bacilli_A",1,0.118861015036741
4,"Bacteriovoracia",1,-0.0875258796243304
4,"Bacteroidia",1,0.116701487578404
4,"Bathyarchaeia",1,-0.166812032289078
4,"Bdellovibrionia",1,-0.0841027455151383
4,"Binatia",1,0.200828104378062
4,"Bradymonadia",1,0.0050386216069369
4,"Brocadiia",1,-0.247061436542757
4,"Campylobacteria",1,0.0138274775640212
4,"Chlamydiia",1,0.0309687344168409
4,"Chlorobiia",1,-0.0736239882011963
4,"Clostridia_258483",1,-0.0248068721294577
4,"Cyanobacteriia",1,0.0537623625882961
4,"Dehalococcoidia",1,0.0958491382581247
4,"Deinococci",1,-0.0859749661493878
4,"Desulfobacteria",1,-0.283964213791712
4,"Desulfobulbia",1,-0.0537692460487322
4,"Desulfovibrionia",1,-0.0218164227863762
4,"Desulfuromonadia",1,-0.0910052676223424
4,"EX4484-52",1,-0.0974132420400206
4,"Gammaproteobacteria",1,0.0667648046803825
4,"Gemmatimonadetes",1,0.10767181331526
4,"Gracilibacteria_12420",1,-0.211394216532514
4,"Halobacteria",1,0.0233523007067357
4,"Hydrogenedentia",1,0.0822339011106443
4,"Hydrothermarchaeia",1,-0.249287575674752
4,"Ignavibacteria",1,-0.0108414651613286
4,"Kiritimatiellia",1,0.0589016703572953
4,"Latescibacteria",1,-0.0234851607578165
4,"Lentisphaeria",1,0.0498229941173852
4,"Leptospirae",1,-0.0153221300920883
4,"Leptospirillia",1,-0.183153370043521
4,"Marinamargulisbacteria",1,-0.0370786245949194
4,"Marinisomatia",1,-0.208820390028448
4,"Methanobacteria",1,0.114320659456601
4,"Methanosarcinia",1,0.0998227096392119
4,"Nanoarchaeia",1,-0.225321720683764
4,"Nitrososphaeria_A",1,0.0734824756302371
4,"Nitrospinia",1,-0.102909999530663
4,"Nitrospiria",1,0.0518483035127706
4,"Oligoflexia",1,-0.0665011123520565
4,"Paceibacteria",1,0.0588091068381575
4,"Phycisphaerae",1,-0.167058838690228
4,"Planctomycetia",1,0.0174268136865604
