"canonical_direction","var","fold","value"
1,"depth",1,-0.919793502216351
1,"temperature",1,0.21248632464126
1,"po4",1,0.0192021159839118
1,"no2",1,-0.0873809911698304
1,"salinity",1,-0.0458532686733154
1,"oxygen",1,0.314201836399661
4,"depth",1,0.589009046544424
4,"temperature",1,0.0521535931007668
4,"po4",1,-0.177730132681458
4,"no2",1,-0.349486613285779
4,"salinity",1,-0.0750702258780826
4,"oxygen",1,0.700702443318981
3,"depth",1,-0.637941888388665
3,"temperature",1,-0.41457483682849
3,"po4",1,0.60466332612507
3,"no2",1,-0.121315045257498
3,"salinity",1,-0.0570867453987199
3,"oxygen",1,0.193814026946078
6,"depth",1,0.290487404902069
6,"temperature",1,-0.273694880676279
6,"po4",1,-0.216156046119636
6,"no2",1,0.700108345602756
6,"salinity",1,0.284706953568859
6,"oxygen",1,0.47199046454107
2,"depth",1,0.347449584251318
2,"temperature",1,0.591957887702362
2,"po4",1,0.161274989433667
2,"no2",1,0.248046232162386
2,"salinity",1,-0.568314801382458
2,"oxygen",1,0.344015081956264
5,"depth",1,0.183768162532322
5,"temperature",1,0.529711203387924
5,"po4",1,0.673261945009532
5,"no2",1,-0.015173892715487
5,"salinity",1,0.227970003362506
5,"oxygen",1,0.424444445591589
1,"depth",2,-0.894828445328503
1,"temperature",2,0.230559430576734
1,"po4",2,0.0452647455723098
1,"no2",2,-0.0942644527555406
1,"salinity",2,-0.01979798421282
1,"oxygen",2,0.367148141734624
4,"depth",2,0.561161387668459
4,"temperature",2,-0.0040621728075887
4,"po4",2,-0.153789891218222
4,"no2",2,-0.471805737894269
4,"salinity",2,-0.106284153662819
4,"oxygen",2,0.653860145192687
3,"depth",2,-0.600755098351656
3,"temperature",2,-0.306983600106077
3,"po4",2,0.682019871610449
3,"no2",2,-0.102128426899099
3,"salinity",2,-0.0571812907686101
3,"oxygen",2,0.256911191278274
6,"depth",2,0.213336753616804
6,"temperature",2,-0.463160557755255
6,"po4",2,-0.219468661166614
6,"no2",2,0.592102717723881
6,"salinity",2,0.419289607627096
6,"oxygen",2,0.406710991567388
2,"depth",2,0.422241078056164
2,"temperature",2,0.545225213124674
2,"po4",2,0.101594263359689
2,"no2",2,0.350418641523128
2,"salinity",2,-0.475391511699234
2,"oxygen",2,0.406608203194336
5,"depth",2,0.204052258377595
5,"temperature",2,0.549826635520491
5,"po4",2,0.661342547242629
5,"no2",2,-0.0222001469486718
5,"salinity",2,0.23034371795289
5,"oxygen",2,0.406359824545868
1,"depth",3,-0.949268819292797
1,"temperature",3,0.170369395134035
1,"po4",3,-0.0846200586959758
1,"no2",3,-0.0717877425757453
1,"salinity",3,-0.071709485578919
1,"oxygen",3,0.228925082243728
4,"depth",3,0.407158563175608
4,"temperature",3,-0.195395464390704
4,"po4",3,-0.313693620357438
4,"no2",3,-0.494680979837056
4,"salinity",3,-0.204266449275281
4,"oxygen",3,0.641252505151658
3,"depth",3,-0.551817529310585
3,"temperature",3,-0.133615262340213
3,"po4",3,0.762495578259955
3,"no2",3,-0.131298484995692
3,"salinity",3,-0.0340450362121886
3,"oxygen",3,0.279009878851056
6,"depth",3,0.127758518484941
6,"temperature",3,-0.479144280333391
6,"po4",3,-0.145244903662059
6,"no2",3,0.620766157633408
6,"salinity",3,0.374464995648949
6,"oxygen",3,0.455442402625422
2,"depth",3,0.386411961466433
2,"temperature",3,0.568844983457513
2,"po4",3,0.142919867989724
2,"no2",3,0.298753205496392
2,"salinity",3,-0.52448976703863
2,"oxygen",3,0.377269265435284
5,"depth",3,0.204541445312167
5,"temperature",3,0.552286823689409
5,"po4",3,0.644654306266045
5,"no2",3,-0.0375746208952793
5,"salinity",3,0.220703149350098
5,"oxygen",3,0.432944747829145
1,"depth",4,-0.890258807615933
1,"temperature",4,0.258793106628757
1,"po4",4,0.0571183865969291
1,"no2",4,-0.0875075983415045
1,"salinity",4,-0.0285713528360106
1,"oxygen",4,0.358788198476316
4,"depth",4,0.508721962712688
4,"temperature",4,-0.0215880325168876
4,"po4",4,-0.104930021055484
4,"no2",4,-0.461498642025622
4,"salinity",4,-0.103738657851724
4,"oxygen",4,0.711324754569054
3,"depth",4,-0.664773645998406
3,"temperature",4,-0.366040781669556
3,"po4",4,0.619594572728713
3,"no2",4,-0.111212297683028
3,"salinity",4,-0.0206756498000408
3,"oxygen",4,0.165520553210947
6,"depth",4,0.313330436752035
6,"temperature",4,-0.189981051512069
6,"po4",4,-0.12898316467557
6,"no2",4,0.715232646719116
6,"salinity",4,0.183492486289225
6,"oxygen",4,0.551241643241862
2,"depth",4,0.272123687760497
2,"temperature",4,0.603748764345401
2,"po4",4,0.21934499070402
2,"no2",4,0.175407259066871
2,"salinity",4,-0.622908890368051
2,"oxygen",4,0.307474732183269
5,"depth",4,0.179893392314175
5,"temperature",4,0.546510553257737
5,"po4",4,0.672061363713767
5,"no2",4,-0.0152400757170457
5,"salinity",4,0.215341917847244
5,"oxygen",4,0.41315094637774
1,"depth",5,-0.896150290996518
1,"temperature",5,0.234262817390378
1,"po4",5,0.0071591077460608
1,"no2",5,-0.157895114521478
1,"salinity",5,-0.0330623302363246
1,"oxygen",5,0.340529515080634
4,"depth",5,0.582891956950117
4,"temperature",5,0.0377867833315851
4,"po4",5,-0.173781568079961
4,"no2",5,-0.524663940243517
4,"salinity",5,-0.12038170922659
4,"oxygen",5,0.58210401649174
3,"depth",5,-0.593217093198485
3,"temperature",5,-0.354797463821588
3,"po4",5,0.658341704815339
3,"no2",5,-0.0811845900826246
3,"salinity",5,-0.0295632277072646
3,"oxygen",5,0.285190318216425
6,"depth",5,0.42899520378602
6,"temperature",5,-0.0690022595609334
6,"po4",5,-0.0965807696050055
6,"no2",5,0.652889664716957
6,"salinity",5,0.210559050099433
6,"oxygen",5,0.5755640106657
2,"depth",5,0.302945017562867
2,"temperature",5,0.657655539815361
2,"po4",5,0.258537371123952
2,"no2",5,0.164494407188922
2,"salinity",5,-0.535640964973024
2,"oxygen",5,0.308062139287918
5,"depth",5,0.188191429079966
5,"temperature",5,0.53565766627527
5,"po4",5,0.679457294951821
5,"no2",5,-0.042865121722794
5,"salinity",5,0.238454804056128
5,"oxygen",5,0.396603735081213
1,"depth",6,-0.897376662612322
1,"temperature",6,0.239162597518179
1,"po4",6,0.00903900976415718
1,"no2",6,-0.08139061518199
1,"salinity",6,-0.0226275434741634
1,"oxygen",6,0.360968469102545
4,"depth",6,0.547530994975922
4,"temperature",6,0.00795620106283807
4,"po4",6,-0.152768493195137
4,"no2",6,-0.426485520646857
4,"salinity",6,-0.0934874543982419
4,"oxygen",6,0.697265008759889
3,"depth",6,-0.642853909441106
3,"temperature",6,-0.33201667811114
3,"po4",6,0.641544545070326
3,"no2",6,-0.157458367681716
3,"salinity",6,-0.0307079922200621
3,"oxygen",6,0.197960235713288
6,"depth",6,0.299581028977338
6,"temperature",6,-0.111597272974754
6,"po4",6,-0.0350705937052711
6,"no2",6,0.712722921592759
6,"salinity",6,0.031516870618869
6,"oxygen",6,0.622575323235118
2,"depth",6,0.250600037098558
2,"temperature",6,0.688961664726079
2,"po4",6,0.282250752560894
2,"no2",6,0.0409764346679013
2,"salinity",6,-0.56234396220201
2,"oxygen",6,0.254864981116929
5,"depth",6,0.198539731348203
5,"temperature",6,0.535152110575856
5,"po4",6,0.662874079603641
5,"no2",6,-0.0149269751716974
5,"salinity",6,0.253332701972584
5,"oxygen",6,0.412785508146191
1,"depth",7,-0.926007446602043
1,"temperature",7,0.192774349602463
1,"po4",7,-0.0823511106772382
1,"no2",7,-0.10578285826691
1,"salinity",7,-0.0658413319593085
1,"oxygen",7,0.288169150753242
4,"depth",7,0.55237850210895
4,"temperature",7,-0.00673517155699078
4,"po4",7,-0.0741446658999387
4,"no2",7,-0.431087157732048
4,"salinity",7,-0.102683005424396
4,"oxygen",7,0.70210772622588
3,"depth",7,-0.658191813579736
3,"temperature",7,-0.347687323574995
3,"po4",7,0.636574986233551
3,"no2",7,-0.088028740715778
3,"salinity",7,-0.00870341705582402
3,"oxygen",7,0.181230626007793
6,"depth",7,0.296391454445796
6,"temperature",7,-0.276077942942698
6,"po4",7,-0.170852704685634
6,"no2",7,0.661281204563498
6,"salinity",7,0.357260159472422
6,"oxygen",7,0.491746657739965
2,"depth",7,0.343725755312763
2,"temperature",7,0.604812031784723
2,"po4",7,0.251787371089981
2,"no2",7,0.244901098267971
2,"salinity",7,-0.488009768181768
2,"oxygen",7,0.393100558800188
5,"depth",7,0.14372738028949
5,"temperature",7,0.537197794390929
5,"po4",7,0.685655352167339
5,"no2",7,-0.0441690558115951
5,"salinity",7,0.257543051027128
5,"oxygen",7,0.390331114923309
1,"depth",8,-0.928021996604512
1,"temperature",8,0.215983564135369
1,"po4",8,0.0652992672032821
1,"no2",8,-0.109231964243132
1,"salinity",8,0.0019814661159571
1,"oxygen",8,0.27554805628763
4,"depth",8,0.277272036827295
4,"temperature",8,-0.126020508926112
4,"po4",8,0.0543802312282144
4,"no2",8,-0.602882775692832
4,"salinity",8,-0.0829062180124957
4,"oxygen",8,0.730712499662476
3,"depth",8,-0.629081818676391
3,"temperature",8,-0.373867824582683
3,"po4",8,0.653685453401254
3,"no2",8,0.0361446809698531
3,"salinity",8,0.0601168896441828
3,"oxygen",8,0.179593331672728
6,"depth",8,-0.145678062103167
6,"temperature",8,-0.662685536958756
6,"po4",8,-0.416913536851803
6,"no2",8,0.0310245842935242
6,"salinity",8,0.547256852008023
6,"oxygen",8,-0.255648777069153
2,"depth",8,0.472127787972351
2,"temperature",8,-0.0270965900696749
2,"po4",8,-0.391983871555721
2,"no2",8,0.609287008684462
2,"salinity",8,-0.128022988081894
2,"oxygen",8,0.484860007261934
5,"depth",8,0.25078121338476
5,"temperature",8,0.528186440189881
5,"po4",8,0.618868139004407
5,"no2",8,0.028673842324279
5,"salinity",8,0.276230063973072
5,"oxygen",8,0.444977366235436
1,"depth",9,-0.874864491879088
1,"temperature",9,0.277247153414357
1,"po4",9,0.122107007923397
1,"no2",9,-0.0617647515703629
1,"salinity",9,0.0133020584593008
1,"oxygen",9,0.37261801632902
4,"depth",9,0.657022889044304
4,"temperature",9,0.238417587378299
4,"po4",9,-0.678575976736205
4,"no2",9,0.215091691745766
4,"salinity",9,0.0139814455926697
4,"oxygen",9,-0.0674737313194988
3,"depth",9,0.361300375937512
3,"temperature",9,-0.189180004005602
3,"po4",9,0.0932862830855735
3,"no2",9,-0.114886959708933
3,"salinity",9,0.0371011283866389
3,"oxygen",9,0.900219488003457
6,"depth",9,0.260679107839394
6,"temperature",9,0.391175412229591
6,"po4",9,0.0781332364306373
6,"no2",9,0.573469242677349
6,"salinity",9,-0.602050451950868
6,"oxygen",9,0.285642570316057
2,"depth",9,0.110528422811778
2,"temperature",9,0.460228541953901
2,"po4",9,0.071261051870547
2,"no2",9,-0.754513484461179
2,"salinity",9,-0.448693989688494
2,"oxygen",9,0.0166770738351132
5,"depth",9,0.245582004853686
5,"temperature",9,0.571679613221431
5,"po4",9,0.639361125112908
5,"no2",9,0.024258485081674
5,"salinity",9,0.200482083384125
5,"oxygen",9,0.404113487224689
1,"depth",10,-0.913495131291174
1,"temperature",10,0.232836704009557
1,"po4",10,0.0154300403642629
1,"no2",10,-0.102144794419736
1,"salinity",10,-0.0136255871420077
1,"oxygen",10,0.316948596109258
4,"depth",10,0.527397014234001
4,"temperature",10,0.00667975985376647
4,"po4",10,-0.0862131053684116
4,"no2",10,-0.44971950349108
4,"salinity",10,-0.106217791989762
4,"oxygen",10,0.707704189257524
3,"depth",10,-0.672847653250716
3,"temperature",10,-0.393313292090453
3,"po4",10,0.587308861472327
3,"no2",10,-0.130112387175341
3,"salinity",10,-0.0322713356186811
3,"oxygen",10,0.172273963839501
6,"depth",10,0.318590472212139
6,"temperature",10,-0.186280333565069
6,"po4",10,-0.122014844923992
6,"no2",10,0.716566108601371
6,"salinity",10,0.0891347394238543
6,"oxygen",10,0.572276276104852
2,"depth",10,0.252476980865473
2,"temperature",10,0.620475158583751
2,"po4",10,0.197503998886378
2,"no2",10,0.117471181929181
2,"salinity",10,-0.664218117716505
2,"oxygen",10,0.239317645924237
5,"depth",10,0.167067778056388
5,"temperature",10,0.528626998025349
5,"po4",10,0.681567413363257
5,"no2",10,-0.0139091949282032
5,"salinity",10,0.219540867588413
5,"oxygen",10,0.423929306949053
1,"depth",11,-0.892589965999214
1,"temperature",11,0.249668873798156
1,"po4",11,0.0698729786733532
1,"no2",11,-0.131873291555196
1,"salinity",11,-0.0113159090215
1,"oxygen",11,0.344307650339941
4,"depth",11,0.370219068650826
4,"temperature",11,-0.0885805815815729
4,"po4",11,0.0316701772413153
4,"no2",11,-0.613148454449516
4,"salinity",11,-0.0901412762174403
4,"oxygen",11,0.685574098676102
3,"depth",11,-0.690904851604418
3,"temperature",11,-0.41542618052196
3,"po4",11,0.577749556367537
3,"no2",11,-0.0160203516171126
3,"salinity",11,-0.0278208229943377
3,"oxygen",11,0.12347621157741
6,"depth",11,0.484608646183184
6,"temperature",11,0.138743729261002
6,"po4",11,-0.0399380452101831
6,"no2",11,0.586648905896269
6,"salinity",11,0.0312983907549649
6,"oxygen",11,0.63180144201078
2,"depth",11,0.210962429988302
2,"temperature",11,0.658975953141402
2,"po4",11,0.234429456466927
2,"no2",11,0.0175333501507459
2,"salinity",11,-0.655971274535653
2,"oxygen",11,0.188898504154997
5,"depth",11,0.169035751107371
5,"temperature",11,0.538661937255107
5,"po4",11,0.685113052950004
5,"no2",11,-0.0456892014988568
5,"salinity",11,0.221693755163042
5,"oxygen",11,0.400817555336306
1,"depth",12,-0.903253918235956
1,"temperature",12,0.245505152037204
1,"po4",12,0.0147954498139958
1,"no2",12,-0.105698393580843
1,"salinity",12,-0.0284020897465773
1,"oxygen",12,0.334158413139397
4,"depth",12,0.451328334899824
4,"temperature",12,-0.132661007410094
4,"po4",12,-0.0800473238874675
4,"no2",12,-0.506218615885968
4,"salinity",12,-0.124573680302974
4,"oxygen",12,0.707474613165881
3,"depth",12,-0.711928538025332
3,"temperature",12,-0.36858197958726
3,"po4",12,0.581071752423587
3,"no2",12,-0.0493628114043964
3,"salinity",12,-0.0118360975064116
3,"oxygen",12,0.1307054675601
6,"depth",12,0.36699285482555
6,"temperature",12,-0.259814207678485
6,"po4",12,-0.200597778525519
6,"no2",12,0.64391072863062
6,"salinity",12,0.352080490703016
6,"oxygen",12,0.467965441957768
2,"depth",12,0.368045285484341
2,"temperature",12,0.556529683633776
2,"po4",12,0.161538912043736
2,"no2",12,0.27221522440918
2,"salinity",12,-0.546014298774794
2,"oxygen",12,0.395587937248212
5,"depth",12,0.192383454397685
5,"temperature",12,0.540989796177587
5,"po4",12,0.673949618711302
5,"no2",12,-0.0271327181234404
5,"salinity",12,0.234009561278306
5,"oxygen",12,0.400766639307973
1,"depth",13,-0.915068446632472
1,"temperature",13,0.231719586156844
1,"po4",13,0.032215837141842
1,"no2",13,-0.0873023742040611
1,"salinity",13,-0.0184979665648128
1,"oxygen",13,0.316155075710462
4,"depth",13,0.49643625012017
4,"temperature",13,-0.0162268916825083
4,"po4",13,-0.133786190583662
4,"no2",13,-0.479938068553146
4,"salinity",13,-0.125568710208563
4,"oxygen",13,0.699486198671635
3,"depth",13,-0.64033787614545
3,"temperature",13,-0.357974391241913
3,"po4",13,0.639356561435229
3,"no2",13,-0.109647896715324
3,"salinity",13,-0.0100129106740185
3,"oxygen",13,0.202291886401746
6,"depth",13,0.00816587315534366
6,"temperature",13,-0.61591904678134
6,"po4",13,-0.196831785829905
6,"no2",13,0.319924523323478
6,"salinity",13,0.677810871108369
6,"oxygen",13,0.141615736407176
2,"depth",13,0.40915390637136
2,"temperature",13,0.316286913768259
2,"po4",13,0.0781743173220856
2,"no2",13,0.558666314358143
2,"salinity",13,-0.298317139538365
2,"oxygen",13,0.570388708382598
5,"depth",13,0.192614594068051
5,"temperature",13,0.555038695558205
5,"po4",13,0.666936981072464
5,"no2",13,-0.0310023446670625
5,"salinity",13,0.213384812219686
5,"oxygen",13,0.404391523652646
1,"depth",14,-0.887399668321975
1,"temperature",14,0.270102064545641
1,"po4",14,0.0208745342434575
1,"no2",14,-0.0451507897877073
1,"salinity",14,-0.0291186182822449
1,"oxygen",14,0.369113084922805
4,"depth",14,0.510565380211787
4,"temperature",14,-0.0497844353773822
4,"po4",14,-0.20188938385715
4,"no2",14,-0.54066480245676
4,"salinity",14,-0.0844106439728022
4,"oxygen",14,0.629794882305039
3,"depth",14,-0.555682193261781
3,"temperature",14,-0.315822774427937
3,"po4",14,0.673583800282908
3,"no2",14,-0.0162395149026072
3,"salinity",14,-0.0367504618986538
3,"oxygen",14,0.368976721415885
6,"depth",14,-0.382000163654345
6,"temperature",14,-0.638098551904324
6,"po4",14,-0.16976747334708
6,"no2",14,-0.165530177983198
6,"salinity",14,0.543010063824583
6,"oxygen",14,-0.309556051113655
2,"depth",14,0.513244687835276
2,"temperature",14,0.0749745969946176
2,"po4",14,-0.103461257094705
2,"no2",14,0.641782858295469
2,"salinity",14,0.202175736409875
2,"oxygen",14,0.517198417340938
5,"depth",14,0.188110174225917
5,"temperature",14,0.554018101892438
5,"po4",14,0.674903358708401
5,"no2",14,-0.0777165857551775
5,"salinity",14,0.227391667869544
5,"oxygen",14,0.380048843195687
1,"depth",15,-0.921543713549116
1,"temperature",15,0.238334974806722
1,"po4",15,0.0615881032113788
1,"no2",15,-0.076247674737278
1,"salinity",15,-0.0233213368285078
1,"oxygen",15,0.289487368792662
4,"depth",15,0.4301504598356
4,"temperature",15,0.0759259146439059
4,"po4",15,0.0286829092393554
4,"no2",15,-0.576179988599281
4,"salinity",15,-0.0725284825771727
4,"oxygen",15,0.686395926604362
3,"depth",15,-0.66555686081359
3,"temperature",15,-0.412764055325171
3,"po4",15,0.586043537187556
3,"no2",15,-0.0425248826909597
3,"salinity",15,-0.0492228664517704
3,"oxygen",15,0.197437625458188
