"canonical_direction","var","fold","value","seed"
3,"depth",1,0.0792848526078465,0
3,"temperature",1,-0.472644752758866,0
3,"po4",1,-0.756863779681308,0
3,"no2",1,0.137369244797235,0
3,"salinity",1,-0.192285421068997,0
3,"oxygen",1,-0.376343030055218,0
6,"depth",1,0.621747730215288,0
6,"temperature",1,0.277595612857886,0
6,"po4",1,0.485988501578462,0
6,"no2",1,0.111712093936628,0
6,"salinity",1,0.0168172369955915,0
6,"oxygen",1,0.536118644178546,0
4,"depth",1,-0.598509932663925,0
4,"temperature",1,-0.784929231669653,0
4,"po4",1,-0.0156581350715855,0
4,"no2",1,-0.140672848670281,0
4,"salinity",1,0.0715468287708333,0
4,"oxygen",1,0.0227812536752578,0
1,"depth",1,-0.535002644186274,0
1,"temperature",1,0.0115788825177438,0
1,"po4",1,0.429378448935546,0
1,"no2",1,0.59322449275104,0
1,"salinity",1,-0.411510401660489,0
1,"oxygen",1,-0.0895328895352664,0
5,"depth",1,0.329455584708002,0
5,"temperature",1,0.245751798897864,0
5,"po4",1,-0.00973656242267549,0
5,"no2",1,0.538442148390087,0
5,"salinity",1,0.246941831649662,0
5,"oxygen",1,0.692870879034427,0
2,"depth",1,-0.0390842758239181,0
2,"temperature",1,-0.297566911929051,0
2,"po4",1,0.200285967974314,0
2,"no2",1,0.259708863635406,0
2,"salinity",1,0.82605012416751,0
2,"oxygen",1,-0.346416486116016,0
3,"depth",2,0.0882747906805036,0
3,"temperature",2,-0.500650692140084,0
3,"po4",2,-0.764398479202417,0
3,"no2",2,0.104481916819553,0
3,"salinity",2,-0.136183987688847,0
3,"oxygen",2,-0.35747567936557,0
6,"depth",2,0.709463175215079,0
6,"temperature",2,0.503608220776401,0
6,"po4",2,0.295039201908255,0
6,"no2",2,0.120868104406915,0
6,"salinity",2,-0.0343889302322972,0
6,"oxygen",2,0.37443415326605,0
4,"depth",2,0.0911449241018943,0
4,"temperature",2,-0.339084295647945,0
4,"po4",2,0.0523920433710255,0
4,"no2",2,-0.841541495690431,0
4,"salinity",2,0.280173783747863,0
4,"oxygen",2,0.295432020908911,0
1,"depth",2,-0.465778332083412,0
1,"temperature",2,-0.718242073316663,0
1,"po4",2,0.354113462105804,0
1,"no2",2,0.222626969539467,0
1,"salinity",2,-0.0342837122411402,0
1,"oxygen",2,0.301735620939022,0
5,"depth",2,0.355032624207261,0
5,"temperature",2,0.247617948559654,0
5,"po4",2,-0.00289701041434906,0
5,"no2",2,0.378180812067324,0
5,"salinity",2,0.347013395652355,0
5,"oxygen",2,0.741073391272548,0
2,"depth",2,0.0354592220388653,0
2,"temperature",2,-0.272644752710082,0
2,"po4",2,0.262897695217088,0
2,"no2",2,0.116734223730043,0
2,"salinity",2,0.878583880419541,0
2,"oxygen",2,-0.264113177101571,0
3,"depth",3,0.224394566240966,0
3,"temperature",3,-0.426115597858148,0
3,"po4",3,-0.783103727194777,0
3,"no2",3,0.1630866066322,0
3,"salinity",3,-0.180375369317993,0
3,"oxygen",3,-0.309335761330244,0
6,"depth",3,0.529742836888241,0
6,"temperature",3,0.408573912298279,0
6,"po4",3,0.577434949025761,0
6,"no2",3,0.103058285886539,0
6,"salinity",3,0.0346127221785031,0
6,"oxygen",3,0.45518096815664,0
4,"depth",3,-0.0511596832233851,0
4,"temperature",3,-0.547624732366882,0
4,"po4",3,-0.149960638667933,0
4,"no2",3,-0.718745336683184,0
4,"salinity",3,0.0111417662942319,0
4,"oxygen",3,0.397847518784409,0
1,"depth",3,-0.656543282395633,0
1,"temperature",3,-0.709200913560662,0
1,"po4",3,0.0983794335658647,0
1,"no2",3,0.217723543635235,0
1,"salinity",3,-0.0906292823798108,0
1,"oxygen",3,0.026253786762798,0
5,"depth",3,0.359017055951364,0
5,"temperature",3,0.515182886713908,0
5,"po4",3,0.108195779871724,0
5,"no2",3,0.302234356583562,0
5,"salinity",3,-0.0848869292875541,0
5,"oxygen",3,0.703871879625645,0
2,"depth",3,0.170889865255614,0
2,"temperature",3,-0.261961439736028,0
2,"po4",3,0.0726832239833579,0
2,"no2",3,0.236124702038997,0
2,"salinity",3,0.898065308427646,0
2,"oxygen",3,0.186047934365,0
3,"depth",4,0.0168397184798967,0
3,"temperature",4,-0.470835706750729,0
3,"po4",4,-0.763230232130213,0
3,"no2",4,0.112541227526589,0
3,"salinity",4,-0.15637156476029,0
3,"oxygen",4,-0.397985150142248,0
6,"depth",4,0.683328291548661,0
6,"temperature",4,0.233688718834316,0
6,"po4",4,0.213007029762178,0
6,"no2",4,0.519088984481086,0
6,"salinity",4,-0.0922727132756198,0
6,"oxygen",4,0.393843124233252,0
4,"depth",4,0.375324095488106,0
4,"temperature",4,-0.527895332393087,0
4,"po4",4,-0.120637538070173,0
4,"no2",4,-0.635224241469416,0
4,"salinity",4,0.152020499728386,0
4,"oxygen",4,0.37320886444983,0
1,"depth",4,-0.752693841542659,0
1,"temperature",4,-0.642047596253177,0
1,"po4",4,0.118299121598119,0
1,"no2",4,0.0617965281227718,0
