"canonical_direction","var","fold","value","seed"
1,"depth",1,0.0194266781890597,0
1,"temperature",1,0.992074662618916,0
1,"po4",1,-0.104524029720887,0
1,"no2",1,-0.0532444117804055,0
1,"salinity",1,0.0236089054748474,0
1,"oxygen",1,-0.033058242110672,0
2,"depth",1,-0.814612419623224,0
2,"temperature",1,-0.44400307409411,0
2,"po4",1,0.207258927678115,0
2,"no2",1,-0.00132754543468561,0
2,"salinity",1,0.00161401268327489,0
2,"oxygen",1,0.310334086871667,0
3,"depth",1,-0.481094694351277,0
3,"temperature",1,-0.496387738313778,0
3,"po4",1,-0.290628158139654,0
3,"no2",1,0.142462838536619,0
3,"salinity",1,0.128419155627999,0
3,"oxygen",1,-0.633162887509223,0
4,"depth",1,0.104190330342946,0
4,"temperature",1,-0.540748167130257,0
4,"po4",1,-0.779232869419007,0
4,"no2",1,-0.0721513460069926,0
4,"salinity",1,0.176168110258086,0
4,"oxygen",1,-0.230848240675105,0
5,"depth",1,0.474048335052801,0
5,"temperature",1,0.124874652531698,0
5,"po4",1,-0.262996445753561,0
5,"no2",1,0.768734053255692,0
5,"salinity",1,-0.0396733138271104,0
5,"oxygen",1,0.313035701230386,0
6,"depth",1,-0.131588210646244,0
6,"temperature",1,-0.344751218829442,0
6,"po4",1,-0.67616266561302,0
6,"no2",1,-0.0157295668119788,0
6,"salinity",1,-0.503523205615294,0
6,"oxygen",1,-0.3909631078509,0
1,"depth",2,0.0503348483651623,0
1,"temperature",2,0.981846690047186,0
1,"po4",2,-0.131738725425265,0
1,"no2",2,-0.0131466182346934,0
1,"salinity",2,0.0579872769310784,0
1,"oxygen",2,-0.112040308147906,0
2,"depth",2,-0.821648242503396,0
2,"temperature",2,-0.386141958020986,0
2,"po4",2,0.214486925038512,0
2,"no2",2,-0.0114414110379659,0
2,"salinity",2,-0.0241042087551014,0
2,"oxygen",2,0.359265909972091,0
3,"depth",2,-0.528814298819407,0
3,"temperature",2,-0.532005568099717,0
3,"po4",2,-0.232927795072913,0
3,"no2",2,0.116731171208479,0
3,"salinity",2,0.114381498845346,0
3,"oxygen",2,-0.596959681676825,0
4,"depth",2,0.0432659036451152,0
4,"temperature",2,-0.567978077772347,0
4,"po4",2,-0.760555393159277,0
4,"no2",2,-0.0509125431517272,0
4,"salinity",2,0.147519854925181,0
4,"oxygen",2,-0.269685490972013,0
5,"depth",2,0.492138584168918,0
5,"temperature",2,0.151144386578184,0
5,"po4",2,-0.0797715581964968,0
5,"no2",2,0.733080420892169,0
5,"salinity",2,0.152392634243368,0
5,"oxygen",2,0.409830536214602,0
6,"depth",2,-0.0490635365711018,0
6,"temperature",2,-0.307051142030995,0
6,"po4",2,-0.7114040611386,0
6,"no2",2,0.0950564842605693,0
6,"salinity",2,-0.513738129315121,0
6,"oxygen",2,-0.352496846283659,0
1,"depth",3,-0.139621500048102,0
1,"temperature",3,0.982384890798406,0
1,"po4",3,-0.0977401056655201,0
1,"no2",3,-0.023870715617573,0
1,"salinity",3,0.0500517198526099,0
1,"oxygen",3,-0.052892807408148,0
2,"depth",3,-0.791344016479672,0
2,"temperature",3,-0.444841193373084,0
2,"po4",3,0.260056142923556,0
2,"no2",3,-0.00694838778706413,0
2,"salinity",3,0.0012225913175336,0
2,"oxygen",3,0.328955905807426,0
3,"depth",3,-0.392501667463173,0
3,"temperature",3,-0.554967440397992,0
3,"po4",3,-0.404694839204666,0
3,"no2",3,0.131912206303344,0
3,"salinity",3,0.0800962054519573,0
3,"oxygen",3,-0.591911679187209,0
4,"depth",3,0.148984242824319,0
4,"temperature",3,-0.515313727351952,0
4,"po4",3,-0.817258328076566,0
4,"no2",3,-0.0492341498430816,0
4,"salinity",3,0.0914123070744777,0
4,"oxygen",3,-0.183204998803932,0
5,"depth",3,0.499341127930727,0
5,"temperature",3,0.158593134457735,0
5,"po4",3,-0.316990212347278,0
5,"no2",3,0.696877975088089,0
5,"salinity",3,-0.167743543375078,0
5,"oxygen",3,0.33353718297795,0
6,"depth",3,-0.164980789147044,0
6,"temperature",3,-0.280912980199921,0
6,"po4",3,-0.607895680046583,0
6,"no2",3,-0.0988568936009181,0
6,"salinity",3,-0.592762940932012,0
6,"oxygen",3,-0.403969663952046,0
1,"depth",4,0.00868196942659311,0
1,"temperature",4,0.992243828981691,0
1,"po4",4,-0.0968972714114477,0
1,"no2",4,-0.0326264122921254,0
1,"salinity",4,0.0370564681353464,0
1,"oxygen",4,-0.059582392012439,0
2,"depth",4,-0.84928843404196,0
2,"temperature",4,-0.408063879995968,0
2,"po4",4,0.208193182602624,0
2,"no2",4,0.0163961970651942,0
2,"salinity",4,-0.0165682140417707,0
2,"oxygen",4,0.261352794835347,0
3,"depth",4,-0.446693495241917,0
3,"temperature",4,-0.524792166833254,0
3,"po4",4,-0.364320806012711,0
3,"no2",4,0.0988878659082629,0
3,"salinity",4,0.0882518600493244,0
3,"oxygen",4,-0.612177468075402,0
4,"depth",4,0.109058049485087,0
4,"temperature",4,-0.55711020305062,0
4,"po4",4,-0.746544887446335,0
4,"no2",4,-0.199629964591417,0
4,"salinity",4,0.232969245133253,0
4,"oxygen",4,-0.162106454487219,0
5,"depth",4,0.504270804773668,0
5,"temperature",4,-0.0301232262120639,0
5,"po4",4,-0.498297863212672,0
5,"no2",4,0.682243848891238,0
5,"salinity",4,-0.0347969563406202,0
5,"oxygen",4,0.172728945729074,0
6,"depth",4,-0.0883828481115353,0
6,"temperature",4,-0.33155652579922,0
6,"po4",4,-0.703412538294496,0
6,"no2",4,-0.0712636837590342,0
6,"salinity",4,-0.491879086618933,0
6,"oxygen",4,-0.374761250469888,0
1,"depth",5,-0.289544053771963,0
1,"temperature",5,0.948585204165194,0
1,"po4",5,-0.123333276412445,0
1,"no2",5,-0.00707343107769587,0
1,"salinity",5,0.00498824233087185,0
1,"oxygen",5,0.0326241981477747,0
2,"depth",5,-0.727428742852018,0
2,"temperature",5,-0.603723521774693,0
2,"po4",5,0.136442999576605,0
2,"no2",5,0.0104135790158916,0
2,"salinity",5,-0.0254696547589545,0
2,"oxygen",5,0.294943206827642,0
3,"depth",5,-0.478090093878509,0
3,"temperature",5,-0.522107347686254,0
3,"po4",5,-0.270688787700457,0
3,"no2",5,0.102613798296733,0
3,"salinity",5,0.203936428718174,0
3,"oxygen",5,-0.611098765570112,0
4,"depth",5,0.210649474162997,0
4,"temperature",5,-0.474160400556233,0
4,"po4",5,-0.81085135381889,0
4,"no2",5,-0.00821537580850528,0
4,"salinity",5,0.178340984586391,0
4,"oxygen",5,-0.203582406917591,0
5,"depth",5,0.481778354781372,0
5,"temperature",5,0.20893390404525,0
5,"po4",5,-0.0983480297428727,0
5,"no2",5,0.764481469581643,0
5,"salinity",5,-0.00148150898520526,0
5,"oxygen",5,0.360735073769765,0
6,"depth",5,-0.0890169257231722,0
6,"temperature",5,-0.331011697173788,0
6,"po4",5,-0.68823064383208,0
6,"no2",5,0.0365791559587908,0
6,"salinity",5,-0.467621396457721,0
6,"oxygen",5,-0.434554966700045,0
1,"depth",6,-0.00558987795784665,0
1,"temperature",6,0.989636131979297,0
1,"po4",6,-0.111912515245898,0
1,"no2",6,-0.0118804650507742,0
1,"salinity",6,0.0462013974213489,0
1,"oxygen",6,-0.0760851753188483,0
2,"depth",6,-0.822500253807289,0
2,"temperature",6,-0.40204730333513,0
2,"po4",6,0.214850279735311,0
2,"no2",6,0.0401146179672216,0
2,"salinity",6,2.50566832343856e-05,0
2,"oxygen",6,0.337759489079225,0
3,"depth",6,-0.39638220014693,0
3,"temperature",6,-0.565265078664872,0
3,"po4",6,-0.403594022673474,0
3,"no2",6,0.00736406631619957,0
3,"salinity",6,0.132240071503706,0
3,"oxygen",6,-0.585599471590357,0
4,"depth",6,0.351702034963163,0
4,"temperature",6,-0.407421996849449,0
4,"po4",6,-0.819209743455444,0
4,"no2",6,0.113668737975043,0
4,"salinity",6,0.160240831717338,0
4,"oxygen",6,0.0247120450659409,0
5,"depth",6,0.143530809293807,0
5,"temperature",6,-0.138633736349877,0
5,"po4",6,-0.508769411975422,0
5,"no2",6,0.751712792306966,0
5,"salinity",6,-0.315203093090554,0
5,"oxygen",6,-0.192114984724077,0
6,"depth",6,-0.184544832019757,0
6,"temperature",6,-0.351907384426225,0
6,"po4",6,-0.639614216832246,0
6,"no2",6,-0.29954200558751,0
6,"salinity",6,-0.444735144525487,0
6,"oxygen",6,-0.381422717597775,0
1,"depth",7,-0.0665452196380877,0
1,"temperature",7,0.985157287826927,0
1,"po4",7,-0.139344095093818,0
1,"no2",7,-0.0224853737412195,0
1,"salinity",7,0.0325053074380978,0
1,"oxygen",7,-0.063701554952523,0
2,"depth",7,-0.80969291495893,0
2,"temperature",7,-0.423434081621692,0
2,"po4",7,0.219525049576391,0
2,"no2",7,-0.00363849546058711,0
2,"salinity",7,-0.0234723597599106,0
2,"oxygen",7,0.341094597249901,0
3,"depth",7,-0.379209422046906,0
3,"temperature",7,-0.574025966121483,0
3,"po4",7,-0.443443644031167,0
3,"no2",7,0.0627672394859977,0
3,"salinity",7,0.129837995900373,0
3,"oxygen",7,-0.556106561268064,0
4,"depth",7,0.35051468655725,0
4,"temperature",7,-0.426554638068183,0
4,"po4",7,-0.823861565794537,0
4,"no2",7,-0.0662748003040673,0
4,"salinity",7,0.109305620900254,0
4,"oxygen",7,-0.0101315221479452,0
5,"depth",7,0.483958174904653,0
5,"temperature",7,0.137281337578361,0
5,"po4",7,-0.197894186175128,0
5,"no2",7,0.766825596517953,0
5,"salinity",7,0.00827252971045553,0
5,"oxygen",7,0.34595704957525,0
6,"depth",7,-0.0712978584555357,0
6,"temperature",7,-0.313312330289891,0
6,"po4",7,-0.688830041902324,0
6,"no2",7,0.0236936917610038,0
6,"salinity",7,-0.521562468007042,0
6,"oxygen",7,-0.386880308852691,0
1,"depth",8,-0.106759071954393,0
1,"temperature",8,0.991462816065891,0
1,"po4",8,-0.0492004108805161,0
1,"no2",8,-0.0174307598195391,0
1,"salinity",8,0.0536030822788461,0
1,"oxygen",8,-0.00248649665974776,0
2,"depth",8,-0.770906022022721,0
2,"temperature",8,-0.409882407294845,0
2,"po4",8,0.300269725929311,0
2,"no2",8,5.07167036452322e-05,0
2,"salinity",8,-0.00562408510663698,0
2,"oxygen",8,0.384066109132467,0
3,"depth",8,-0.431861093608394,0
3,"temperature",8,-0.553701263059376,0
3,"po4",8,-0.396221110915544,0
3,"no2",8,0.0872989360048741,0
3,"salinity",8,0.0926127367031731,0
3,"oxygen",8,-0.577686346689475,0
4,"depth",8,0.15945601660412,0
4,"temperature",8,-0.511988611708892,0
4,"po4",8,-0.822775036892778,0
4,"no2",8,-0.043028722597014,0
4,"salinity",8,0.10871319966984,0
4,"oxygen",8,-0.147691056480921,0
5,"depth",8,0.487153838023609,0
5,"temperature",8,0.175012168105879,0
5,"po4",8,-0.1265072309747,0
5,"no2",8,0.763714351423775,0
5,"salinity",8,0.0309663973139103,0
5,"oxygen",8,0.36308300881702,0
6,"depth",8,-0.100213919182571,0
6,"temperature",8,-0.27888863678533,0
6,"po4",8,-0.679727516589851,0
6,"no2",8,0.0249812355920912,0
6,"salinity",8,-0.564934355365115,0
6,"oxygen",8,-0.361073280458658,0
1,"depth",9,-0.134498705091898,0
1,"temperature",9,0.988251938889879,0
1,"po4",9,-0.0522338569133154,0
1,"no2",9,-0.0315132058900635,0
1,"salinity",9,0.0390277538205137,0
1,"oxygen",9,0.00485593319679862,0
2,"depth",9,-0.783384516841548,0
2,"temperature",9,-0.486376562201937,0
2,"po4",9,0.224239671642471,0
2,"no2",9,0.000790558013409187,0
2,"salinity",9,-0.00780671009563095,0
2,"oxygen",9,0.315280095265695,0
3,"depth",9,-0.530807885459518,0
3,"temperature",9,-0.47902398498487,0
3,"po4",9,-0.225952389163978,0
3,"no2",9,0.124301849383651,0
3,"salinity",9,0.0831083169580741,0
3,"oxygen",9,-0.644489399654099,0
4,"depth",9,0.0300911540483091,0
4,"temperature",9,-0.568063222008521,0
4,"po4",9,-0.751997510997917,0
4,"no2",9,-0.00609446747434175,0
4,"salinity",9,0.177691678047755,0
4,"oxygen",9,-0.281579414590365,0
5,"depth",9,0.476287351636661,0
5,"temperature",9,0.142412281534119,0
5,"po4",9,-0.210502234557214,0
5,"no2",9,0.770972683861344,0
5,"salinity",9,-0.0348599104792112,0
5,"oxygen",9,0.336071149262502,0
6,"depth",9,-0.106545453382748,0
6,"temperature",9,-0.316178494414803,0
6,"po4",9,-0.698871722977032,0
6,"no2",9,-0.00953924676671578,0
6,"salinity",9,-0.497374326368224,0
6,"oxygen",9,-0.390877631870958,0
1,"depth",10,-0.113567979752595,0
