fold,cd,angle
1,1,0.37484503134773267
1,2,1.5705690271422048
1,3,1.5464234955111706
2,1,0.4093404453957199
2,2,1.567147988117653
2,3,1.5389926551266477
3,1,0.35331398494434707
3,2,1.5636875136601474
3,3,1.5127027754333933
4,1,0.39872329171967397
4,2,1.5692322542546324
4,3,1.5366790413510583
5,1,0.3932518402041678
5,2,1.5682200677412352
5,3,1.5224568006699666
6,1,0.3867280442363985
6,2,1.566828825901873
6,3,1.525703782958323
7,1,0.41479945821374076
7,2,1.5670965498700464
7,3,1.543898249689265
8,1,0.35711623761331296
8,2,1.5454966670132484
8,3,1.5401158171557645
9,1,0.3827377499891004
9,2,1.5176065990305836
9,3,1.4651655833816837
10,1,0.3977402304145129
10,2,1.5628636998779637
10,3,1.552022506221455
11,1,0.36823516803818623
11,2,1.5696696811310733
11,3,1.5310499817088377
12,1,0.425637058842513
12,2,1.5695193188253727
12,3,1.54668590509745
13,1,0.4043357265910479
13,2,1.5649035719278503
13,3,1.5308913956877517
14,1,0.40721670060174975
14,2,1.5703715944154912
14,3,1.5357759767591195
15,1,0.37447180233716565
15,2,1.568133253507543
15,3,1.5106608392421983
