fold,j,evr,method,split
1,1,0.22616660014149545,CCA,train
1,1,0.2397173087517175,CCA,test
1,1,0.2522395619791034,PCA,train
1,1,0.19714542418941733,PCA,test
1,2,0.2503229115972065,CCA,train
1,2,0.26659647409347437,CCA,test
1,2,0.39554408131297925,PCA,train
1,2,0.23829739219447088,PCA,test
1,3,0.2971870825266288,CCA,train
1,3,0.31778457371259355,CCA,test
1,3,0.4584709853438162,PCA,train
1,3,0.31128052135132545,PCA,test
2,1,0.2275154246701765,CCA,train
2,1,0.16276755758522607,CCA,test
2,1,0.2588081465639949,PCA,train
2,1,0.13367567803114053,PCA,test
2,2,0.25003888224410514,CCA,train
2,2,0.18190891545524115,CCA,test
2,2,0.40425213672056476,PCA,train
2,2,0.18922277135608156,PCA,test
2,3,0.29733158937684506,CCA,train
2,3,0.21580484787082427,CCA,test
2,3,0.4654916911973049,PCA,train
2,3,0.2717915202905932,PCA,test
3,1,0.23214510788680504,CCA,train
3,1,0.11675297694925946,CCA,test
3,1,0.25784164502968054,PCA,train
3,1,0.15601682253708915,PCA,test
3,2,0.2557712985110219,CCA,train
3,2,0.12913631708223197,CCA,test
3,2,0.39471552275906757,PCA,train
3,2,0.3092362167951303,PCA,test
3,3,0.3072041076928836,CCA,train
3,3,0.16723992033825508,CCA,test
3,3,0.46226850283243237,PCA,train
3,3,0.33610604355348217,PCA,test
4,1,0.22007573723026894,CCA,train
4,1,0.2801585389587362,CCA,test
4,1,0.24940025383478545,PCA,train
4,1,0.2561054975029251,PCA,test
4,2,0.2453040325365777,CCA,train
4,2,0.3031698868672607,CCA,test
4,2,0.3900999819184459,PCA,train
4,2,0.3386031727926702,PCA,test
4,3,0.29310911440139875,CCA,train
4,3,0.39798835778095015,CCA,test
4,3,0.45452504364604757,PCA,train
4,3,0.3824931017709992,PCA,test
5,1,0.22179380882266064,CCA,train
5,1,0.20565703098905855,CCA,test
5,1,0.25100871957937093,PCA,train
5,1,0.21643145675828243,PCA,test
5,2,0.2458735394709193,CCA,train
5,2,0.2516731406692151,CCA,test
5,2,0.39480112355332536,PCA,train
5,2,0.25778801540459745,PCA,test
5,3,0.29573331733285274,CCA,train
5,3,0.26109079859845563,CCA,test
5,3,0.4609540783797564,PCA,train
5,3,0.2779325836128023,PCA,test
6,1,0.22388575309621078,CCA,train
6,1,0.1568065389990353,CCA,test
6,1,0.25232812432397767,PCA,train
6,1,0.1813714851723991,PCA,test
6,2,0.2498106293393798,CCA,train
