"canonical_direction","var","fold","value"
1,"Archaea",1,-0.707106781186557
1,"Bacteria",1,0.707106781186538
2,"Archaea",1,-0.707106781186548
2,"Bacteria",1,-0.707106781186547
1,"Archaea",2,-0.707106781186529
1,"Bacteria",2,0.707106781186566
2,"Archaea",2,-0.707106781186548
2,"Bacteria",2,-0.707106781186548
1,"Archaea",3,-0.70710678118662
1,"Bacteria",3,0.707106781186475
2,"Archaea",3,-0.707106781186547
2,"Bacteria",3,-0.707106781186548
1,"Archaea",4,-0.70710678118658
1,"Bacteria",4,0.707106781186515
2,"Archaea",4,-0.707106781186547
2,"Bacteria",4,-0.707106781186548
1,"Archaea",5,-0.707106781186596
1,"Bacteria",5,0.707106781186499
2,"Archaea",5,0.707106781186547
2,"Bacteria",5,0.707106781186548
1,"Archaea",6,-0.707106781186551
1,"Bacteria",6,0.707106781186544
2,"Archaea",6,-0.707106781186547
2,"Bacteria",6,-0.707106781186548
1,"Archaea",7,-0.707106781186585
1,"Bacteria",7,0.70710678118651
2,"Archaea",7,-0.707106781186547
2,"Bacteria",7,-0.707106781186548
1,"Archaea",8,-0.707106781186602
1,"Bacteria",8,0.707106781186493
2,"Archaea",8,0.707106781186547
2,"Bacteria",8,0.707106781186547
1,"Archaea",9,-0.707106781186576
1,"Bacteria",9,0.707106781186519
2,"Archaea",9,-0.707106781186547
2,"Bacteria",9,-0.707106781186547
1,"Archaea",10,-0.707106781186574
1,"Bacteria",10,0.707106781186521
2,"Archaea",10,-0.707106781186548
2,"Bacteria",10,-0.707106781186548
1,"Archaea",11,-0.707106781186525
1,"Bacteria",11,0.70710678118657
2,"Archaea",11,-0.707106781186547
2,"Bacteria",11,-0.707106781186547
1,"Archaea",12,-0.707106781186565
1,"Bacteria",12,0.70710678118653
2,"Archaea",12,0.707106781186547
2,"Bacteria",12,0.707106781186548
1,"Archaea",13,-0.707106781186577
1,"Bacteria",13,0.707106781186518
2,"Archaea",13,-0.707106781186548
2,"Bacteria",13,-0.707106781186548
1,"Archaea",14,-0.70710678118655
1,"Bacteria",14,0.707106781186545
2,"Archaea",14,-0.707106781186547
2,"Bacteria",14,-0.707106781186548
1,"Archaea",15,-0.707106781186554
1,"Bacteria",15,0.707106781186542
2,"Archaea",15,-0.707106781186547
2,"Bacteria",15,-0.707106781186548
