"canonical_direction","fold","train","test"
1,1,0.800682311470835,0.63889091107864
2,1,0.231122523020142,0.644804061022779
1,2,0.793400402143605,0.820747561864935
2,2,0.202618713717569,0.0432223137295937
1,3,0.800411130145566,0.0863739608745196
2,3,0.105316261553315,0.132874487209567
1,4,0.778912775343755,0.921939394638419
2,4,0.184108421347918,0.185538331944822
1,5,0.792932468859636,0.710235117733999
2,5,0.0580633010034948,0.21186299370379
1,6,0.781566332962973,0.945186917908492
2,6,0.105903453811183,0.300806657101887
1,7,0.779833291545485,0.833339159023351
2,7,0.123363989555716,0.678481548985677
1,8,0.796039297696522,0.489433755914145
2,8,0.0222311360702633,0.427500347583549
1,9,0.81004919716938,0.422578645244681
2,9,0.172055677379622,0.314551113866098
1,10,0.792278168677866,0.832829118587873
2,10,0.179145225021306,0.0416978601012951
1,11,0.780026684381688,0.972022573021297
2,11,0.222716932503039,0.0835460270380325
1,12,0.774873917097257,0.927759354237025
2,12,0.0758475782042937,0.461341883753127
1,13,0.789853238914917,0.0572958631327041
2,13,0.179181186204419,0.072644589693726
1,14,0.788326346121113,0.828386130783757
2,14,0.184983687714415,0.0167783770601126
1,15,0.79758539305348,0.758703770450896
2,15,0.190869392936634,0.0267321604062867
