"canonical_direction","var","fold","value"
1,"depth",1,-0.95412041155321
1,"po4",1,0.256736610462919
1,"no2",1,-0.0218289544576158
1,"salinity",1,-0.0219458945025801
1,"oxygen",1,0.150938489350179
2,"depth",1,0.428799987206886
2,"po4",1,-0.800028988081524
2,"no2",1,0.4121793877909
2,"salinity",1,0.0480968627290562
2,"oxygen",1,-0.062281885621495
1,"depth",2,-0.939548112053261
1,"po4",2,0.256448211108555
1,"no2",2,0.00202282604678013
1,"salinity",2,0.0031636735778103
1,"oxygen",2,0.226869036011202
2,"depth",2,0.395318221834277
2,"po4",2,-0.798190651327245
2,"no2",2,0.404288471172259
2,"salinity",2,0.0380038805189715
2,"oxygen",2,-0.204258964949572
1,"depth",3,-0.943568594993585
1,"po4",3,0.222794514099324
1,"no2",3,-0.022812177279214
1,"salinity",3,-0.0493672905841906
1,"oxygen",3,0.238921297119439
2,"depth",3,-0.290208869540882
2,"po4",3,0.0190826863227869
2,"no2",3,0.4614877003571
2,"salinity",3,0.394665710887414
2,"oxygen",3,-0.739379971456732
1,"depth",4,-0.949498114350935
1,"po4",4,0.243818566594638
1,"no2",4,-0.0149572206228151
1,"salinity",4,0.00390434378727862
1,"oxygen",4,0.196893054927251
2,"depth",4,0.421364390319946
2,"po4",4,-0.394087930843795
2,"no2",4,0.756947339455026
2,"salinity",4,0.269586379953906
2,"oxygen",4,0.14663104162783
1,"depth",5,-0.951363635054468
1,"po4",5,0.239352757229213
1,"no2",5,-0.007288946973382
1,"salinity",5,-0.000489056786715023
1,"oxygen",5,0.193814662959747
2,"depth",5,-0.173224674395663
2,"po4",5,-0.518126732787352
2,"no2",5,-0.407625829207728
2,"salinity",5,-0.389691259782709
2,"oxygen",5,-0.619289759614429
1,"depth",6,-0.939450020679598
1,"po4",6,0.27435045273479
1,"no2",6,-0.015564565084162
1,"salinity",6,0.0143807522921256
1,"oxygen",6,0.204245993856849
2,"depth",6,-0.148748074536974
2,"po4",6,-0.233472011009775
2,"no2",6,0.379588675342106
2,"salinity",6,0.30492793230885
2,"oxygen",6,-0.828429975342798
1,"depth",7,-0.949104523998142
1,"po4",7,0.262815463864775
1,"no2",7,-0.0188481608764937
1,"salinity",7,-0.0069416252784604
1,"oxygen",7,0.172409962443792
2,"depth",7,-0.0233883984358876
2,"po4",7,-0.564783900424332
2,"no2",7,0.422343473522973
2,"salinity",7,0.0224442966047537
2,"oxygen",7,-0.708233275526185
1,"depth",8,-0.935018245755302
1,"po4",8,0.266251151072152
1,"no2",8,0.0041593473308241
1,"salinity",8,0.0520985800881885
1,"oxygen",8,0.228297267701582
2,"depth",8,0.503122103176895
2,"po4",8,-0.79389562876113
2,"no2",8,-0.140480044817181
2,"salinity",8,-0.197379313378923
2,"oxygen",8,0.240633837161475
1,"depth",9,-0.921281031047877
1,"po4",9,0.278418917977359
1,"no2",9,-0.118753572794931
1,"salinity",9,0.0264796221491992
1,"oxygen",9,0.242735630888733
2,"depth",9,0.49951857895547
2,"po4",9,-0.828383215549343
2,"no2",9,0.245011673754391
2,"salinity",9,0.0650515771835449
2,"oxygen",9,9.749073706744e-05
1,"depth",10,-0.947422422648199
1,"po4",10,0.241414321554671
1,"no2",10,-0.0156765399895821
1,"salinity",10,0.01474819601004
1,"oxygen",10,0.208917723566287
2,"depth",10,0.209905081645671
2,"po4",10,-0.777303796345415
2,"no2",10,0.257054111055529
2,"salinity",10,-0.0633058018426068
2,"oxygen",10,-0.530711055404771
1,"depth",11,-0.948284950344884
1,"po4",11,0.23913779715322
1,"no2",11,-0.00588738073312754
1,"salinity",11,-0.00292247909431374
1,"oxygen",11,0.208627814028122
2,"depth",11,0.230463406615285
2,"po4",11,-0.563524799610007
2,"no2",11,0.555859786483143
2,"salinity",11,0.375589216885791
2,"oxygen",11,-0.423413576029173
1,"depth",12,-0.943267711145144
1,"po4",12,0.26508922158906
1,"no2",12,-0.0160656242046806
1,"salinity",12,0.0219327163260273
1,"oxygen",12,0.198077210657318
2,"depth",12,0.323842129805668
2,"po4",12,-0.258408181502897
2,"no2",12,-0.32083095762184
2,"salinity",12,-0.600100580444394
2,"oxygen",12,0.604399103802321
1,"depth",13,-0.931921818227984
1,"po4",13,0.28609357775074
1,"no2",13,-0.00628745625225676
1,"salinity",13,0.0135413312051763
1,"oxygen",13,0.222371962539116
2,"depth",13,0.141151844241733
2,"po4",13,-0.719938085108557
2,"no2",13,0.366296200487166
2,"salinity",13,-0.0503226355922283
2,"oxygen",13,-0.570140365465469
1,"depth",14,-0.941074772050468
1,"po4",14,0.268178192448568
1,"no2",14,0.0501538341193408
1,"salinity",14,-0.00622814544977324
1,"oxygen",14,0.199761191507671
2,"depth",14,0.266670092723033
2,"po4",14,-0.158982890561655
2,"no2",14,0.784680545222841
2,"salinity",14,0.52722740942713
2,"oxygen",14,-0.099595194930738
1,"depth",15,-0.947931351898245
1,"po4",15,0.221584695871538
1,"no2",15,0.00247990526221862
1,"salinity",15,-0.0425183142087682
1,"oxygen",15,0.224749677798699
2,"depth",15,0.453732363062822
2,"po4",15,-0.0162825377265428
2,"no2",15,0.533083602992265
2,"salinity",15,0.467297682365716
2,"oxygen",15,0.539737500967857
