"canonical_direction","var","fold","value"
1,"depth",1,0.890406793885222
1,"temperature",1,-0.451160660341591
1,"po4",1,0.0170093855746128
1,"no2",1,0.00425062053257205
1,"salinity",1,-0.0146302990487337
1,"oxygen",1,-0.0557527339274578
2,"depth",1,-0.616519808048155
2,"temperature",1,-0.67373542437545
2,"po4",1,0.196737051522048
2,"no2",1,0.0124753544904774
2,"salinity",1,-0.0434576043533339
2,"oxygen",1,0.353884499432393
5,"depth",1,-0.620898268947948
5,"temperature",1,0.0398276260055574
5,"po4",1,0.590997665998004
5,"no2",1,0.195312127630988
5,"salinity",1,-0.226497629456125
5,"oxygen",1,-0.417340215244262
3,"depth",1,0.335206888572367
3,"temperature",1,0.599333247137856
3,"po4",1,0.469148166202217
3,"no2",1,0.0898840438659547
3,"salinity",1,-0.124566798449142
3,"oxygen",1,0.533610316860869
4,"depth",1,-0.322867823933982
4,"temperature",1,0.223374157143672
4,"po4",1,0.569966656656932
4,"no2",1,-0.715531757236384
4,"salinity",1,-0.0860220863752948
4,"oxygen",1,-0.0401605469293304
6,"depth",1,-0.0386270437843374
6,"temperature",1,-0.299756309499443
6,"po4",1,-0.721226583593482
6,"no2",1,-0.00714127457043259
6,"salinity",1,-0.504981003640931
6,"oxygen",1,-0.365280042818025
1,"depth",2,0.892885637129656
1,"temperature",2,-0.392960926785033
1,"po4",2,-0.00684075693399258
1,"no2",2,-0.0182279080350204
1,"salinity",2,-0.0256112352617192
1,"oxygen",2,-0.217490140165991
2,"depth",2,-0.569315683362262
2,"temperature",2,-0.725647836999594
2,"po4",2,0.191656093112766
2,"no2",2,0.0146842590441485
2,"salinity",2,-0.0390579731083991
2,"oxygen",2,0.332928909200313
5,"depth",2,-0.596574584116139
5,"temperature",2,0.189978781184651
5,"po4",2,0.674541941446978
5,"no2",2,0.161274770032316
5,"salinity",2,-0.214850993446806
5,"oxygen",2,-0.284305287817753
3,"depth",2,0.376415410556318
3,"temperature",2,0.590570008822023
3,"po4",2,0.435295548469954
3,"no2",2,0.109217670165837
3,"salinity",2,-0.131716814928496
3,"oxygen",2,0.539238787594656
4,"depth",2,-0.261319496348451
4,"temperature",2,0.288176051148116
4,"po4",2,0.547265923411909
4,"no2",2,-0.729853921135954
4,"salinity",2,-0.1194729884178
4,"oxygen",2,0.0469696954000487
6,"depth",2,-0.0460198061175354
6,"temperature",2,-0.323485834451932
6,"po4",2,-0.72927398038112
6,"no2",2,0.0120756333066695
6,"salinity",2,-0.473933018963522
