"canonical_direction","var","fold","value","seed"
4,"depth",1,-0.0394800446736718,0
4,"temperature",1,-0.912734685094248,0
4,"po4",1,-0.403862760328772,0
4,"no2",1,0.0302638199291018,0
4,"salinity",1,0.000279176974393596,0
4,"oxygen",1,0.0365460638319553,0
3,"depth",1,0.566374346830954,0
3,"temperature",1,0.518998522096172,0
3,"po4",1,0.479144632986697,0
3,"no2",1,0.00866581931868965,0
3,"salinity",1,0.17491934856977,0
3,"oxygen",1,0.386793457888452,0
6,"depth",1,0.31721037485765,0
6,"temperature",1,-0.22639512785841,0
6,"po4",1,-0.760531719602964,0
6,"no2",1,0.324317573878743,0
6,"salinity",1,-0.0418375428476632,0
6,"oxygen",1,-0.40346258677141,0
1,"depth",1,-0.107052007884767,0
1,"temperature",1,0.235568656960698,0
1,"po4",1,0.635858502197991,0
1,"no2",1,0.585462090326274,0
1,"salinity",1,-0.00242851430565062,0
1,"oxygen",1,0.431230198104397,0
5,"depth",1,-0.233665857212983,0
5,"temperature",1,-0.15642074730372,0
5,"po4",1,0.34924718418904,0
5,"no2",1,0.0363609365291623,0
5,"salinity",1,0.890420342363189,0
5,"oxygen",1,0.06920056013096,0
2,"depth",1,0.457697266342342,0
2,"temperature",1,0.397033178526344,0
2,"po4",1,-0.19838596843633,0
2,"no2",1,0.173038599692497,0
2,"salinity",1,-0.00799349679756417,0
2,"oxygen",1,0.750676109973537,0
4,"depth",2,0.0519954292223859,0
4,"temperature",2,-0.807296792387939,0
4,"po4",2,-0.556357881708469,0
4,"no2",2,-0.183838095612836,0
4,"salinity",2,0.0218666430547955,0
4,"oxygen",2,-0.0419484960868691,0
3,"depth",2,0.600890646257107,0
3,"temperature",2,0.581266672732267,0
3,"po4",2,0.392876969948105,0
3,"no2",2,-0.0547772330100869,0
3,"salinity",2,0.171019969507569,0
3,"oxygen",2,0.338317598816941,0
6,"depth",2,0.270409155878641,0
6,"temperature",2,-0.282148774675606,0
6,"po4",2,-0.767199775478725,0
6,"no2",2,0.264970850439934,0
6,"salinity",2,-0.0648532207485701,0
6,"oxygen",2,-0.429255133978761,0
1,"depth",2,0.156506331575349,0
1,"temperature",2,-0.0345646105230814,0
1,"po4",2,0.634293202650289,0
1,"no2",2,0.571707074152427,0
1,"salinity",2,-0.106570483793838,0
1,"oxygen",2,0.483504852401578,0
5,"depth",2,0.169271773656062,0
5,"temperature",2,0.170216084000492,0
5,"po4",2,0.156856480177102,0
5,"no2",2,0.398015242201061,0
5,"salinity",2,0.522380695226602,0
5,"oxygen",2,0.697475356014477,0
2,"depth",2,0.399853327694419,0
2,"temperature",2,0.387993383958531,0
2,"po4",2,-0.364056832246348,0
2,"no2",2,0.0811939240489274,0
2,"salinity",2,-0.653904423126911,0
2,"oxygen",2,0.35051052101679,0
4,"depth",3,-0.07496143701889,0
4,"temperature",3,-0.866646317463937,0
4,"po4",3,-0.473000710126662,0
4,"no2",3,-0.11668544614632,0
4,"salinity",3,0.0722023752666334,0
4,"oxygen",3,0.0273238955755555,0
3,"depth",3,0.905271108765701,0
3,"temperature",3,0.399794312095342,0
3,"po4",3,-0.0560303721807928,0
3,"no2",3,0.0477038224709168,0
3,"salinity",3,0.0645497214665032,0
3,"oxygen",3,0.105199828060089,0
6,"depth",3,-0.0303613067880545,0
6,"temperature",3,-0.495501903415269,0
6,"po4",3,-0.642474945599566,0
6,"no2",3,0.389350852258234,0
6,"salinity",3,-0.0966826278277943,0
6,"oxygen",3,-0.424075915799164,0
1,"depth",3,0.0119173719650664,0
1,"temperature",3,0.249702582350647,0
1,"po4",3,0.807915769120304,0
1,"no2",3,0.182731360740569,0
1,"salinity",3,0.0473911150233693,0
1,"oxygen",3,0.499141301274853,0
5,"depth",3,-0.473879497742999,0
5,"temperature",3,-0.454611820012446,0
5,"po4",3,0.0595849250325236,0
5,"no2",3,-0.339041202956439,0
5,"salinity",3,0.00555003692102397,0
5,"oxygen",3,-0.670996431600578,0
2,"depth",3,0.0363960947289301,0
