"canonical_direction","var","fold","value","seed"
1,"depth",1,-0.694402408045214,0
1,"temperature",1,0.67917321542976,0
1,"po4",1,-0.0784500612762163,0
1,"no2",1,-0.0173909920736891,0
1,"salinity",1,0.0144374734558408,0
1,"oxygen",1,0.22330190277844,0
2,"depth",1,-0.629447973997064,0
2,"temperature",1,-0.697197255038753,0
2,"po4",1,0.133226567038249,0
2,"no2",1,0.0386111752872013,0
2,"salinity",1,-0.0416145507066332,0
2,"oxygen",1,0.31102945800205,0
4,"depth",1,-0.645095841773108,0
4,"temperature",1,-0.430688360556248,0
4,"po4",1,-0.0709250332689325,0
4,"no2",1,0.0201073357591198,0
4,"salinity",1,0.0394553145680109,0
4,"oxygen",1,-0.625593721088397,0
3,"depth",1,0.0714707266011577,0
3,"temperature",1,-0.559695714806579,0
3,"po4",1,-0.695518292073369,0
3,"no2",1,0.10473039685678,0
3,"salinity",1,0.329350400978821,0
3,"oxygen",1,-0.280083567541744,0
6,"depth",1,0.354911103609125,0
6,"temperature",1,0.236311231597761,0
6,"po4",1,-0.0475608148419644,0
6,"no2",1,0.864992573624788,0
6,"salinity",1,-0.106431392081177,0
6,"oxygen",1,0.23747270495975,0
5,"depth",1,0.0616989518814908,0
5,"temperature",1,0.376183120088955,0
5,"po4",1,0.733863931740348,0
5,"no2",1,0.00994247922157476,0
5,"salinity",1,0.411127851536516,0
5,"oxygen",1,0.383403528916153,0
1,"depth",2,-0.521932814540194,0
1,"temperature",2,0.840483234988907,0
1,"po4",2,-0.128025976794265,0
1,"no2",2,0.0242419741004818,0
1,"salinity",2,0.0405318247784907,0
1,"oxygen",2,0.0505263886147101,0
2,"depth",2,-0.665168086131933,0
2,"temperature",2,-0.611992736969974,0
2,"po4",2,0.144298195190109,0
2,"no2",2,0.0172736440608933,0
2,"salinity",2,-0.05722308269682,0
2,"oxygen",2,0.39827311983109,0
4,"depth",2,-0.670320648287642,0
4,"temperature",2,-0.458362307665946,0
4,"po4",2,-0.039025046135183,0
4,"no2",2,-0.00538296636930411,0
4,"salinity",2,-0.00145200201038305,0
4,"oxygen",2,-0.582254398461497,0
3,"depth",2,-0.0449242627120794,0
3,"temperature",2,-0.609898825780006,0
3,"po4",2,-0.665942033178117,0
3,"no2",2,0.0056998473606988,0
3,"salinity",2,0.261887621491056,0
3,"oxygen",2,-0.337503817501912,0
6,"depth",2,0.35732336635816,0
6,"temperature",2,0.00943286498553525,0
6,"po4",2,-0.215454037828684,0
6,"no2",2,0.890842106633203,0
6,"salinity",2,0.0308108358708745,0
6,"oxygen",2,0.176809569702004,0
5,"depth",2,0.0278740359154248,0
5,"temperature",2,0.34567193755352,0
5,"po4",2,0.741462551280629,0
5,"no2",2,-0.0183184761971028,0
5,"salinity",2,0.440508515257009,0
5,"oxygen",2,0.368217213304977,0
1,"depth",3,-0.58768647485098,0
1,"temperature",3,0.79108153006853,0
1,"po4",3,-0.132393987352218,0
1,"no2",3,0.0107786114652347,0
1,"salinity",3,0.0325596736420998,0
1,"oxygen",3,0.100549198713085,0
2,"depth",3,-0.667066041699572,0
2,"temperature",3,-0.630275092199648,0
2,"po4",3,0.161612387628837,0
2,"no2",3,0.0262549318407863,0
2,"salinity",3,-0.0435398294521898,0
2,"oxygen",3,0.359266756233033,0
4,"depth",3,-0.640732863100062,0
4,"temperature",3,-0.447128521477865,0
4,"po4",3,-0.0559258210208191,0
4,"no2",3,-0.00387291388021133,0
4,"salinity",3,0.0066664093776664,0
4,"oxygen",3,-0.621570869243281,0
3,"depth",3,-0.0282911050006437,0
3,"temperature",3,-0.596498099608851,0
3,"po4",3,-0.684290340135903,0
3,"no2",3,-0.0194959337563468,0
3,"salinity",3,0.229770050311276,0
3,"oxygen",3,-0.349230573524832,0
6,"depth",3,0.356543372614123,0
6,"temperature",3,-0.0804673832641674,0
6,"po4",3,-0.49170293374869,0
6,"no2",3,0.781716054775468,0
6,"salinity",3,-0.1095914656094,0
6,"oxygen",3,0.0392398902949228,0
5,"depth",3,0.0663865072172722,0
5,"temperature",3,0.329322244562502,0
5,"po4",3,0.702639755306611,0
5,"no2",3,0.080688125426128,0
5,"salinity",3,0.488877975299397,0
5,"oxygen",3,0.384609954162464,0
1,"depth",4,-0.64266383096874,0
1,"temperature",4,0.751639271004712,0
1,"po4",4,-0.100260367272912,0
1,"no2",4,0.0223552305255544,0
1,"salinity",4,0.0297500612591552,0
1,"oxygen",4,0.102881693831385,0
2,"depth",4,-0.6968144712318,0
2,"temperature",4,-0.622866672081233,0
2,"po4",4,0.143172764268771,0
2,"no2",4,0.0419096034145584,0
2,"salinity",4,-0.058705816369297,0
2,"oxygen",4,0.317467279148708,0
4,"depth",4,-0.690667281037148,0
4,"temperature",4,-0.399878635510156,0
4,"po4",4,-0.010710067982358,0
4,"no2",4,-0.0751054039787034,0
4,"salinity",4,-0.0151792234007042,0
4,"oxygen",4,-0.597569952123807,0
3,"depth",4,-0.0935860151412765,0
3,"temperature",4,-0.624886708782319,0
3,"po4",4,-0.601375094547496,0
3,"no2",4,-0.109533670019344,0
3,"salinity",4,0.343364342464648,0
3,"oxygen",4,-0.330468694540167,0
6,"depth",4,0.27453242616035,0
