fold,cd,angle
1,1,1.1080222956473118
1,2,1.4791148895984745
1,3,1.5430496740396067
2,1,1.0843427921663298
2,2,1.5164350247781282
2,3,1.548453855271639
3,1,1.0592320833238793
3,2,1.502225298147698
3,3,1.5688757840665035
4,1,1.1131044966552337
4,2,1.4774279210961727
4,3,1.5595895748007151
5,1,1.0847723882966418
5,2,1.5040974365542352
5,3,1.5492788765438323
6,1,1.0756324693192039
6,2,1.5075426770217781
6,3,1.5707672473880614
7,1,1.096346030071778
7,2,1.4718501626277982
7,3,1.5513019369412873
8,1,1.0740303918509662
8,2,1.4968101633013353
8,3,1.525561648992791
9,1,1.0371699889647272
9,2,1.5152746068691334
9,3,1.5543514618594965
10,1,1.07701250962744
10,2,1.4987506788586082
10,3,1.5606103434323804
11,1,1.0898598069568524
11,2,1.4878715885083342
11,3,1.5675281679375903
12,1,1.0978194935624432
12,2,1.4836180809311097
12,3,1.5450648962050129
13,1,1.0894546940299878
13,2,1.502519393276908
13,3,1.5574533659446739
14,1,1.0964716491278765
14,2,1.4951833882326744
14,3,1.5322186273730594
15,1,1.0810343618911749
15,2,1.4865161353134138
15,3,1.5588557811982167
