fold,j,evr,method,split
1,1,0.056838531347822824,CCA,train
1,1,0.10515757631631188,CCA,test
1,1,0.1987556767504526,PCA,train
1,1,0.210818928468987,PCA,test
1,2,0.08357455681624557,CCA,train
1,2,0.11059284923731899,CCA,test
1,2,0.29449633842415346,PCA,train
1,2,0.23818479607359166,PCA,test
1,3,0.09433991758626922,CCA,train
1,3,0.12573939423886923,CCA,test
1,3,0.3566285296222955,PCA,train
1,3,0.27522754744030636,PCA,test
2,1,0.061272705364225855,CCA,train
2,1,0.04884827472990292,CCA,test
2,1,0.20693416401232603,PCA,train
2,1,0.09998666779990435,PCA,test
2,2,0.08867395156587504,CCA,train
2,2,0.06540178544899368,CCA,test
2,2,0.3041451971785048,PCA,train
2,2,0.13231497584787552,PCA,test
2,3,0.09979445597358617,CCA,train
2,3,0.06932530000148421,CCA,test
2,3,0.36218137532469274,PCA,train
2,3,0.22302287120337572,PCA,test
3,1,0.0638093366082149,CCA,train
3,1,0.021863170729678815,CCA,test
3,1,0.20546969311472982,PCA,train
3,1,0.12907126360914567,PCA,test
3,2,0.08743638484101868,CCA,train
3,2,0.07410918252510934,CCA,test
3,2,0.2914321617206071,PCA,train
3,2,0.27367739837630056,PCA,test
3,3,0.09898652384146135,CCA,train
3,3,0.08659766263933197,CCA,test
3,3,0.3557024516470746,PCA,train
3,3,0.3036872843311004,PCA,test
4,1,0.056229633470466826,CCA,train
4,1,0.08149074446480563,CCA,test
4,1,0.2008868418940169,PCA,train
4,1,0.16676795096773891,PCA,test
4,2,0.08262332874165887,CCA,train
4,2,0.1046782013060188,CCA,test
4,2,0.29613096691567403,PCA,train
4,2,0.20452291211232862,PCA,test
4,3,0.09316203908777676,CCA,train
4,3,0.11463836687024383,CCA,test
4,3,0.3575537318471408,PCA,train
4,3,0.2556955804647167,PCA,test
5,1,0.05916569659993683,CCA,train
5,1,0.04279957690127161,CCA,test
5,1,0.2026058127378035,PCA,train
5,1,0.14536521942900552,PCA,test
5,2,0.08613834245400455,CCA,train
5,2,0.06367607005098203,CCA,test
5,2,0.3000877556978392,PCA,train
5,2,0.16257426082155904,PCA,test
5,3,0.09643882404332252,CCA,train
5,3,0.06652598143629691,CCA,test
5,3,0.36337436794241734,PCA,train
5,3,0.1864866116376121,PCA,test
6,1,0.062205479569099095,CCA,train
6,1,0.024298557397389967,CCA,test
6,1,0.204209707346209,PCA,train
6,1,0.10880612244416232,PCA,test
6,2,0.08455705431340808,CCA,train
6,2,0.10766371517585092,CCA,test
6,2,0.3014077055824633,PCA,train
6,2,0.1140764917391787,PCA,test
6,3,0.0949879868445138,CCA,train
6,3,0.11884958349514006,CCA,test
6,3,0.36308654128568374,PCA,train
6,3,0.15589928536133604,PCA,test
7,1,0.06020700499649762,CCA,train
7,1,0.12082478625557358,CCA,test
7,1,0.19665677935112433,PCA,train
7,1,0.21728563915410404,PCA,test
7,2,0.08747920068318718,CCA,train
7,2,0.1293044836160416,CCA,test
7,2,0.2924179301086891,PCA,train
7,2,0.2697323076633178,PCA,test
7,3,0.09825623801453211,CCA,train
7,3,0.13721961592587448,CCA,test
7,3,0.355140707513673,PCA,train
7,3,0.3079412646181163,PCA,test
8,1,0.06121671599866488,CCA,train
8,1,0.02937750346766378,CCA,test
