"canonical_direction","var","fold","value"
1,"depth",1,-0.688118566119939
1,"temperature",1,0.72071047792514
1,"po4",1,-0.00486772783882836
1,"no2",1,-0.038957822765521
1,"salinity",1,0.052804651400948
1,"oxygen",1,0.0523403098141089
2,"depth",1,-0.67505228834587
2,"temperature",1,-0.590232167404634
2,"po4",1,0.221555402804749
2,"no2",1,0.0116427772635321
2,"salinity",1,-0.0590910793646972
2,"oxygen",1,0.378439281952817
4,"depth",1,-0.684861756866306
4,"temperature",1,-0.315716704664561
4,"po4",1,0.16597314880544
4,"no2",1,0.0612407527207356
4,"salinity",1,-0.0832300923310176
4,"oxygen",1,-0.626947025026934
3,"depth",1,0.162606376977033
3,"temperature",1,0.616085683734425
3,"po4",1,0.624285909008796
3,"no2",1,-0.0453779011720046
3,"salinity",1,-0.19615238256105
3,"oxygen",1,0.404635378060048
5,"depth",1,0.445458646941091
5,"temperature",1,0.206872990814631
5,"po4",1,-0.140606070894888
5,"no2",1,0.788059539275305
5,"salinity",1,-0.0256630838021092
5,"oxygen",1,0.342496220491969
6,"depth",1,-0.0484945405753196
6,"temperature",1,-0.31587003084513
6,"po4",1,-0.729002312279472
6,"no2",1,0.000326864756471837
6,"salinity",1,-0.473465285499013
6,"oxygen",1,-0.377174427057612
1,"depth",2,-0.770412500505614
1,"temperature",2,0.564097896221174
1,"po4",2,0.0459222079809796
1,"no2",2,-0.0110277664312476
1,"salinity",2,0.0494128879902596
1,"oxygen",2,0.289112518279102
2,"depth",2,-0.579646616502051
2,"temperature",2,-0.687789350276227
2,"po4",2,0.211197252124182
2,"no2",2,0.0201477689596439
2,"salinity",2,-0.055764543405119
2,"oxygen",2,0.377936123471006
4,"depth",2,-0.736132819314443
4,"temperature",2,-0.286182713707829
4,"po4",2,0.18805010465807
4,"no2",2,0.0709428565188426
4,"salinity",2,-0.0489054222248685
4,"oxygen",2,-0.577425714379812
3,"depth",2,0.157325625542109
3,"temperature",2,0.624100847009106
3,"po4",2,0.615829264671333
3,"no2",2,-0.0306117264199323
3,"salinity",2,-0.215771171610845
3,"oxygen",2,0.398756593415008
5,"depth",2,0.444877855605087
5,"temperature",2,0.145460910662781
5,"po4",2,-0.186201406830609
5,"no2",2,0.818276280872546
5,"salinity",2,-0.0123140840652657
5,"oxygen",2,0.27663359277337
6,"depth",2,-0.0653950995358666
6,"temperature",2,-0.341586178862736
6,"po4",2,-0.730777446861871
6,"no2",2,0.00563931782425862
6,"salinity",2,-0.442582234500659
6,"oxygen",2,-0.386129318135226
1,"depth",3,-0.686812539570668
1,"temperature",3,0.693374654115293
1,"po4",3,-0.0398476173749031
1,"no2",3,0.00335749723758722
1,"salinity",3,0.0332806101818949
1,"oxygen",3,0.211691804533743
2,"depth",3,-0.597510272955274
2,"temperature",3,-0.487796312598104
2,"po4",3,0.411784539807672
2,"no2",3,0.0118245611912682
2,"salinity",3,-0.0540733423994426
2,"oxygen",3,0.482085031190947
4,"depth",3,0.00680382361191615
4,"temperature",3,0.5793931565374
4,"po4",3,0.754100471805043
4,"no2",3,-0.0383659264733845
4,"salinity",3,-0.0626495934007683
4,"oxygen",3,0.300321229182778
3,"depth",3,0.578574542705852
3,"temperature",3,0.509064332230689
3,"po4",3,0.184151436178516
3,"no2",3,0.00436949532619664
3,"salinity",3,-0.0456053348148664
3,"oxygen",3,0.608353773460513
