"canonical_direction","var","fold","value","seed"
1,"depth",1,0.796313841225536,0
1,"temperature",1,-0.560577607347643,0
1,"po4",1,0.0187376870953558,0
1,"no2",1,0.0453122542138441,0
1,"salinity",1,-0.0326137826309362,0
1,"oxygen",1,-0.219474491219147,0
2,"depth",1,-0.583947087004723,0
2,"temperature",1,-0.694881066101116,0
2,"po4",1,0.176705081516249,0
2,"no2",1,0.0211144299577629,0
2,"salinity",1,-0.0371697566033619,0
2,"oxygen",1,0.378277686046661,0
4,"depth",1,-0.67447222751185,0
4,"temperature",1,-0.4309468175133,0
4,"po4",1,-0.0202980558260459,0
4,"no2",1,0.00525849424589787,0
4,"salinity",1,-0.00371102734327044,0
4,"oxygen",1,-0.5990981724512,0
3,"depth",1,0.00322319867018551,0
3,"temperature",1,0.581991984940146,0
3,"po4",1,0.67889828133479,0
3,"no2",1,-0.0759236287668072,0
3,"salinity",1,-0.294202884109051,0
3,"oxygen",1,0.328713141862667,0
6,"depth",1,0.325853402622752,0
6,"temperature",1,0.271276124156649,0
6,"po4",1,0.102585526801976,0
6,"no2",1,0.845816421638934,0
6,"salinity",1,0.0263950715347055,0
6,"oxygen",1,0.305945935153695,0
5,"depth",1,-0.0391711261101298,0
5,"temperature",1,-0.355840412063656,0
5,"po4",1,-0.741859771419505,0
5,"no2",1,0.0483501322420065,0
5,"salinity",1,-0.437348233365675,0
5,"oxygen",1,-0.357597666456501,0
1,"depth",2,0.581846102601544,0
1,"temperature",2,-0.80381289570441,0
1,"po4",2,0.111590508548113,0
1,"no2",2,0.00382238905450168,0
1,"salinity",2,-0.0531324144169972,0
1,"oxygen",2,-0.00705945244296497,0
2,"depth",2,-0.672665825107804,0
2,"temperature",2,-0.588140708259293,0
2,"po4",2,0.188230793329363,0
2,"no2",2,0.00938050652776943,0
2,"salinity",2,-0.0475231832405442,0
2,"oxygen",2,0.404764025840811,0
4,"depth",2,-0.67553594765188,0
4,"temperature",2,-0.438720744278778,0
4,"po4",2,-0.0115439684800011,0
4,"no2",2,-0.05204368130523,0
4,"salinity",2,-0.0311551294483111,0
4,"oxygen",2,-0.589374958669388,0
3,"depth",2,0.0708270878781398,0
3,"temperature",2,0.617910351018322,0
3,"po4",2,0.658151273561977,0
3,"no2",2,-0.029666463165501,0
3,"salinity",2,-0.240049787909673,0
3,"oxygen",2,0.348573124499918,0
6,"depth",2,0.281027605889088,0
6,"temperature",2,0.111138943317533,0
6,"po4",2,0.0501889507882672,0
6,"no2",2,0.910333598590118,0
6,"salinity",2,0.133813119831694,0
6,"oxygen",2,0.24400712584709,0
5,"depth",2,-0.00590342867282434,0
5,"temperature",2,-0.335151237351682,0
5,"po4",2,-0.748577415428187,0
5,"no2",2,0.0801037171363269,0
5,"salinity",2,-0.451523042681435,0
5,"oxygen",2,-0.342024834143722,0
1,"depth",3,0.627653468262512,0
1,"temperature",3,-0.768913541915582,0
1,"po4",3,0.101070324251718,0
1,"no2",3,0.0164324260371915,0
1,"salinity",3,-0.0594071097149802,0
1,"oxygen",3,-0.0284367558341388,0
2,"depth",3,-0.671894765686659,0
2,"temperature",3,-0.59279693067283,0
2,"po4",3,0.203299875208072,0
2,"no2",3,0.0161179687746773,0
2,"salinity",3,-0.042143177046146,0
2,"oxygen",3,0.39215117911229,0
4,"depth",3,-0.6595472031363,0
4,"temperature",3,-0.426869755955966,0
4,"po4",3,-0.0075630888267251,0
4,"no2",3,-0.0459583127978576,0
4,"salinity",3,-0.0421306296100454,0
4,"oxygen",3,-0.615496012583358,0
3,"depth",3,0.0592770733833087,0
3,"temperature",3,0.600079821379883,0
3,"po4",3,0.683655545076597,0
3,"no2",3,-0.0261478240004153,0
3,"salinity",3,-0.179219584882719,0
3,"oxygen",3,0.369055773460229,0
6,"depth",3,0.331623801000828,0
6,"temperature",3,0.0468679683849428,0
6,"po4",3,-0.273447933180284,0
6,"no2",3,0.889240131125972,0
6,"salinity",3,-0.070653133655091,0
6,"oxygen",3,0.131587992949364,0
5,"depth",3,-0.0223992903251077,0
5,"temperature",3,-0.291040491538545,0
5,"po4",3,-0.718231215405794,0
5,"no2",3,-0.0313968617998437,0
5,"salinity",3,-0.527773662274832,0
5,"oxygen",3,-0.345552924705871,0
1,"depth",4,0.659984175542787,0
1,"temperature",4,-0.744695950892603,0
1,"po4",4,0.059056012812596,0
1,"no2",4,0.000975061052405872,0
1,"salinity",4,-0.0477545743955552,0
1,"oxygen",4,-0.0638730458659295,0
2,"depth",4,-0.704014774829253,0
2,"temperature",4,-0.589264654602512,0
2,"po4",4,0.187804384194873,0
2,"no2",4,0.0346724268893193,0
2,"salinity",4,-0.0539466048725223,0
2,"oxygen",4,0.343143502884457,0
4,"depth",4,-0.696069164450049,0
4,"temperature",4,-0.382040558621916,0
4,"po4",4,0.00850465686226459,0
4,"no2",4,-0.0826018101827184,0
4,"salinity",4,-0.0617447713823004,0
4,"oxygen",4,-0.599019970320528,0
3,"depth",4,0.129064562070428,0
3,"temperature",4,0.627768329996584,0
3,"po4",4,0.615040513844342,0
3,"no2",4,0.0572771122878624,0
3,"salinity",4,-0.271492678409586,0
3,"oxygen",4,0.366040280541513,0
6,"depth",4,0.284067247237849,0
6,"temperature",4,-0.111557558871189,0
6,"po4",4,-0.391091159760684,0
6,"no2",4,0.866775290257161,0
6,"salinity",4,0.0342633143246115,0
6,"oxygen",4,-0.0378818736807234,0
5,"depth",4,0.0159349058221541,0
5,"temperature",4,-0.342468483939018,0
5,"po4",4,-0.770111051833064,0
5,"no2",4,-0.00203329717259479,0
5,"salinity",4,-0.418534083217944,0
5,"oxygen",4,-0.337957794727455,0
1,"depth",5,0.730145464178169,0
1,"temperature",5,-0.658751111702253,0
1,"po4",5,0.129927427699507,0
1,"no2",5,-0.0143532692040823,0
1,"salinity",5,-0.0272511646786658,0
1,"oxygen",5,-0.122901567074191,0
2,"depth",5,-0.614417409917303,0
2,"temperature",5,-0.683297306409661,0
2,"po4",5,0.138236998529883,0
2,"no2",5,0.0257311840348191,0
2,"salinity",5,-0.0455107258400236,0
2,"oxygen",5,0.365722913806264,0
4,"depth",5,-0.689212815189804,0
4,"temperature",5,-0.422260454360871,0
4,"po4",5,0.033596913095185,0
4,"no2",5,-0.0785289785036259,0
4,"salinity",5,0.0192349966817849,0
4,"oxygen",5,-0.582251033429224,0
3,"depth",5,-0.000126045726094283,0
3,"temperature",5,0.572641021267185,0
3,"po4",5,0.651865453156792,0
3,"no2",5,-0.0673186987910797,0
3,"salinity",5,-0.357188284870707,0
3,"oxygen",5,0.33917310889786,0
6,"depth",5,0.26364954372489,0
6,"temperature",5,0.203832488667887,0
6,"po4",5,0.117394336907575,0
6,"no2",5,0.904287885811098,0
6,"salinity",5,0.0466112552734009,0
6,"oxygen",5,0.235054493205886,0
5,"depth",5,-0.0175342464104849,0
5,"temperature",5,-0.351412653185681,0
5,"po4",5,-0.745223834579774,0
5,"no2",5,0.0612794833428529,0
5,"salinity",5,-0.392148553819767,0
5,"oxygen",5,-0.404113190104372,0
1,"depth",6,0.579057915483339,0
1,"temperature",6,-0.807243128515536,0
1,"po4",6,0.0946188610972287,0
1,"no2",6,-0.00811529129505511,0
1,"salinity",6,-0.050129680685286,0
1,"oxygen",6,-0.0389729427525132,0
2,"depth",6,-0.670897678763984,0
2,"temperature",6,-0.592758684925696,0
2,"po4",6,0.16220262622069,0
2,"no2",6,0.0602327657148632,0
2,"salinity",6,-0.0426020753502777,0
2,"oxygen",6,0.408388088993247,0
4,"depth",6,-0.701507682526638,0
4,"temperature",6,-0.362951813844688,0
4,"po4",6,0.112446193020665,0
4,"no2",6,-0.166269280390361,0
4,"salinity",6,-0.0478933936967757,0
4,"oxygen",6,-0.577554807006913,0
3,"depth",6,0.130913364727696,0
3,"temperature",6,0.622207836159964,0
3,"po4",6,0.600319360629169,0
3,"no2",6,-0.00665950534550972,0
3,"salinity",6,-0.298330086854878,0
3,"oxygen",6,0.382479509354827,0
6,"depth",6,0.0271483991208642,0
6,"temperature",6,-0.32981747614934,0
6,"po4",6,-0.672714095261601,0
6,"no2",6,0.486146703149455,0
6,"salinity",6,-0.28277465156066,0
6,"oxygen",6,-0.348767863111959,0
5,"depth",6,-0.116391705019689,0
5,"temperature",6,-0.351879662487453,0
5,"po4",6,-0.662682886347809,0
5,"no2",6,-0.419752135473048,0
5,"salinity",6,-0.374467429540508,0
5,"oxygen",6,-0.327211483984291,0
1,"depth",7,0.718638308424782,0
1,"temperature",7,-0.686218089325969,0
1,"po4",7,0.102905584036119,0
1,"no2",7,0.0159229890923626,0
1,"salinity",7,-0.0422985808478078,0
