fold,cd,angle
1,1,1.1186861444566376
1,2,1.4065144120902344
1,3,1.5570253860307979
2,1,1.0842728122949752
2,2,1.4838560785303077
2,3,1.5559461691388328
3,1,1.0805730483346647
3,2,1.4611063245563305
3,3,1.561477445045815
4,1,1.1412373115659924
4,2,1.3806631797172282
4,3,1.556504308770462
5,1,1.1069546435406312
5,2,1.430414412667387
5,3,1.5514578535128263
6,1,1.0569620356102907
6,2,1.4954954629838282
6,3,1.5656980626706465
7,1,1.0936138257941357
7,2,1.403942189802801
7,3,1.5582596018235224
8,1,1.0957433845177604
8,2,1.4355149161300669
8,3,1.562992359789154
9,1,1.0606192558801482
9,2,1.4505686380517557
9,3,1.560256520636126
10,1,1.0777609996441069
10,2,1.4454370856207084
10,3,1.5648700112490805
11,1,1.1128071454692718
11,2,1.4189436963182656
11,3,1.5689935601146778
12,1,1.1158819222022203
12,2,1.3994177933410246
12,3,1.554416866968069
13,1,1.0995368449280047
13,2,1.4580825487017468
13,3,1.5584335208673525
14,1,1.1120760635623332
14,2,1.4359587997362715
14,3,1.561747256318616
15,1,1.1348459319863287
15,2,1.3750041600206364
15,3,1.5512169500137243
