fold,j,evr,method,split
1,1,0.043911223867004155,CCA,train
1,1,0.08353910851265138,CCA,test
1,1,0.1583539531901616,PCA,train
1,1,0.20839123307605636,PCA,test
1,2,0.07464368553129155,CCA,train
1,2,0.09554090983038867,CCA,test
1,2,0.2537999705168503,PCA,train
1,2,0.22292181467127986,PCA,test
1,3,0.08283855082189283,CCA,train
1,3,0.1027960683305937,CCA,test
1,3,0.3111553645173482,PCA,train
1,3,0.22467323839030848,PCA,test
2,1,0.0455303368584189,CCA,train
2,1,0.04107525010531374,CCA,test
2,1,0.16391823310808945,PCA,train
2,1,0.11363788704035502,PCA,test
2,2,0.07878158043140804,CCA,train
2,2,0.05942572744215058,CCA,test
2,2,0.2588623106992778,PCA,train
2,2,0.1458399426675302,PCA,test
2,3,0.08725357380458063,CCA,train
2,3,0.06337921124128557,CCA,test
2,3,0.3156232903013469,PCA,train
2,3,0.16448102524085828,PCA,test
3,1,0.04830782281266519,CCA,train
3,1,0.02289117224506522,CCA,test
3,1,0.16728250926544613,PCA,train
3,1,0.08226489821588376,PCA,test
3,2,0.07659486729134957,CCA,train
3,2,0.07632245290496652,CCA,test
3,2,0.2604267916839325,PCA,train
3,2,0.14418058090869795,PCA,test
3,3,0.08642938392328398,CCA,train
3,3,0.09020955010580618,CCA,test
3,3,0.3085201550601448,PCA,train
3,3,0.21417296849644676,PCA,test
4,1,0.0442563321072508,CCA,train
4,1,0.036267600298987915,CCA,test
4,1,0.1611936580685854,PCA,train
4,1,0.1519257275045222,PCA,test
4,2,0.07563914693694318,CCA,train
4,2,0.057905527340755346,CCA,test
4,2,0.2568716900525401,PCA,train
4,2,0.17854262218932965,PCA,test
4,3,0.0841237609761407,CCA,train
4,3,0.06273058226805359,CCA,test
4,3,0.3139674392900539,PCA,train
4,3,0.19560537937645453,PCA,test
5,1,0.04455553250405096,CCA,train
5,1,0.038602162789592796,CCA,test
5,1,0.16348579614477254,PCA,train
5,1,0.11626647741817965,PCA,test
5,2,0.07615782551744237,CCA,train
5,2,0.05207360067832064,CCA,test
5,2,0.25892131894900144,PCA,train
5,2,0.14060897576350995,PCA,test
5,3,0.08402732813315257,CCA,train
5,3,0.0600611232604966,CCA,test
5,3,0.31677808305708477,PCA,train
5,3,0.14202847406266636,PCA,test
6,1,0.051977563284419326,CCA,train
6,1,0.011881165098105521,CCA,test
6,1,0.17025281105934104,PCA,train
6,1,0.05663595987393925,PCA,test
6,2,0.07889170804521066,CCA,train
6,2,0.08635942856403185,CCA,test
6,2,0.24111418133675594,PCA,train
6,2,0.29535936235273796,PCA,test
6,3,0.08729766354204307,CCA,train
6,3,0.0930830966869909,CCA,test
6,3,0.3004794855759842,PCA,train
6,3,0.2965777738144519,PCA,test
7,1,0.04758420673820144,CCA,train
7,1,0.09420813216376528,CCA,test
7,1,0.1556304271229924,PCA,train
7,1,0.2243333064955847,PCA,test
7,2,0.07906609344104444,CCA,train
7,2,0.10197014395585431,CCA,test
7,2,0.2525640475779587,PCA,train
7,2,0.23331889698488173,PCA,test
7,3,0.08772790449569023,CCA,train
7,3,0.11015768318500122,CCA,test
7,3,0.31011404320374275,PCA,train
7,3,0.24221150983308384,PCA,test
8,1,0.04663346385468525,CCA,train
