"canonical_direction","var","fold","value"
1,"depth",1,0.807312473670927
1,"temperature",1,-0.584753891776758
1,"po4",1,0.0191797280037288
1,"no2",1,0.034417501621872
1,"salinity",1,-0.034011000243272
1,"oxygen",1,-0.0600023448335808
2,"depth",1,0.639417108538219
2,"temperature",1,0.65168750315705
2,"po4",1,-0.177413206109479
2,"no2",1,-0.0158932078277914
2,"salinity",1,0.0586549807560635
2,"oxygen",1,-0.362326804160219
4,"depth",1,0.652770017973475
4,"temperature",1,0.398651123966898
4,"po4",1,-0.0341371742636339
4,"no2",1,0.0327326769381136
4,"salinity",1,0.0687166326519563
4,"oxygen",1,0.638756475180936
3,"depth",1,-0.124667940529648
3,"temperature",1,-0.622780569610945
3,"po4",1,-0.605704126194386
3,"no2",1,0.0283601920949624
3,"salinity",1,0.303321912566629
3,"oxygen",1,-0.370022019738714
5,"depth",1,0.347636301571921
5,"temperature",1,0.180214981835223
5,"po4",1,-0.0208384111694107
5,"no2",1,0.868864521790959
5,"salinity",1,0.0639964692903825
5,"oxygen",1,0.295323919557481
6,"depth",1,-0.0148456655579498
6,"temperature",1,-0.349544218798641
6,"po4",1,-0.762103917156255
6,"no2",1,0.0509688888363694
6,"salinity",1,-0.400743678852529
6,"oxygen",1,-0.365517087157644
1,"depth",2,0.862573553835456
1,"temperature",2,-0.450053348335047
1,"po4",2,-0.00140094927151806
1,"no2",2,0.0143038087419244
1,"salinity",2,-0.0413220280937375
1,"oxygen",2,-0.226946637487578
2,"depth",2,0.564845851867233
2,"temperature",2,0.719243024596695
2,"po4",2,-0.180778927628489
2,"no2",2,-0.0233956623062999
2,"salinity",2,0.0444253546098355
2,"oxygen",2,-0.358380587331278
4,"depth",2,0.690538604803807
4,"temperature",2,0.382062199220703
4,"po4",2,-0.0365904525410905
4,"no2",2,0.0579851137318935
4,"salinity",2,0.0476509118336336
4,"oxygen",2,0.608451450135516
3,"depth",2,-0.101509124232705
3,"temperature",2,-0.62754323325554
3,"po4",2,-0.597350790529879
3,"no2",2,0.0238878612864231
3,"salinity",2,0.3306479690051
3,"oxygen",2,-0.359386577131067
5,"depth",2,0.296783037872671
5,"temperature",2,0.130768451809488
5,"po4",2,-0.0329296920844158
5,"no2",2,0.919905773979645
5,"salinity",2,0.0648277988961777
5,"oxygen",2,0.208100454854938
6,"depth",2,-0.0265632930067333
6,"temperature",2,-0.375712900447746
6,"po4",2,-0.761823959925304
6,"no2",2,0.0506758226413311
6,"salinity",2,-0.371992861822282
6,"oxygen",2,-0.369880702035673
1,"depth",3,0.758629204890547
1,"temperature",3,-0.621756422182899
1,"po4",3,0.097252120675867
1,"no2",3,0.00400181320723596
1,"salinity",3,-0.01989435147618
1,"oxygen",3,-0.167424329940126
2,"depth",3,0.595435172427103
2,"temperature",3,0.562218468685339
2,"po4",3,-0.334061051100943
2,"no2",3,-0.0191183347597189
2,"salinity",3,0.0509064845569614
2,"oxygen",3,-0.463479861643653
4,"depth",3,0.174888485674204
4,"temperature",3,-0.501070034948921
4,"po4",3,-0.815857473713416
4,"no2",3,0.0960612441521721
4,"salinity",3,0.0689948502022565
4,"oxygen",3,-0.196802866489129
3,"depth",3,-0.453166964976194
3,"temperature",3,-0.569489020806353
3,"po4",3,-0.374832112154072
3,"no2",3,-0.0239104507694306
3,"salinity",3,0.0319859895606468
3,"oxygen",3,-0.572911888120008
5,"depth",3,0.255158563723821
5,"temperature",3,0.137319434169962
5,"po4",3,0.000740994589040872
5,"no2",3,0.948300594629701
5,"salinity",3,0.0445479123834855
5,"oxygen",3,0.121566430448075
6,"depth",3,-0.023189763404561
6,"temperature",3,-0.255306745682505
6,"po4",3,-0.68753933146842
6,"no2",3,0.0453365115960345
6,"salinity",3,-0.577907420217337
6,"oxygen",3,-0.354313395936779
1,"depth",4,0.594777160163114
1,"temperature",4,-0.794192608955001
1,"po4",4,0.0893529413293189
1,"no2",4,0.020603630669127
1,"salinity",4,-0.0641609714253762
1,"oxygen",4,-0.0545265224854123
2,"depth",4,0.687425031837386
2,"temperature",4,0.600662755600631
2,"po4",4,-0.164577892523151
2,"no2",4,-0.0104093287828225
2,"salinity",4,0.0555235172743929
2,"oxygen",4,-0.369288480505463
4,"depth",4,0.669358814138204
4,"temperature",4,0.407456703435952
4,"po4",4,-0.0140586887320547
4,"no2",4,0.0601987736365838
4,"salinity",4,0.0379569143268353
4,"oxygen",4,0.616989097423266
3,"depth",4,-0.0689366865526388
3,"temperature",4,-0.615941742476087
3,"po4",4,-0.612309756274024
3,"no2",4,0.0507058636332619
3,"salinity",4,0.338356151047033
3,"oxygen",4,-0.351972010160116
5,"depth",4,0.276605539278316
5,"temperature",4,0.157193290398381
5,"po4",4,-0.0213623168581718
5,"no2",4,0.919543248611531
5,"salinity",4,-0.0144425493505227
5,"oxygen",4,0.229248605696835
6,"depth",4,-0.0214967820451486
6,"temperature",4,-0.388170860720252
6,"po4",4,-0.757800041922327
6,"no2",4,0.0275158768330953
6,"salinity",4,-0.36058221066796
6,"oxygen",4,-0.379240970339222
1,"depth",5,0.730957410600426
1,"temperature",5,-0.65367200321924
1,"po4",5,0.029758786874403
1,"no2",5,0.0573756319504111
1,"salinity",5,-0.0369531176390936
1,"oxygen",5,-0.181303873798856
2,"depth",5,0.621090864855487
2,"temperature",5,0.670399785632761
2,"po4",5,-0.170352531870305
2,"no2",5,-0.00578067561428009
2,"salinity",5,0.0589414686001215
2,"oxygen",5,-0.363706979546297
4,"depth",5,0.700843734841888
4,"temperature",5,0.377383154518194
4,"po4",5,-0.0409853491433378
4,"no2",5,0.0118146310760674
4,"salinity",5,0.0309208740805014
4,"oxygen",5,0.603012876490215
3,"depth",5,0.0484642745986566
3,"temperature",5,-0.521899330237315
3,"po4",5,-0.580147446994611
3,"no2",5,0.47956266511109
3,"salinity",5,0.341252097728071
3,"oxygen",5,-0.205591582898817
5,"depth",5,0.23481135391365
5,"temperature",5,0.565091159358207
5,"po4",5,0.479760193542467
5,"no2",5,0.433602115550568
5,"salinity",5,-0.206564276361383
5,"oxygen",5,0.405815440196527
6,"depth",5,-0.0363622669954686
6,"temperature",5,-0.354546272282519
6,"po4",5,-0.759150926851634
6,"no2",5,0.050444454422706
6,"salinity",5,-0.386433358499654
6,"oxygen",5,-0.380511777828884
1,"depth",6,0.733352097713155
1,"temperature",6,-0.630789445177775
1,"po4",6,0.0357038113548802
1,"no2",6,-0.0256233354567467
1,"salinity",6,-0.0368467434916135
1,"oxygen",6,-0.247002786747235
2,"depth",6,0.596291960405088
2,"temperature",6,0.68715071662776
2,"po4",6,-0.15948341184961
2,"no2",6,-0.0209783568526192
2,"salinity",6,0.0617402207055372
2,"oxygen",6,-0.377588248797572
4,"depth",6,0.683928696212746
4,"temperature",6,0.407668816036702
4,"po4",6,-0.0208602009394675
4,"no2",6,0.0718749536274272
4,"salinity",6,0.0405721720881965
4,"oxygen",6,0.59899951322003
3,"depth",6,-0.0896674175613688
3,"temperature",6,-0.611075141965197
3,"po4",6,-0.615531881133823
3,"no2",6,-0.0414124629771788
3,"salinity",6,0.306739252900681
3,"oxygen",6,-0.37929337859768
5,"depth",6,0.250920680968231
5,"temperature",6,-0.0956036909872739
5,"po4",6,-0.259425111188191
5,"no2",6,0.919186785906299
5,"salinity",6,0.0970100490793673
5,"oxygen",6,0.0792594524956545
6,"depth",6,-0.0100411686091611
6,"temperature",6,-0.342958965443724
6,"po4",6,-0.762806237674688
6,"no2",6,0.027005379769249
6,"salinity",6,-0.398166167425819
6,"oxygen",6,-0.375685213044476
1,"depth",7,0.713858801772458
1,"temperature",7,-0.687168294468534
1,"po4",7,0.104376142000618
1,"no2",7,0.0281150771650369
1,"salinity",7,-0.040034262158943
1,"oxygen",7,-0.0701267957321315
2,"depth",7,0.658109067479415
2,"temperature",7,0.629112216306517
2,"po4",7,-0.167259102887714
2,"no2",7,-0.0125285036069232
2,"salinity",7,0.0482815677416788
2,"oxygen",7,-0.375028790775122
4,"depth",7,0.700019339176151
4,"temperature",7,0.376508485150449
4,"po4",7,-0.0648599568139926
4,"no2",7,0.0691000880662111
4,"salinity",7,0.0497379699564969
4,"oxygen",7,0.597292879218423
3,"depth",7,-0.0948640809347992
3,"temperature",7,-0.610218280986219
3,"po4",7,-0.656585540753988
