"canonical_direction","var","fold","value"
1,"depth",1,0.937244923801891
1,"po4",1,-0.0701512358866577
1,"no2",1,0.0191610660462419
1,"salinity",1,0.00759442981232384
1,"oxygen",1,-0.230040371486137
2,"depth",1,-0.106072958286647
2,"po4",1,1.09929773832108
2,"no2",1,-0.0140868959050955
2,"salinity",1,-0.0799736460638829
2,"oxygen",1,1.09793064775248
3,"depth",1,0.888131637045978
3,"po4",1,-0.841480814359209
3,"no2",1,-0.048303958136413
3,"salinity",1,0.125339292025877
3,"oxygen",1,0.534425630629367
5,"depth",1,-0.388648264730223
5,"po4",1,0.0381804324062067
5,"no2",1,-0.984434369172706
5,"salinity",1,-0.403731382603679
5,"oxygen",1,-0.395927020375051
4,"depth",1,0.257703110837954
4,"po4",1,-0.969110452646528
4,"no2",1,0.364941382483831
4,"salinity",1,-1.08323646924943
4,"oxygen",1,-0.240103733611349
1,"depth",2,0.856212240580331
1,"po4",2,-0.0971277890594086
1,"no2",2,0.00196558867004814
1,"salinity",2,-0.00757767934941217
1,"oxygen",2,-0.331454315706018
2,"depth",2,0.0762760118933116
2,"po4",2,-1.12128597497369
2,"no2",2,0.0141826924355887
2,"salinity",2,0.0877439466165501
2,"oxygen",2,-1.07053148249459
3,"depth",2,0.957505318258416
3,"po4",2,-0.779565969607322
3,"no2",2,-0.0225722424983572
3,"salinity",2,0.136653020240572
3,"oxygen",2,0.517159295434866
5,"depth",2,0.349065782862217
5,"po4",2,0.0339269176253035
5,"no2",2,0.969925677155554
5,"salinity",2,0.4024173350223
5,"oxygen",2,0.335620129865698
4,"depth",2,0.268099717282414
4,"po4",2,-0.96622764537792
4,"no2",2,0.380020225310582
4,"salinity",2,-1.03622858637041
4,"oxygen",2,-0.241763454917218
1,"depth",3,-0.844579126111556
1,"po4",3,-0.044936361651028
1,"no2",3,0.00500634524102243
1,"salinity",3,-0.0230806992377033
1,"oxygen",3,0.20864276171348
2,"depth",3,-0.393710617571099
2,"po4",3,1.38381918034119
2,"no2",3,-0.0396277443063608
2,"salinity",3,-0.0835964814112793
2,"oxygen",3,1.13261153486649
3,"depth",3,0.973061315130827
3,"po4",3,-0.764339099694752
3,"no2",3,0.0737332464436843
3,"salinity",3,0.0468821549541467
3,"oxygen",3,0.65110249824763
5,"depth",3,0.261878771743567
5,"po4",3,0.15818901245652
5,"no2",3,0.936834333015135
5,"salinity",3,0.50999153199289
5,"oxygen",3,0.287390391110192
4,"depth",3,0.269558167195036
4,"po4",3,-0.95121350272085
4,"no2",3,0.468841768034229
4,"salinity",3,-1.09624590250881
4,"oxygen",3,-0.317495704505308
1,"depth",4,0.882734197482742
1,"po4",4,-0.0266054923878814
1,"no2",4,0.0052515836468069
1,"salinity",4,0.000113056386302267
1,"oxygen",4,-0.267997942998716
2,"depth",4,0.180825380107787
2,"po4",4,-1.11987186170598
2,"no2",4,0.0224163245249733
2,"salinity",4,0.104799018953021
2,"oxygen",4,-1.08301462815069
3,"depth",4,0.950753671431074
3,"po4",4,-0.823767798017296
3,"no2",4,-0.00864140754547293
3,"salinity",4,0.126623544544011
3,"oxygen",4,0.494913945055789
5,"depth",4,0.319181395283926
5,"po4",4,0.0130631186460751
5,"no2",4,0.986783161028598
5,"salinity",4,0.346087936692444
5,"oxygen",4,0.33834134974477
4,"depth",4,0.251449664920249
4,"po4",4,-0.939192353671109
4,"no2",4,0.331546530280632
4,"salinity",4,-1.07642528799266
4,"oxygen",4,-0.251356116274976
1,"depth",5,0.870168817152164
1,"po4",5,-0.0515328089047404
1,"no2",5,0.0338725252334036
1,"salinity",5,0.00484077022474685
1,"oxygen",5,-0.291600535268571
2,"depth",5,0.0880815691064315
2,"po4",5,-1.12021563359391
2,"no2",5,0.0135193105601819
2,"salinity",5,0.105060669167302
2,"oxygen",5,-1.06406555502558
3,"depth",5,-0.930575891995059
3,"po4",5,0.809755772251234
3,"no2",5,0.153501833262605
3,"salinity",5,-0.0650608143273641
3,"oxygen",5,-0.471567481354328
5,"depth",5,0.442563155591324
5,"po4",5,-0.114747763082857
5,"no2",5,1.04086574498018
5,"salinity",5,0.320227914692132
5,"oxygen",5,0.37547025941363
4,"depth",5,0.168238965528237
4,"po4",5,-0.951683432833466
4,"no2",5,0.290639803698423
4,"salinity",5,-1.10424052391748
4,"oxygen",5,-0.325574023028968
1,"depth",6,0.840872452198335
1,"po4",6,0.0277702387371993
1,"no2",6,-0.0105265592116605
1,"salinity",6,-0.00330706356256855
1,"oxygen",6,-0.239539440610547
2,"depth",6,0.194896957302349
2,"po4",6,-1.13855197611411
2,"no2",6,0.03297708963257
2,"salinity",6,0.11806464012415
2,"oxygen",6,-1.18536102136757
3,"depth",6,-0.977820079295743
3,"po4",6,0.901826266285122
3,"no2",6,0.0173650895192625
3,"salinity",6,-0.116423240905343
3,"oxygen",6,-0.441512120771744
5,"depth",6,0.41005333219751
5,"po4",6,-0.167777615670187
5,"no2",6,1.04126407895175
5,"salinity",6,0.150562391635676
5,"oxygen",6,0.331066896783947
4,"depth",6,0.158735966065092
4,"po4",6,-0.966864097166435
4,"no2",6,0.135321163618526
4,"salinity",6,-1.13157229891393
4,"oxygen",6,-0.349598256416258
1,"depth",7,-0.904306133690139
1,"po4",7,-0.0573360839541987
1,"no2",7,-0.00760219658044632
1,"salinity",7,-0.0159983760911926
1,"oxygen",7,0.221511952731644
2,"depth",7,-0.206064931392351
2,"po4",7,1.15503840965576
2,"no2",7,-0.0267405471307052
2,"salinity",7,-0.087577638506437
2,"oxygen",7,1.06903294220428
3,"depth",7,-1.01873438304793
3,"po4",7,0.813187883213369
3,"no2",7,-0.0075591267668576
3,"salinity",7,-0.118514758583057
3,"oxygen",7,-0.550748392655987
5,"depth",7,-0.354654498141892
5,"po4",7,0.127741625796183
5,"no2",7,-1.02734325334607
5,"salinity",7,-0.218742474270968
5,"oxygen",7,-0.300023795195362
4,"depth",7,0.266307904063076
4,"po4",7,-0.982900548550252
4,"no2",7,0.204706789743115
4,"salinity",7,-1.17516828069279
4,"oxygen",7,-0.306236492965046
1,"depth",8,-0.891821025397033
