"canonical_direction","var","fold","value","seed"
3,"depth",1,-0.0980753623600151,0
3,"temperature",1,-0.917215710460366,0
3,"po4",1,0.0467469304081143,0
3,"no2",1,-0.161256632493105,0
3,"salinity",1,-0.0288943058465768,0
3,"oxygen",1,0.34651508747338,0
4,"depth",1,0.715558237577538,0
4,"temperature",1,0.562525316179134,0
4,"po4",1,0.276657174507251,0
4,"no2",1,0.0499017003931991,0
4,"salinity",1,0.0375321434467443,0
4,"oxygen",1,0.301833801275335,0
6,"depth",1,0.220236882919852,0
6,"temperature",1,-0.384254840276022,0
6,"po4",1,-0.769134101961149,0
6,"no2",1,0.409698704131156,0
6,"salinity",1,-0.0819800522647249,0
6,"oxygen",1,-0.194172369791737,0
2,"depth",1,0.040174333772683,0
2,"temperature",1,-0.180569276920004,0
2,"po4",1,0.245970469064537,0
2,"no2",1,-0.0349395582408343,0
2,"salinity",1,0.95062063781231,0
2,"oxygen",1,-0.0194658090490117,0
5,"depth",1,-0.00509437304656729,0
5,"temperature",1,0.374473324609844,0
5,"po4",1,0.683165311259512,0
5,"no2",1,0.296815713059859,0
5,"salinity",1,0.140680535897885,0
5,"oxygen",1,0.533983476627189,0
1,"depth",1,-0.392585160796323,0
1,"temperature",1,-0.431615631249544,0
1,"po4",1,0.0983757505914361,0
1,"no2",1,0.220261524059914,0
1,"salinity",1,-0.0959269029766621,0
1,"oxygen",1,-0.769538784196914,0
3,"depth",2,-0.241767330333874,0
3,"temperature",2,-0.905759265638588,0
3,"po4",2,-0.0848182717589544,0
3,"no2",2,-0.276674855041617,0
3,"salinity",2,-0.0207435061825259,0
3,"oxygen",2,0.192289633126323,0
4,"depth",2,0.771879012844908,0
4,"temperature",2,0.504157683424527,0
4,"po4",2,0.219329009713605,0
4,"no2",2,0.0515329165981908,0
4,"salinity",2,0.0283757221423416,0
4,"oxygen",2,0.313786204558802,0
6,"depth",2,0.147741369062003,0
6,"temperature",2,-0.452615445454876,0
6,"po4",2,-0.805011977961421,0
6,"no2",2,0.212401266979465,0
6,"salinity",2,-0.0384804265090971,0
6,"oxygen",2,-0.280486042973987,0
2,"depth",2,0.0693529530048209,0
2,"temperature",2,0.0384871366223813,0
2,"po4",2,0.0696703838485003,0
2,"no2",2,-0.536367970446523,0
2,"salinity",2,0.830425244665959,0
2,"oxygen",2,-0.107509344426817,0
5,"depth",2,0.164501561784448,0
5,"temperature",2,0.37082685452181,0
5,"po4",2,0.458790331505015,0
5,"no2",2,0.229590982656715,0
5,"salinity",2,0.242501564361038,0
5,"oxygen",2,0.716532681612381,0
1,"depth",2,-0.218204459163636,0
1,"temperature",2,-0.388259644343995,0
1,"po4",2,0.509549018536352,0
1,"no2",2,0.405787072573796,0
1,"salinity",2,0.596100155609734,0
1,"oxygen",2,-0.148332452611218,0
3,"depth",3,-0.272860434559535,0
3,"temperature",3,-0.882830251394779,0
3,"po4",3,-0.036629055342619,0
3,"no2",3,-0.238670425500655,0
3,"salinity",3,0.104477362575256,0
3,"oxygen",3,0.277375470219654,0
4,"depth",3,0.874250901328427,0
4,"temperature",3,0.402033643763246,0
4,"po4",3,0.133889103235197,0
4,"no2",3,0.0753388027652741,0
4,"salinity",3,-0.0426750434872696,0
4,"oxygen",3,0.220524203444907,0
6,"depth",3,0.239433349725847,0
6,"temperature",3,-0.384064996731952,0
6,"po4",3,-0.789254063709417,0
6,"no2",3,0.398762323694565,0
6,"salinity",3,-0.0236449470326343,0
6,"oxygen",3,-0.11257574305352,0
