canonical_direction,fold,tau_D,p_value
1,1,8.542544395260352,0
1,2,8.955247550175509,0
1,3,8.792021011263865,0
1,4,9.03796184640137,0
1,5,8.690881337916878,0
1,6,8.990471226301901,0
1,7,9.802474597279106,0
1,8,8.62417886146867,0
1,9,8.418744556026882,0
1,10,8.869820894967797,0
1,11,8.805262891456964,0
1,12,8.936393402428289,0
1,13,9.229500674809799,0
1,14,8.872943920860118,0
1,15,9.180393514774684,0
2,1,8.608463962551182,0
2,2,9.008474718841406,0
2,3,9.356164381802209,0
2,4,9.007724821679332,0
2,5,9.260647549444109,0
2,6,8.936362607957845,0
2,7,8.703153398186071,0
2,8,8.685586026916313,0
2,9,9.526720347132814,0
2,10,8.145631614101806,0
2,11,9.141721498390858,0
2,12,8.628627225131636,0
2,13,8.70590606612053,0
2,14,9.676949743124618,0
2,15,10.325064490637804,0
3,1,7.813762494002293,0
3,2,7.567054653744823,0
3,3,9.516708228057311,0
3,4,6.747366087624277,0
3,5,7.133326174956076,0
3,6,8.708520823142132,0
3,7,8.837751711380877,0
3,8,7.777605861907491,0
3,9,7.527579527793984,0
3,10,7.7697022062609005,0
3,11,7.223922759508426,0
3,12,7.217659891603226,0
3,13,8.008174925833762,0
3,14,7.374738717378515,0
3,15,7.068348370684555,0
4,1,9.467547196167319,0
4,2,9.336446832943214,0
4,3,8.146122110298393,0
4,4,8.647037657401963,0
4,5,8.224344721620804,0
4,6,7.904150223083657,0
4,7,9.586494979959014,0
4,8,9.275913289789326,0
4,9,9.83020922878876,0
4,10,8.598669643797516,0
4,11,10.055929414862469,0
4,12,8.68383752165006,0
4,13,9.157414383411316,0
4,14,8.7220691111761,0
4,15,8.208173396430634,0
5,1,7.520509717524841,0
5,2,6.990846453481532,0
5,3,7.529057400526587,0
5,4,8.743405537448787,0
5,5,7.0529288620537836,0
5,6,6.952530894821497,0
5,7,7.5366269594791975,0
5,8,7.004051122586276,0
5,9,7.6761260035108,0
5,10,6.858186371415997,0
5,11,6.681900625658237,0
5,12,7.022282943826765,0
5,13,7.685674152867147,0
5,14,6.623474515506113,0
5,15,7.8005547905207395,0
6,1,7.7253469937097385,0
6,2,7.455401778671693,0
6,3,7.8077893832650265,0
6,4,7.88244759815679,0
6,5,7.481735509508442,0
6,6,7.017689488004632,0
6,7,7.525705271796335,0
6,8,7.570909140871812,0
6,9,6.634283971181934,0
6,10,7.08348419543589,0
6,11,7.521606080602657,0
6,12,7.204978600204762,0
6,13,7.168326692656478,0
6,14,7.186674663984749,0
6,15,7.638151397015762,0
