fold,cd,angle
1,1,1.1164575330819686
1,2,1.4558883141335075
1,3,1.558772006706218
2,1,1.107521978958047
2,2,1.5119731848828082
2,3,1.5575029359183474
3,1,1.0945924827561213
3,2,1.4828706993588205
3,3,1.5699393428786594
4,1,1.1455930915119903
4,2,1.4219851268170915
4,3,1.5590936386515728
5,1,1.1223947000190266
5,2,1.4623010117998436
5,3,1.5578235538005398
6,1,1.0800739448134369
6,2,1.5008500155445461
6,3,1.5644978960016356
7,1,1.1039318535762692
7,2,1.4332138909475165
7,3,1.5584514011413744
8,1,1.1193824676400415
8,2,1.4612679430179556
8,3,1.5624234170266431
9,1,1.0977243767393807
9,2,1.4872559755905599
9,3,1.5620326236896396
10,1,1.1046667983138885
10,2,1.4679012423665372
10,3,1.563064332940684
11,1,1.1345267426420071
11,2,1.4430049170676693
11,3,1.5652887405967535
12,1,1.127937808924564
12,2,1.4401055352566363
12,3,1.5579186412587291
13,1,1.1207360372719748
13,2,1.4778414295323128
13,3,1.5598076025571492
14,1,1.1314630907926282
14,2,1.4583322288039675
14,3,1.5602329338259031
15,1,1.1403051482191957
15,2,1.422891522790093
15,3,1.5553891027784246
