"canonical_direction","fold","train","test"
1,1,0.991867030288101,0.94167472989809
3,1,0.986421224547958,0.818734803418572
5,1,0.93242555805004,0.927397908181764
2,1,0.954841642047217,0.908148670000936
4,1,0.939501522523109,0.853238933036232
6,1,0.899693673071371,0.359774531743292
1,2,0.990738819818103,0.985934568624012
3,2,0.987208632315115,0.833097364853504
5,2,0.939602705513516,0.571316881251718
2,2,0.958436256303949,0.785101069276338
4,2,0.936911676292276,0.594352343458608
6,2,0.902176090095792,0.470217220267558
1,3,0.991433854278471,0.838262970669134
3,3,0.985838883940635,0.938284079040936
5,3,0.968815037982062,0.467337383769148
2,3,0.958325123604921,0.620335689696342
4,3,0.924845404392194,0.924385051614842
6,3,0.904029229327705,0.100318197898621
1,4,0.991107601400419,0.971536181214232
3,4,0.987004958601075,0.904308976007898
5,4,0.946518206600625,-0.661500004108274
2,4,0.951612409195515,0.860563945581076
4,4,0.934479248565341,0.762517491603297
6,4,0.891552493318122,0.854036447701832
1,5,0.99049806399283,0.985992676723237
3,5,0.986824302802445,0.926214600198701
5,5,0.94480493034118,0.712547447163571
2,5,0.958724277752425,0.594823970355364
4,5,0.944736341761845,0.973930066344024
6,5,0.909601607882462,-0.259789893858465
1,6,0.992520370514525,0.96108993882578
3,6,0.984292507913991,0.961690111823852
5,6,0.948398644779688,0.92014579228381
2,6,0.943851925098117,0.856895667949141
4,6,0.940778725745011,0.639790431882591
6,6,0.895032249419249,0.797858125501511
1,7,0.991241603078232,0.900322730411344
3,7,0.986663582845378,0.894051962368023
5,7,0.943367639672078,0.80110270626569
2,7,0.947581082589373,0.793637323628303
4,7,0.935932141206428,0.794843286815604
6,7,0.886635535877022,0.433175539761867
1,8,0.990660001526561,0.958681434651391
3,8,0.986813512751375,0.639836952442775
5,8,0.939526369497825,0.821882819678039
2,8,0.939055395499995,0.938751713778401
4,8,0.950399657887996,0.87942726879246
6,8,0.898511811741331,0.621957156398779
1,9,0.991062836254768,0.968040114085148
3,9,0.987483496694163,0.629818334094319
5,9,0.96081737581887,-0.0382261970961351
2,9,0.95052949886114,0.817475949507925
4,9,0.897956559164046,0.730328076279191
6,9,0.887216501086509,0.821349287888424
1,10,0.990690965415089,0.943510514265516
3,10,0.98580291959507,0.980977227660983
5,10,0.962162732904893,-0.136721303919007
2,10,0.942946428973491,0.740744932401882
4,10,0.939452379131197,0.809077671010467
6,10,0.896023930554401,0.526628550930539
1,11,0.990460712800328,0.987142323649629
3,11,0.987071428071438,-0.178598140231785
5,11,0.950143451196003,0.41316346594912
2,11,0.955866305774948,0.850412228810399
4,11,0.945411617645,0.902403081524441
6,11,0.902673794669807,0.485810248831067
1,12,0.991252225717643,0.953624242216449
3,12,0.986907751660798,0.854469816760824
5,12,0.955005820587818,0.835781139024765
2,12,0.945606780694905,0.634443022704966
4,12,0.939134924832253,0.519013148429854
6,12,0.894272192547625,-0.280359815933731
1,13,0.991289919942499,0.651810608765194
3,13,0.985313285561098,0.995664394843552
5,13,0.946774148030071,-0.174553342348807
2,13,0.948109748046016,0.890356169264017
4,13,0.943183977661802,0.614844652610552
6,13,0.896696620280087,0.607148558034108
1,14,0.990425663343686,0.974869547413874
3,14,0.98528451980299,0.969118418669435
5,14,0.940132912767569,0.248708265635555
2,14,0.946318815753278,0.948672200275721
4,14,0.921186136762723,0.798199435850196
6,14,0.899100297621844,0.288222564626896
1,15,0.990429845243781,0.984921576194571
3,15,0.986324117780843,0.839351404717844
5,15,0.932754668292202,0.79282579287953
2,15,0.954892387519036,0.834863745390366
4,15,0.938325077641972,0.909681452447308
6,15,0.903270401895761,0.671590060465144
