"canonical_direction","var","fold","value"
1,"depth",1,-0.854303835360135
1,"temperature",1,0.48423256297505
1,"po4",1,-0.0511429368468742
1,"no2",1,0.0317336144294772
1,"salinity",1,-0.00521946840393939
1,"oxygen",1,0.178980213205473
3,"depth",1,-0.603399195985841
3,"temperature",1,-0.605822263137264
3,"po4",1,0.309675863389496
3,"no2",1,-0.0305818020178922
3,"salinity",1,-0.0662429901493672
3,"oxygen",1,0.409470725505821
5,"depth",1,0.653475746174934
5,"temperature",1,0.380849649103966
5,"po4",1,-0.0416017294564102
5,"no2",1,-0.15100637416998
5,"salinity",1,0.0799601832238777
5,"oxygen",1,0.630075974866186
2,"depth",1,-0.355242354444842
2,"temperature",1,-0.582805943210953
2,"po4",1,-0.409244789338893
2,"no2",1,-0.316292596220687
2,"salinity",1,0.188125047599856
2,"oxygen",1,-0.480860441923612
4,"depth",1,-0.150646839239046
4,"temperature",1,0.494565110003001
4,"po4",1,0.695081331684857
4,"no2",1,-0.453769874308271
4,"salinity",1,-0.173545210759255
4,"oxygen",1,0.116394953202413
6,"depth",1,0.04593885080054
6,"temperature",1,0.333475403737833
6,"po4",1,0.728076604041778
6,"no2",1,0.018386934040773
6,"salinity",1,0.464292603760021
6,"oxygen",1,0.375076704803601
1,"depth",2,-0.793124666631855
1,"temperature",2,0.504615896433806
1,"po4",2,-0.0483741970195305
1,"no2",2,0.0572720352440324
1,"salinity",2,0.0197291268026375
1,"oxygen",2,0.33212448395706
3,"depth",2,-0.558864828038214
3,"temperature",2,-0.657195487146522
3,"po4",2,0.280964104872618
3,"no2",2,-0.0123050217943244
3,"salinity",2,-0.0523956389530085
3,"oxygen",2,0.417045142504427
5,"depth",2,0.74214521996852
5,"temperature",2,0.12879318256776
5,"po4",2,-0.320677433824918
5,"no2",2,-0.173434784817385
5,"salinity",2,0.195524628556914
5,"oxygen",2,0.511360212649007
2,"depth",2,-0.427258876325275
2,"temperature",2,-0.582167816198563
2,"po4",2,-0.342531763662558
2,"no2",2,-0.275510497111236
2,"salinity",2,0.201078424482076
2,"oxygen",2,-0.494837256535321
4,"depth",2,-0.0923007483696536
4,"temperature",2,0.51032076910389
4,"po4",2,0.632568234046366
4,"no2",2,-0.510300504642038
4,"salinity",2,-0.181192312296542
4,"oxygen",2,0.194096508659459
6,"depth",2,0.0578836247212724
6,"temperature",2,0.372206337991354
6,"po4",2,0.738494837615617
6,"no2",2,0.0152677382131491
6,"salinity",2,0.410420997203272
6,"oxygen",2,0.379550792368826
1,"depth",3,-0.785426970793937
1,"temperature",3,0.512676165250745
1,"po4",3,-0.247844027364581
1,"no2",3,0.0805654342401538
1,"salinity",3,0.000358422710749694
1,"oxygen",3,0.228801318990539
3,"depth",3,-0.57405085582252
3,"temperature",3,-0.455860719240316
3,"po4",3,0.461528951481331
3,"no2",3,-0.00801277215473536
3,"salinity",3,-0.0922403375732368
3,"oxygen",3,0.490994055090741
5,"depth",3,0.160570895564209
5,"temperature",3,0.652404509044401
5,"po4",3,0.626892913102165
5,"no2",3,0.036642281410368
5,"salinity",3,-0.154799562617387
5,"oxygen",3,0.36095021568775
2,"depth",3,-0.717894001797238
2,"temperature",3,-0.210086572143781
2,"po4",3,0.284816959064641
2,"no2",3,-0.316644042268045
2,"salinity",3,0.025067485926123
2,"oxygen",3,-0.508408601287479
4,"depth",3,0.202707160607323
4,"temperature",3,0.400587309821825
4,"po4",3,0.305238867887618
4,"no2",3,-0.74009236655841
4,"salinity",3,-0.0460156097840052
4,"oxygen",3,0.394226711927406
6,"depth",3,0.073243605346534
6,"temperature",3,0.35948670958683
6,"po4",3,0.706955810128168
6,"no2",3,-0.0096223441198788
6,"salinity",3,0.445801204568585
6,"oxygen",3,0.408395468793593
1,"depth",4,-0.727724303924373
1,"temperature",4,0.62026251781436
1,"po4",4,-0.079463994959295
1,"no2",4,0.0603230006510199
1,"salinity",4,0.0156488614813181
1,"oxygen",4,0.274760748114213
3,"depth",4,-0.637015246127756
3,"temperature",4,-0.598884177579384
3,"po4",4,0.278269791463506
3,"no2",4,-0.0288114700493129
3,"salinity",4,-0.0773425166901511
3,"oxygen",4,0.388977217212459
5,"depth",4,0.716418694993694
5,"temperature",4,0.318603195564503
5,"po4",4,-0.121948544394334
5,"no2",4,0.0121177854992592
5,"salinity",4,0.0537196531281685
5,"oxygen",4,0.606079341259958
2,"depth",4,-0.294068602268172
2,"temperature",4,-0.555403011768484
2,"po4",4,-0.40593450762527
2,"no2",4,-0.437332588460628
2,"salinity",4,0.253042412509626
2,"oxygen",4,-0.430090771511324
4,"depth",4,-0.00145013644088839
4,"temperature",4,0.573328663979043
4,"po4",4,0.642323041418659
4,"no2",4,-0.388688208592793
4,"salinity",4,-0.195511781646546
4,"oxygen",4,0.263457530477515
6,"depth",4,0.0498489924125089
6,"temperature",4,0.37903425695709
6,"po4",4,0.733659239909651
6,"no2",4,0.0180590364933008
6,"salinity",4,0.403954774766718
6,"oxygen",4,0.389982872505629
1,"depth",5,-0.770534087036766
1,"temperature",5,0.550005671306495
1,"po4",5,-0.0642675814647881
1,"no2",5,-0.00251162038493428
1,"salinity",5,0.00299484363764373
1,"oxygen",5,0.315634888585536
3,"depth",5,-0.590773508836505
3,"temperature",5,-0.630082334700102
3,"po4",5,0.290824236278543
3,"no2",5,-0.0594196968599358
3,"salinity",5,-0.0790071921760912
3,"oxygen",5,0.399538908691505
5,"depth",5,0.574191132061808
5,"temperature",5,0.247094176834908
5,"po4",5,-0.148123196767772
5,"no2",5,-0.654144500503159
5,"salinity",5,0.0217074865902093
5,"oxygen",5,0.398663125586707
2,"depth",5,-0.612471407835581
2,"temperature",5,-0.366217213868196
2,"po4",5,-0.0302320905877882
2,"no2",5,-0.429316972745389
2,"salinity",5,0.0400338852952795
2,"oxygen",5,-0.551302070094162
4,"depth",5,0.0779667619175415
4,"temperature",5,0.632373384902453
4,"po4",5,0.657387634677509
4,"no2",5,-0.10120983922755
4,"salinity",5,-0.232428035052143
4,"oxygen",5,0.312410564548561
6,"depth",5,0.0670569160691961
6,"temperature",5,0.335744362865891
6,"po4",5,0.727924656047806
6,"no2",5,-0.0183822691220634
6,"salinity",5,0.445219108820071
6,"oxygen",5,0.392869985175928
1,"depth",6,-0.741535856184074
1,"temperature",6,0.56417201666069
1,"po4",6,-0.0872674454929939
1,"no2",6,0.0880280588513278
1,"salinity",6,0.00815548614217488
1,"oxygen",6,0.341179500363287
3,"depth",6,-0.599305430749026
3,"temperature",6,-0.657042303124791
3,"po4",6,0.245292084534206
3,"no2",6,-0.0328598304589977
