"canonical_direction","var","fold","value","seed"
1,"depth",1,0.511395148919502,0
1,"temperature",1,-0.841955444576533,0
1,"po4",1,0.0566788862913415,0
1,"no2",1,0.0664484944644572,0
1,"salinity",1,-0.011837666601059,0
1,"oxygen",1,-0.147709180795086,0
2,"depth",1,0.676915535488906,0
2,"temperature",1,0.649879027287171,0
2,"po4",1,-0.137333103478172,0
2,"no2",1,-0.010376594129881,0
2,"salinity",1,0.0212058391499019,0
2,"oxygen",1,-0.316267078709299,0
4,"depth",1,0.629927124160497,0
4,"temperature",1,0.43676993591865,0
4,"po4",1,0.0994739550856227,0
4,"no2",1,-0.0769115600641666,0
4,"salinity",1,-0.0384446033681525,0
4,"oxygen",1,0.628597962122444,0
3,"depth",1,0.122889062649559,0
3,"temperature",1,-0.519938306095788,0
3,"po4",1,-0.734256474792283,0
3,"no2",1,0.191170091577313,0
3,"salinity",1,0.275191337156483,0
3,"oxygen",1,-0.251303779122625,0
6,"depth",1,-0.341111920791641,0
6,"temperature",1,-0.385242462789098,0
6,"po4",1,-0.172302072811329,0
6,"no2",1,-0.737310660405504,0
6,"salinity",1,0.138351952423585,0
6,"oxygen",1,-0.377855296874252,0
5,"depth",1,-0.0649944444920134,0
5,"temperature",1,-0.362241069907114,0
5,"po4",1,-0.726076260936182,0
5,"no2",1,-0.00144779792922735,0
5,"salinity",1,-0.444818458150771,0
5,"oxygen",1,-0.373503461740563,0
1,"depth",2,0.384939354433407,0
1,"temperature",2,-0.916661143684134,0
1,"po4",2,0.0948003973283633,0
1,"no2",2,0.00434301690041569,0
1,"salinity",2,-0.0459667599535457,0
1,"oxygen",2,-0.0208595522015054,0
2,"depth",2,0.715192270780415,0
2,"temperature",2,0.580330092209986,0
2,"po4",2,-0.152483983106261,0
2,"no2",2,0.000482536599894837,0
2,"salinity",2,0.0396864032067248,0
2,"oxygen",2,-0.356216775779154,0
4,"depth",2,0.655326471157025,0
4,"temperature",2,0.443173638188906,0
4,"po4",2,0.0603201779091091,0
4,"no2",2,0.000761505836364627,0
4,"salinity",2,0.0164595020508598,0
4,"oxygen",2,0.608468835400303,0
3,"depth",2,-0.00499090889800564,0
3,"temperature",2,-0.590923022539526,0
3,"po4",2,-0.693351543549875,0
3,"no2",2,0.12178277804286,0
3,"salinity",2,0.233439674610685,0
3,"oxygen",2,-0.317369788429759,0
6,"depth",2,-0.342517958198317,0
6,"temperature",2,-0.260174974963156,0
6,"po4",2,-0.0773814934792208,0
6,"no2",2,-0.834961548950208,0
6,"salinity",2,0.0772148446619207,0
6,"oxygen",2,-0.325391479175481,0
5,"depth",2,-0.023706571517726,0
5,"temperature",2,-0.33118764166485,0
5,"po4",2,-0.740135739456094,0
5,"no2",2,0.0156310797949035,0
5,"salinity",2,-0.465104774903124,0
5,"oxygen",2,-0.354097513916564,0
1,"depth",3,0.511681239769136,0
1,"temperature",3,-0.851506870378473,0
1,"po4",3,0.0688342013406505,0
1,"no2",3,0.0202618087067355,0
