fold,cd,angle
1,1,1.1027949979998508
1,2,1.5520219432552862
1,3,1.496429333466523
2,1,1.0813290181387119
2,2,1.5553510639829902
2,3,1.5140078520743956
3,1,1.0489285526010632
3,2,1.5434157018342889
3,3,1.5048607789249044
4,1,1.104733691745458
4,2,1.533557289512898
4,3,1.4874349042520278
5,1,1.0788386969237833
5,2,1.5504655803391807
5,3,1.5024563152493107
6,1,1.0778705035064429
6,2,1.521863248423801
6,3,1.5085110972034432
7,1,1.0843194313557525
7,2,1.5258115812154902
7,3,1.4804737778439374
8,1,1.0688282982735038
8,2,1.5456188701411582
8,3,1.5017075884093607
9,1,1.0213408974416804
9,2,1.5654730407028319
9,3,1.5315493743001265
10,1,1.0658538270387952
10,2,1.5144103526615709
10,3,1.5085485905527933
11,1,1.07931652914375
11,2,1.5702996487015792
11,3,1.4914902775628027
12,1,1.0891600438422449
12,2,1.5170995377274241
12,3,1.4953511584422348
13,1,1.0844635406856187
13,2,1.5257637965229374
13,3,1.5037607560300175
14,1,1.0876345141739476
14,2,1.5506911666982472
14,3,1.5049364785874395
15,1,1.076021698315674
15,2,1.5359803581135423
15,3,1.4866750717076602
