fold,j,evr,method,split
1,1,0.06193145710754853,CCA,train
1,1,0.13101846000751022,CCA,test
1,1,0.2204180186197306,PCA,train
1,1,0.20501222564082885,PCA,test
1,2,0.074036131661651,CCA,train
1,2,0.14738135804102268,CCA,test
1,2,0.3275705961157069,PCA,train
1,2,0.23617674786565787,PCA,test
1,3,0.09989937326184141,CCA,train
1,3,0.15245787785953233,CCA,test
1,3,0.38805933013467314,PCA,train
1,3,0.2824931124145241,PCA,test
2,1,0.06753905580692066,CCA,train
2,1,0.06081974279343536,CCA,test
2,1,0.22571153965631321,PCA,train
2,1,0.12685481870057835,PCA,test
2,2,0.08048470717255242,CCA,train
2,2,0.06687749415756904,CCA,test
2,2,0.33327400608456603,PCA,train
2,2,0.16782713430220558,PCA,test
2,3,0.10653932567379656,CCA,train
2,3,0.07980631047429279,CCA,test
2,3,0.3911838119360845,PCA,train
2,3,0.25336677818618025,PCA,test
3,1,0.07180147200772548,CCA,train
3,1,0.027465814637316757,CCA,test
3,1,0.22554136866026875,PCA,train
3,1,0.14928665042813108,PCA,test
3,2,0.08591211390517958,CCA,train
3,2,0.04085746158270793,CCA,test
3,2,0.32167148934643436,PCA,train
3,2,0.30567214240858276,PCA,test
3,3,0.10881177196133357,CCA,train
3,3,0.08424881021342423,CCA,test
3,3,0.38549398572757615,PCA,train
3,3,0.33078892607362487,PCA,test
4,1,0.0630130917387521,CCA,train
4,1,0.07412981549242957,CCA,test
4,1,0.22261097392699797,PCA,train
4,1,0.16235434940469137,PCA,test
4,2,0.07641817957203761,CCA,train
4,2,0.08138224952906395,CCA,test
4,2,0.32856043869040724,PCA,train
4,2,0.2165829615478582,PCA,test
4,3,0.10211187048240118,CCA,train
4,3,0.10121987758351146,CCA,test
4,3,0.38942565480229174,PCA,train
4,3,0.2574788489790215,PCA,test
5,1,0.06595505696619353,CCA,train
5,1,0.052808340873774486,CCA,test
5,1,0.2221490501976712,PCA,train
5,1,0.17561555283742725,PCA,test
5,2,0.07874975257954826,CCA,train
5,2,0.055134900546413304,CCA,test
5,2,0.3301718550977457,PCA,train
5,2,0.2026780427806214,PCA,test
5,3,0.10438749563722582,CCA,train
5,3,0.06513411606185372,CCA,test
5,3,0.3926153180968409,PCA,train
5,3,0.22114094159575803,PCA,test
6,1,0.06772069381909238,CCA,train
6,1,0.0327852313874309,CCA,test
6,1,0.2249913688594635,PCA,train
6,1,0.1118352299477624,PCA,test
6,2,0.08228443459500825,CCA,train
6,2,0.04054171479436467,CCA,test
6,2,0.33314257370270933,PCA,train
6,2,0.11611957087889109,PCA,test
6,3,0.10419291577133612,CCA,train
6,3,0.1420418296386389,CCA,test
6,3,0.39369875134644766,PCA,train
6,3,0.1580691411815746,PCA,test
7,1,0.0691220644583127,CCA,train
7,1,0.14162997915534425,CCA,test
7,1,0.2176127250973176,PCA,train
7,1,0.22744492578016354,PCA,test
7,2,0.08333798542302959,CCA,train
7,2,0.15050818863217957,CCA,test
7,2,0.32312449142369826,PCA,train
7,2,0.30829757763453997,PCA,test
7,3,0.1098601694376747,CCA,train
7,3,0.16102720017073693,CCA,test
7,3,0.38488148219494667,PCA,train
7,3,0.3459544060484948,PCA,test
8,1,0.06788202228371883,CCA,train
8,1,0.036631107152096054,CCA,test
8,1,0.22215734871762163,PCA,train
8,1,0.18566978251311522,PCA,test
8,2,0.08250571514311947,CCA,train
8,2,0.050827827250331546,CCA,test
8,2,0.32938480820013055,PCA,train
8,2,0.2455589520536889,PCA,test
8,3,0.10931229215395104,CCA,train
8,3,0.053809884454155146,CCA,test
8,3,0.38669758628556944,PCA,train
8,3,0.3129891219251586,PCA,test
9,1,0.07403530950452974,CCA,train
9,1,0.06249213068363615,CCA,test
9,1,0.21499307108718685,PCA,train
9,1,0.24258297756223773,PCA,test
9,2,0.08758508488418365,CCA,train
9,2,0.06508072753020379,CCA,test
9,2,0.3017155610087604,PCA,train
9,2,0.44232352143391834,PCA,test
9,3,0.11591552887242337,CCA,train
9,3,0.07633096852473294,CCA,test
9,3,0.36430677773969283,PCA,train
9,3,0.475719760521275,PCA,test
10,1,0.06822986130311756,CCA,train
10,1,0.05677304516542668,CCA,test
10,1,0.21924800905670142,PCA,train
10,1,0.22199650935265539,PCA,test
10,2,0.08393694705461495,CCA,train
10,2,0.06833985844077985,CCA,test
10,2,0.32546077776789545,PCA,train
10,2,0.28068753804957625,PCA,test
10,3,0.10621206777783845,CCA,train
10,3,0.130454928755546,CCA,test
10,3,0.3858108727658377,PCA,train
10,3,0.32878131854130066,PCA,test
11,1,0.06537905765504254,CCA,train
11,1,0.06351498545962499,CCA,test
11,1,0.21776349997229716,PCA,train
11,1,0.24886057135039447,PCA,test
11,2,0.0793402126576053,CCA,train
11,2,0.07118197708308724,CCA,test
11,2,0.32052079047133597,PCA,train
11,2,0.35942905339305614,PCA,test
11,3,0.1061234415875087,CCA,train
11,3,0.07633298866977574,CCA,test
11,3,0.38064551284699105,PCA,train
11,3,0.4137206915027212,PCA,test
12,1,0.06643472132990517,CCA,train
12,1,0.07069607714967224,CCA,test
12,1,0.2182433502471151,PCA,train
12,1,0.23960652316443296,PCA,test
12,2,0.08164941154410083,CCA,train
12,2,0.07587042690118981,CCA,test
12,2,0.3240523501689538,PCA,train
12,2,0.3073640680643148,PCA,test
12,3,0.10819167111669603,CCA,train
12,3,0.09039958942717687,CCA,test
12,3,0.38529923933633997,PCA,train
12,3,0.34261836426868536,PCA,test
13,1,0.06607451158823731,CCA,train
13,1,0.05058557723429675,CCA,test
13,1,0.22157606657143752,PCA,train
13,1,0.16700283197670088,PCA,test
13,2,0.07965929767679396,CCA,train
13,2,0.0601805980105701,CCA,test
13,2,0.3279932042901447,PCA,train
13,2,0.1720817387135704,PCA,test
13,3,0.10313572333311764,CCA,train
13,3,0.124108250323542,CCA,test
