"canonical_direction","var","fold","value"
1,"depth",1,-0.958945612730216
1,"temperature",1,0.0811263143811785
1,"po4",1,-0.0447683727553617
1,"no2",1,-0.00198424470075958
1,"salinity",1,-0.0428170369717479
1,"oxygen",1,0.264575867869996
2,"depth",1,-0.104240129215715
2,"temperature",1,-0.317958553894411
2,"po4",1,0.441615917633589
2,"no2",1,-0.301122655799955
2,"salinity",1,-0.0821721772929326
2,"oxygen",1,0.771741287091749
5,"depth",1,0.480133195910683
5,"temperature",1,0.187859555915274
5,"po4",1,-0.635131790119322
5,"no2",1,-0.548954203967365
5,"salinity",1,0.0446484973845554
5,"oxygen",1,-0.165663225380872
3,"depth",1,0.594992454215856
3,"temperature",1,0.455393992583348
3,"po4",1,0.10236178734815
3,"no2",1,0.322952016636131
3,"salinity",1,0.112116952181015
3,"oxygen",1,0.55790154993545
4,"depth",1,0.203879011096354
4,"temperature",1,0.717090097955913
4,"po4",1,0.402088945641335
4,"no2",1,-0.0881140777591532
4,"salinity",1,-0.469226369066142
4,"oxygen",1,0.233671016419773
6,"depth",1,-0.00675889500823885
6,"temperature",1,-0.446268623782751
6,"po4",1,-0.762080656835224
6,"no2",1,0.134240967719223
6,"salinity",1,-0.318676710467085
6,"oxygen",1,-0.316948295522466
1,"depth",2,-0.915821114663532
1,"temperature",2,0.0720833327493288
1,"po4",2,0.0131079892811791
1,"no2",2,-0.00868550324003869
1,"salinity",2,-0.0311265827916863
1,"oxygen",2,0.393521991215712
2,"depth",2,-0.00781097487040954
2,"temperature",2,-0.295967098615125
2,"po4",2,0.422773996355315
2,"no2",2,-0.421193439043939
2,"salinity",2,-0.0905500571573478
2,"oxygen",2,0.740271157934588
5,"depth",2,0.348285008287421
5,"temperature",2,0.119189493078934
5,"po4",2,-0.675897459895748
5,"no2",2,-0.528977148847796
5,"salinity",2,0.0316328116124728
5,"oxygen",2,-0.356141239783657
3,"depth",2,0.65178802698539
3,"temperature",2,0.452494418547887
3,"po4",2,0.0544736737382038
3,"no2",2,0.293000184790615
3,"salinity",2,0.110062804912307
3,"oxygen",2,0.519125089567503
4,"depth",2,0.211287858824816
4,"temperature",2,0.739140373565029
4,"po4",2,0.368482245907574
4,"no2",2,-0.0821966279880055
