"canonical_direction","var","fold","value","seed"
3,"depth",1,-0.207224869323458,0
3,"temperature",1,-0.678580602512717,0
3,"po4",1,-0.611506278435525,0
3,"no2",1,0.0356111562424382,0
3,"salinity",1,-0.146250524757591,0
3,"oxygen",1,-0.316210247178194,0
4,"depth",1,0.623799170133571,0
4,"temperature",1,0.0724268303532613,0
4,"po4",1,-0.674171672570067,0
4,"no2",1,0.17178963886776,0
4,"salinity",1,-0.000587658304101198,0
4,"oxygen",1,-0.348725508279979,0
6,"depth",1,-0.428449689153216,0
6,"temperature",1,0.00507892100044256,0
6,"po4",1,-0.506097501762602,0
6,"no2",1,-0.0556955499510847,0
6,"salinity",1,-0.506779900990702,0
6,"oxygen",1,-0.548035149240574,0
1,"depth",1,0.346181990685193,0
1,"temperature",1,0.262431183817631,0
1,"po4",1,0.461308663840397,0
1,"no2",1,-0.156614398632517,0
1,"salinity",1,-0.757302293568572,0
1,"oxygen",1,-0.0211515022600377,0
2,"depth",1,0.520022872898929,0
2,"temperature",1,0.314776308222229,0
2,"po4",1,-0.310319895735388,0
2,"no2",1,-0.376548724120152,0
2,"salinity",1,-0.322136951164905,0
2,"oxygen",1,0.537245281796287,0
5,"depth",1,0.317929197585178,0
5,"temperature",1,0.30447082484376,0
5,"po4",1,0.0651151065401661,0
5,"no2",1,0.679716407405529,0
5,"salinity",1,-0.22389673059967,0
5,"oxygen",1,0.538362725838786,0
3,"depth",2,-0.0556817670851965,0
3,"temperature",2,-0.63547973197354,0
3,"po4",2,-0.692046511312185,0
3,"no2",2,0.00711192122657847,0
3,"salinity",2,-0.0741211367143415,0
3,"oxygen",2,-0.329533237950867,0
4,"depth",2,0.822970483786273,0
4,"temperature",2,0.447377447155551,0
4,"po4",2,-0.300420040795297,0
4,"no2",2,0.145734179045188,0
4,"salinity",2,0.0494068994518944,0
4,"oxygen",2,-0.0929586414826363,0
6,"depth",2,-0.375512047283821,0
6,"temperature",2,-0.2080150567888,0
6,"po4",2,-0.54604048460542,0
6,"no2",2,0.193860682680542,0
6,"salinity",2,-0.299396552264419,0
6,"oxygen",2,-0.624771932683085,0
1,"depth",2,0.259165072977031,0
1,"temperature",2,-0.173195946766568,0
1,"po4",2,0.490020111813868,0
1,"no2",2,0.360440497865826,0
1,"salinity",2,-0.729675234159366,0
1,"oxygen",2,0.019329230276345,0
2,"depth",2,-0.126505690834289,0
2,"temperature",2,0.140963973375279,0
2,"po4",2,-0.131938071119258,0
2,"no2",2,-0.753405438550997,0
2,"salinity",2,-0.446774628445885,0
2,"oxygen",2,-0.423663180279977,0
5,"depth",2,0.389561926889201,0
5,"temperature",2,0.362537730659691,0
5,"po4",2,-0.324598604481397,0
5,"no2",2,0.184701247701293,0
5,"salinity",2,-0.553755195392906,0
5,"oxygen",2,0.520273272048617,0
3,"depth",3,-0.162611955047783,0
3,"temperature",3,-0.686946195869163,0
3,"po4",3,-0.640512893078138,0
3,"no2",3,-0.00157698402937671,0
3,"salinity",3,-0.060213522719574,0
3,"oxygen",3,-0.296272433176238,0
4,"depth",3,0.683152975865349,0
4,"temperature",3,0.136735798883105,0
4,"po4",3,-0.628150880039115,0
4,"no2",3,0.126705186885108,0
4,"salinity",3,0.0267521078666437,0
4,"oxygen",3,-0.321343935865148,0
6,"depth",3,-0.261941735500155,0
6,"temperature",3,-0.379344004065061,0
6,"po4",3,-0.196135265643756,0
6,"no2",3,0.395663361797929,0
6,"salinity",3,-0.49434525654616,0
6,"oxygen",3,-0.589990578581539,0
1,"depth",3,0.496559970749721,0
1,"temperature",3,0.0861189775480152,0
1,"po4",3,0.643630176562159,0
1,"no2",3,-0.0652741895921881,0
1,"salinity",3,0.212703236920222,0
1,"oxygen",3,0.531270671268824,0
2,"depth",3,-0.0209795377397658,0
2,"temperature",3,0.0946898857720585,0
2,"po4",3,-0.248913925602274,0
2,"no2",3,-0.611875261354805,0
2,"salinity",3,-0.683978947325358,0
2,"oxygen",3,-0.293967696061406,0
5,"depth",3,0.493546659351592,0
5,"temperature",3,0.346046747203399,0
5,"po4",3,-0.163812100134852,0
5,"no2",3,0.353553309226508,0
5,"salinity",3,-0.364089072503468,0
5,"oxygen",3,0.593521814646091,0
3,"depth",4,-0.480508291505116,0
3,"temperature",4,-0.726347596123535,0
3,"po4",4,-0.398278544494553,0
3,"no2",4,-0.110152600753218,0
3,"salinity",4,-0.100613625651095,0
3,"oxygen",4,-0.246269070888613,0
4,"depth",4,0.42039749945022,0
4,"temperature",4,-0.277398425075399,0
4,"po4",4,-0.798073702148167,0
4,"no2",4,0.0934111373655295,0
4,"salinity",4,-0.0337383785998893,0
4,"oxygen",4,-0.3154845533251,0
6,"depth",4,-0.226712169205686,0
6,"temperature",4,-0.248158089803555,0
6,"po4",4,-0.402537834700752,0
6,"no2",4,0.507919672438061,0
6,"salinity",4,-0.416470362749664,0
6,"oxygen",4,-0.541804844695126,0
1,"depth",4,0.584812049465708,0
1,"temperature",4,-0.0442929955339677,0
1,"po4",4,0.665023741439111,0
1,"no2",4,0.104298229919587,0
1,"salinity",4,0.101211671794246,0
1,"oxygen",4,0.43892425018097,0
2,"depth",4,-0.125440609424868,0
2,"temperature",4,0.132473129204219,0
2,"po4",4,-0.0441615986495547,0
2,"no2",4,-0.704090512098072,0
2,"salinity",4,-0.486118427039852,0
2,"oxygen",4,-0.482400976798815,0
5,"depth",4,0.481434106836394,0
5,"temperature",4,0.354997280958784,0
5,"po4",4,-0.152622592707072,0
5,"no2",4,0.160440132912951,0
5,"salinity",4,-0.487755166620411,0
5,"oxygen",4,0.596035516280577,0
3,"depth",5,-0.121448090910442,0
3,"temperature",5,-0.622039240976341,0
3,"po4",5,-0.668222393514976,0
3,"no2",5,-0.00767729397310259,0
3,"salinity",5,-0.113563709453851,0
3,"oxygen",5,-0.372613364973983,0
4,"depth",5,0.799857922022575,0
4,"temperature",5,0.28340422515789,0
4,"po4",5,-0.415760618308221,0
4,"no2",5,0.204762355372053,0
4,"salinity",5,0.226808563037298,0
4,"oxygen",5,-0.116973123236904,0
6,"depth",5,-0.392738441243179,0
6,"temperature",5,0.0525057051061482,0
6,"po4",5,-0.728429897754996,0
6,"no2",5,-0.305743303416969,0
6,"salinity",5,0.466526112979847,0
6,"oxygen",5,0.0355523569039182,0
1,"depth",5,0.374299382570837,0
1,"temperature",5,0.310358758505539,0
1,"po4",5,0.315922308211774,0
1,"no2",5,-0.779735617131884,0
1,"salinity",5,-0.0123024999066865,0
1,"oxygen",5,0.235863359325142,0
2,"depth",5,0.187741542202961,0
2,"temperature",5,0.280658557146994,0
2,"po4",5,-0.572978934216236,0
2,"no2",5,0.0218410560758449,0
2,"salinity",5,-0.679330346054162,0
2,"oxygen",5,-0.309374009534208,0
5,"depth",5,0.45911615497346,0
5,"temperature",5,0.185372046751884,0
5,"po4",5,0.113561513048474,0
5,"no2",5,0.253243382386551,0
5,"salinity",5,-0.121988145190527,0
5,"oxygen",5,0.814211290139076,0
3,"depth",6,-0.123548568120946,0
3,"temperature",6,-0.642878158953769,0
3,"po4",6,-0.674085808130531,0
3,"no2",6,0.00723112773669021,0
3,"salinity",6,-0.0714146255669283,0
3,"oxygen",6,-0.33451369086971,0
4,"depth",6,0.703187956987703,0
4,"temperature",6,0.386544324770647,0
4,"po4",6,-0.467879724347864,0
4,"no2",6,-0.343475511145367,0
4,"salinity",6,0.0402681188698919,0
4,"oxygen",6,-0.132671766119777,0
6,"depth",6,0.039715628925884,0
6,"temperature",6,-0.0477113294712561,0
6,"po4",6,-0.523256630254095,0
6,"no2",6,0.39638277303471,0
6,"salinity",6,-0.3230839666607,0
6,"oxygen",6,-0.678856571362712,0
1,"depth",6,0.773258936360518,0
1,"temperature",6,0.09497945234033,0
1,"po4",6,0.513017635689239,0
1,"no2",6,0.116646114287558,0
1,"salinity",6,-0.0344405539052112,0
1,"oxygen",6,0.339219631967066,0
2,"depth",6,-0.435158189602924,0
2,"temperature",6,-0.10855922721102,0
2,"po4",6,0.00126330606303666,0
2,"no2",6,-0.67751752702899,0
2,"salinity",6,-0.526525502068473,0
2,"oxygen",6,-0.250183022019294,0
5,"depth",6,0.45700516616846,0
5,"temperature",6,0.346589691401259,0
5,"po4",6,-0.262304518143488,0
5,"no2",6,0.323736805858179,0
5,"salinity",6,-0.459266936309345,0
5,"oxygen",6,0.535244397838036,0
3,"depth",7,-0.0682942955058284,0
3,"temperature",7,-0.700101101059422,0
3,"po4",7,-0.660105635561504,0
3,"no2",7,-0.0184551036182628,0
3,"salinity",7,-0.0729627989292538,0
3,"oxygen",7,-0.252568261108833,0
4,"depth",7,0.710827640557371,0
4,"temperature",7,0.227743284020225,0
4,"po4",7,-0.611123458245272,0
4,"no2",7,0.0354710678466535,0
4,"salinity",7,0.0660035559597393,0
4,"oxygen",7,-0.252528245414549,0
6,"depth",7,-0.320961675848067,0
6,"temperature",7,-0.307171683563298,0
6,"po4",7,-0.561219839096538,0
6,"no2",7,0.158979048675583,0
6,"salinity",7,-0.320894703100553,0
6,"oxygen",7,-0.599511220297302,0
1,"depth",7,0.744733315960927,0
1,"temperature",7,0.205528874196869,0
1,"po4",7,0.425080025237658,0
1,"no2",7,0.279817075770454,0
1,"salinity",7,-0.355144346513369,0
1,"oxygen",7,0.134208939195666,0
2,"depth",7,-0.17160585597783,0
