"canonical_direction","var","fold","value","seed"
1,"depth",1,0.0508023187969142,0
1,"temperature",1,0.985682794327899,0
1,"po4",1,-0.118197727088217,0
1,"no2",1,-0.0431093294103065,0
1,"salinity",1,-0.00233794418614825,0
1,"oxygen",1,-0.100069827704247,0
2,"depth",1,-0.820763097376374,0
2,"temperature",1,-0.453108635459883,0
2,"po4",1,0.127669252882807,0
2,"no2",1,-0.0278631331839712,0
2,"salinity",1,-0.0126476175285677,0
2,"oxygen",1,0.322187442190402,0
3,"depth",1,0.380541752638711,0
3,"temperature",1,0.544087573084346,0
3,"po4",1,0.414229174127003,0
3,"no2",1,-0.215259218280916,0
3,"salinity",1,-0.149840135976196,0
3,"oxygen",1,0.564608077529564,0
4,"depth",1,-0.166544825730042,0
4,"temperature",1,0.485880180784199,0
4,"po4",1,0.79770371506331,0
4,"no2",1,0.181703007060831,0
4,"salinity",1,-0.132657333566473,0
4,"oxygen",1,0.221896604286642,0
5,"depth",1,0.564234568362875,0
5,"temperature",1,0.264681610066301,0
5,"po4",1,-0.0441431803618455,0
5,"no2",1,0.58768427473519,0
5,"salinity",1,0.122596412088071,0
5,"oxygen",1,0.499231098547273,0
6,"depth",1,0.0448787993748904,0
6,"temperature",1,0.31145707052794,0
6,"po4",1,0.706250773139162,0
6,"no2",1,-0.0969199196812313,0
6,"salinity",1,0.527786141439827,0
6,"oxygen",1,0.337991937918941,0
1,"depth",2,0.158969675885989,0
1,"temperature",2,0.96292258696233,0
1,"po4",2,-0.128091475702885,0
1,"no2",2,-0.00459459978974736,0
1,"salinity",2,0.0336422018119847,0
1,"oxygen",2,-0.173056058630576,0
2,"depth",2,-0.853256432468639,0
2,"temperature",2,-0.345825352383681,0
2,"po4",2,0.123902769884855,0
2,"no2",2,-0.0345658344516558,0
2,"salinity",2,-0.0511758244362539,0
2,"oxygen",2,0.364955651821402,0
3,"depth",2,0.38210860119346,0
3,"temperature",2,0.5973474574295,0
3,"po4",2,0.41506932073701,0
3,"no2",2,-0.176173119973432,0
3,"salinity",2,-0.168141946683299,0
3,"oxygen",2,0.515342418731258,0
4,"depth",2,-0.177555224606163,0
4,"temperature",2,0.472088899093405,0
4,"po4",2,0.81619254939903,0
4,"no2",2,0.165945143074477,0
4,"salinity",2,-0.0706767062143859,0
