fold,cd,angle
1,1,0.9973082165671512
1,2,1.491663923770324
1,3,1.5645889540926396
2,1,1.0097615235482926
2,2,1.5052664411532408
2,3,1.5593859093239844
3,1,0.9643162355015914
3,2,1.5201693645770669
3,3,1.540426247581013
4,1,1.0073425934000872
4,2,1.5137880247766808
4,3,1.5561470235098986
5,1,1.0032706923770498
5,2,1.5035089162192503
5,3,1.566696810643165
6,1,0.9990522200043708
6,2,1.5007801495525281
6,3,1.5556728445712593
7,1,1.0052764350255545
7,2,1.4910762193991896
7,3,1.565125896920697
8,1,0.9866427977960308
8,2,1.5234402215518725
8,3,1.5598861915065572
9,1,0.9333821199772455
9,2,1.5335034648992407
9,3,1.53502988973859
10,1,0.9854463590375787
10,2,1.4983737192116158
10,3,1.5647190614480837
11,1,1.0008803438534408
11,2,1.5013432772205522
11,3,1.5524524579905035
12,1,1.021975709387456
12,2,1.5105856777555307
12,3,1.557522462225305
13,1,1.0039632098643432
13,2,1.4973088612768675
13,3,1.556500216683622
14,1,1.018343769264064
14,2,1.4937670845714917
14,3,1.5688022782780706
15,1,0.9744943333645814
15,2,1.5352485632163118
15,3,1.536989354836373
