fold,j,evr,method,split
1,1,0.10015515817407758,CCA,train
1,1,0.1595542120511795,CCA,test
1,1,0.28606863229942786,PCA,train
1,1,0.2272520008800123,PCA,test
1,2,0.13940120185511484,CCA,train
1,2,0.19650113228900054,CCA,test
1,2,0.44524868747269747,PCA,train
1,2,0.3309562702039601,PCA,test
1,3,0.15530403925458203,CCA,train
1,3,0.20936077676192058,CCA,test
1,3,0.5165745795792229,PCA,train
1,3,0.3859713227591265,PCA,test
2,1,0.10008078244737886,CCA,train
2,1,0.10429383248498508,CCA,test
2,1,0.29542977201915605,PCA,train
2,1,0.13004750811833887,PCA,test
2,2,0.13715003219694571,CCA,train
2,2,0.14725908407354424,CCA,test
2,2,0.4598478206942225,PCA,train
2,2,0.19206136441543384,PCA,test
2,3,0.15397239862320372,CCA,train
2,3,0.16260694761726158,CCA,test
2,3,0.5293561494898925,PCA,train
2,3,0.2718812146957175,PCA,test
3,1,0.10727189076642503,CCA,train
3,1,0.05809011897863568,CCA,test
3,1,0.2892186463370265,PCA,train
3,1,0.21305573553381071,PCA,test
3,2,0.14275536544840225,CCA,train
3,2,0.11652670118555218,CCA,test
3,2,0.4453798361328969,PCA,train
3,2,0.38765993625661466,PCA,test
3,3,0.16324761740932422,CCA,train
3,3,0.12405905585209524,CCA,test
3,3,0.5198222550305558,PCA,train
3,3,0.4217846917407891,PCA,test
4,1,0.09570005126606407,CCA,train
4,1,0.14208713239783652,CCA,test
4,1,0.2841315976217986,PCA,train
4,1,0.27537289136079535,PCA,test
4,2,0.1338064826937505,CCA,train
4,2,0.18841173910005873,CCA,test
4,2,0.44358604856124034,PCA,train
4,2,0.3674419426278973,PCA,test
4,3,0.15163511007419156,CCA,train
4,3,0.19239317295152122,CCA,test
4,3,0.5132811583572031,PCA,train
4,3,0.46243386530170055,PCA,test
5,1,0.09701809852311104,CCA,train
5,1,0.0413877440364884,CCA,test
5,1,0.2886920702515641,PCA,train
5,1,0.19715894932856232,PCA,test
5,2,0.13532058813408873,CCA,train
5,2,0.055170887553564654,CCA,test
5,2,0.4516786044289785,PCA,train
5,2,0.25361446746492566,PCA,test
5,3,0.15057755840135456,CCA,train
5,3,0.06403740229447227,CCA,test
5,3,0.5248366184871475,PCA,train
5,3,0.27915645297590724,PCA,test
6,1,0.09806568929748201,CCA,train
6,1,0.10088524945246036,CCA,test
6,1,0.28568063091115364,PCA,train
6,1,0.23056372026136215,PCA,test
6,2,0.1359873290438021,CCA,train
6,2,0.19620582322346602,CCA,test
6,2,0.44663592994382917,PCA,train
6,2,0.26115873753550206,PCA,test
6,3,0.15480749133561753,CCA,train
6,3,0.21080273884268916,CCA,test
6,3,0.5156217136561803,PCA,train
6,3,0.38593789388671845,PCA,test
7,1,0.09726804174704538,CCA,train
7,1,0.2335435076104065,CCA,test
7,1,0.27931972885168294,PCA,train
7,1,0.3453399347310034,PCA,test
7,2,0.13706980267109187,CCA,train
7,2,0.24161147636439398,CCA,test
