"canonical_direction","var","fold","value"
1,"depth",1,0.703505493829459
1,"temperature",1,-0.708025358671761
1,"po4",1,0.0080140113171291
1,"no2",1,0.0455553010391816
1,"salinity",1,-0.035637966282902
1,"oxygen",1,-0.0192493417692592
2,"depth",1,0.687722565399274
2,"temperature",1,0.590804674562639
2,"po4",1,-0.222577195627975
2,"no2",1,-0.0113820982004769
2,"salinity",1,0.0576086861710117
2,"oxygen",1,-0.353551394651707
4,"depth",1,-0.663562335508155
4,"temperature",1,-0.330611869445614
4,"po4",1,0.115842547470432
4,"no2",1,0.0181061200569829
4,"salinity",1,-0.101511604085498
4,"oxygen",1,-0.652938653722285
3,"depth",1,-0.172191306918778
3,"temperature",1,-0.605464128527941
3,"po4",1,-0.637238423141758
3,"no2",1,-0.00136153267144246
3,"salinity",1,0.142578560161109
3,"oxygen",1,-0.421141348445483
6,"depth",1,0.388178028580633
6,"temperature",1,0.100792753802586
6,"po4",1,-0.1887722725605
6,"no2",1,0.852077363126158
6,"salinity",1,0.0621402058008236
6,"oxygen",1,0.271341906257575
5,"depth",1,-0.00298943557055993
5,"temperature",1,0.261851240016891
5,"po4",1,0.732117663559991
5,"no2",1,-0.0319688968262605
5,"salinity",1,0.53265926866881
5,"oxygen",1,0.332687257370893
1,"depth",2,0.746856142003396
1,"temperature",2,-0.635413781181587
1,"po4",2,-0.0177688480406326
1,"no2",2,0.0235130026110799
1,"salinity",2,-0.0440490520878291
1,"oxygen",2,-0.188802324122362
2,"depth",2,0.621236460202028
2,"temperature",2,0.65742641644363
2,"po4",2,-0.217561496364502
2,"no2",2,-0.0171880603661378
2,"salinity",2,0.0494305917136286
2,"oxygen",2,-0.363020591648836
4,"depth",2,-0.704655079273714
4,"temperature",2,-0.323485688050914
4,"po4",2,0.102310749131785
4,"no2",2,0.029200475551307
4,"salinity",2,-0.0685167931395879
4,"oxygen",2,-0.61871117718813
3,"depth",2,-0.15587285420928
3,"temperature",2,-0.615135219705566
3,"po4",2,-0.635046715409707
3,"no2",2,-0.00827298402603438
3,"salinity",2,0.170958868175925
3,"oxygen",2,-0.405872648959119
6,"depth",2,0.38766785935749
6,"temperature",2,0.0809768249487591
6,"po4",2,-0.162336110298226
6,"no2",2,0.86445988902458
6,"salinity",2,0.0973734328480711
6,"oxygen",2,0.245012013539407
5,"depth",2,0.0112002745754387
5,"temperature",2,0.300224415685828
5,"po4",2,0.742602678496028
5,"no2",2,-0.0500113478956101
5,"salinity",2,0.486956991768717
5,"oxygen",2,0.344460257816906
1,"depth",3,0.685026472766339
1,"temperature",3,-0.71133712579436
1,"po4",3,0.108062983166126
1,"no2",3,0.00984704694279893
1,"salinity",3,-0.0235507414775442
1,"oxygen",3,-0.111395758391104
2,"depth",3,0.612800838514749
2,"temperature",3,0.45022478834671
2,"po4",3,-0.432642126927042
2,"no2",3,-0.00533804020756729
2,"salinity",3,0.0494690555006414
2,"oxygen",3,-0.481786135288722
4,"depth",3,0.0490761945318119
4,"temperature",3,0.586128296195302
4,"po4",3,0.738701503982918
4,"no2",3,-0.0235566612581022
4,"salinity",3,-0.0364880032795568
4,"oxygen",3,0.326311116681434
3,"depth",3,-0.589084144454901
3,"temperature",3,-0.485493664394966
3,"po4",3,-0.160277239312901
3,"no2",3,-0.0154665062575615
3,"salinity",3,0.00244977005516652
3,"oxygen",3,-0.625573149162656
6,"depth",3,0.329371607448789
6,"temperature",3,0.0230677888605573
6,"po4",3,-0.232063938868613
6,"no2",3,0.908264603411487
6,"salinity",3,0.0227611602099678
6,"oxygen",3,0.108008746757569
5,"depth",3,0.0185866238156383
5,"temperature",3,0.222166751035569
5,"po4",3,0.669180629980179
5,"no2",3,-0.0297099464944486
5,"salinity",3,0.621722910926787
5,"oxygen",3,0.339222195200706
1,"depth",4,0.494629010466783
1,"temperature",4,-0.862087883310367
1,"po4",4,0.0819579339994065
1,"no2",4,0.0237337036528048
1,"salinity",4,-0.0660244457278713
1,"oxygen",4,-0.0225167578904879
2,"depth",4,0.725590224618192
2,"temperature",4,0.541995489277507
2,"po4",4,-0.215895159742965
2,"no2",4,-0.000985677770260892
2,"salinity",4,0.0555432326911465
2,"oxygen",4,-0.360642445203648
4,"depth",4,-0.680604318146256
4,"temperature",4,-0.354386492314543
4,"po4",4,0.081068450333122
4,"no2",4,0.00569879994487662
4,"salinity",4,-0.0503758239589377
4,"oxygen",4,-0.634070723646737
3,"depth",4,-0.116431464522249
3,"temperature",4,-0.608204854587684
3,"po4",4,-0.652962568005545
3,"no2",4,0.0129384848399944
3,"salinity",4,0.180541228401183
3,"oxygen",4,-0.396746662451267
6,"depth",4,0.352175617972011
6,"temperature",4,0.109054567004449
6,"po4",4,-0.142490664525196
6,"no2",4,0.882215872179497
6,"salinity",4,0.0126151665694571
6,"oxygen",4,0.255561848662249
5,"depth",4,0.0247247243724118
5,"temperature",4,0.326540884259065
5,"po4",4,0.733175777897792
5,"no2",4,-0.0164324227415369
5,"salinity",4,0.47220761749684
5,"oxygen",4,0.363267063022214
1,"depth",5,0.629677299320354
1,"temperature",5,-0.759162913484143
1,"po4",5,0.00831349674484971
1,"no2",5,0.0561259902499141
1,"salinity",5,-0.0409605511078117
1,"oxygen",5,-0.149268756791829
2,"depth",5,0.664146047308869
2,"temperature",5,0.619023662592423
2,"po4",5,-0.208008201880155
2,"no2",5,-0.0106674634515187
2,"salinity",5,0.0569066966265973
2,"oxygen",5,-0.359305098833584
4,"depth",5,-0.700335944700892
4,"temperature",5,-0.33908751032774
4,"po4",5,0.0870548972386095
