"canonical_direction","var","fold","value","seed"
2,"depth",1,-0.0176992369142724,0
2,"temperature",1,-0.305596051288745,0
2,"po4",1,0.180120050893648,0
2,"no2",1,-0.915582372210736,0
2,"salinity",1,-0.0398599187263875,0
2,"oxygen",1,0.184322175257172,0
1,"depth",1,-0.891423951942386,0
1,"temperature",1,-0.226492854983451,0
1,"po4",1,-0.0809904439504085,0
1,"no2",1,-0.297644666155441,0
1,"salinity",1,-0.037423875006108,0
1,"oxygen",1,-0.239816552436071,0
6,"depth",1,0.327041569252072,0
6,"temperature",1,0.790300019116898,0
6,"po4",1,0.428182045108467,0
6,"no2",1,-0.122640744221346,0
6,"salinity",1,-0.0530836777567458,0
6,"oxygen",1,0.259366919680126,0
5,"depth",1,-0.26094471213409,0
5,"temperature",1,0.221934844511219,0
5,"po4",1,0.880276130469798,0
5,"no2",1,0.00922231707275006,0
5,"salinity",1,0.116899756591146,0
5,"oxygen",1,0.30662046882571,0
3,"depth",1,-0.268092134733805,0
3,"temperature",1,-0.29597096246582,0
3,"po4",1,-0.32481738064984,0
3,"no2",1,-0.182494339180663,0
3,"salinity",1,-0.160278423934332,0
3,"oxygen",1,-0.822209285332417,0
4,"depth",1,0.127476142118163,0
4,"temperature",1,0.157993267202343,0
4,"po4",1,0.398599571180692,0
4,"no2",1,-0.119806351198177,0
4,"salinity",1,0.885423701921502,0
4,"oxygen",1,0.0397196280467144,0
2,"depth",2,0.0309954037839229,0
2,"temperature",2,-0.0402147600971037,0
2,"po4",2,0.380744085132006,0
2,"no2",2,-0.877256285760456,0
2,"salinity",2,-0.0316888166167101,0
2,"oxygen",2,0.286134981515363,0
1,"depth",2,-0.849646323022769,0
1,"temperature",2,-0.296713624827884,0
1,"po4",2,-0.197865737139702,0
1,"no2",2,-0.255197132838788,0
1,"salinity",2,-0.0231462872637884,0
1,"oxygen",2,-0.291975980961298,0
6,"depth",2,0.189580677448286,0
6,"temperature",2,0.739081750701036,0
6,"po4",2,0.567842719861265,0
6,"no2",2,-0.0655727874780277,0
6,"salinity",2,-0.0117923029896585,0
6,"oxygen",2,0.301551204859244,0
5,"depth",2,-0.455201892144043,0
5,"temperature",2,-0.0447770691239721,0
5,"po4",2,0.837163633042336,0
5,"no2",2,0.0301378254372149,0
5,"salinity",2,0.141136088445515,0
5,"oxygen",2,0.262898495615176,0
3,"depth",2,-0.269403101476068,0
3,"temperature",2,-0.247864453579351,0
3,"po4",2,-0.280357170231885,0
3,"no2",2,-0.20171290098889,0
3,"salinity",2,-0.220035381826905,0
3,"oxygen",2,-0.835632320452835,0
4,"depth",2,0.100191569846547,0
4,"temperature",2,0.12911177696248,0
4,"po4",2,0.413157423415816,0
4,"no2",2,-0.121923347484007,0
4,"salinity",2,0.887144930285704,0
4,"oxygen",2,-0.0264822934117846,0
2,"depth",3,-0.870868488683803,0
2,"temperature",3,0.259585754403718,0
2,"po4",3,0.411757392158031,0
2,"no2",3,-0.0364976435742054,0
2,"salinity",3,0.0556517427998988,0
2,"oxygen",3,-0.0151646651240383,0
1,"depth",3,-0.468272854413774,0
1,"temperature",3,-0.36144112056933,0
1,"po4",3,0.150778998068053,0
1,"no2",3,-0.790655845535955,0
1,"salinity",3,0.0168188894266097,0
1,"oxygen",3,0.043897640034926,0
6,"depth",3,0.152971438261895,0
6,"temperature",3,0.583508069373339,0
6,"po4",3,0.723072105766933,0
6,"no2",3,-0.0860224047568582,0
6,"salinity",3,0.0640146291614546,0
6,"oxygen",3,0.319040867362205,0
5,"depth",3,-0.616740879708057,0
5,"temperature",3,-0.635676110722966,0
5,"po4",3,0.387474587670596,0
5,"no2",3,0.0780155172024484,0
5,"salinity",3,0.20027225293975,0
5,"oxygen",3,-0.138616799994186,0
3,"depth",3,-0.207026274262817,0
3,"temperature",3,-0.236044965226103,0
3,"po4",3,-0.399397207520004,0
3,"no2",3,-0.217304823239219,0
3,"salinity",3,-0.10763601031783,0
3,"oxygen",3,-0.826497350184088,0
4,"depth",3,0.237428590128027,0
4,"temperature",3,0.101846848818924,0
4,"po4",3,0.225009464245891,0
4,"no2",3,-0.0199026009674373,0
4,"salinity",3,0.934562783173826,0
4,"oxygen",3,0.0939250539333015,0
2,"depth",4,-0.456875635674324,0
2,"temperature",4,-0.45689284730161,0
2,"po4",4,-0.00170540302073599,0
2,"no2",4,-0.762903958446738,0
2,"salinity",4,0.0220812027803003,0
2,"oxygen",4,0.000801175648094832,0
1,"depth",4,-0.914133944950191,0
1,"temperature",4,0.00146903171562766,0
1,"po4",4,-0.264442234584901,0
1,"no2",4,-0.0399754379942946,0
1,"salinity",4,-0.0207574156642403,0
1,"oxygen",4,-0.303971003971546,0
6,"depth",4,0.381849075960262,0
6,"temperature",4,0.73928420965522,0
6,"po4",4,0.422321019272954,0
6,"no2",4,-0.161250048722998,0
6,"salinity",4,-0.0406968781999099,0
6,"oxygen",4,0.318806027412621,0
5,"depth",4,-0.376520381389926,0
5,"temperature",4,0.208492968390933,0
5,"po4",4,0.847019078327627,0
5,"no2",4,-0.0349414135624311,0
5,"salinity",4,0.0883580469656942,0
5,"oxygen",4,0.297142589732952,0
3,"depth",4,-0.382540560754224,0
3,"temperature",4,-0.217689235880781,0
3,"po4",4,-0.19954598104923,0
3,"no2",4,-0.274608489973753,0
3,"salinity",4,-0.239614293030608,0
3,"oxygen",4,-0.796009224328691,0
4,"depth",4,0.0602251554625289,0
4,"temperature",4,0.135068763463,0
4,"po4",4,0.445028217789423,0
4,"no2",4,-0.121479652438142,0
4,"salinity",4,0.869432817853487,0
4,"oxygen",4,-0.096997497081702,0
2,"depth",5,-0.163429967301235,0
2,"temperature",5,-0.514806335665885,0
2,"po4",5,-0.152641451346772,0
2,"no2",5,-0.820390576884703,0
2,"salinity",5,-0.0985826425735718,0
2,"oxygen",5,-0.0469726922682506,0
1,"depth",5,-0.912700797041739,0
1,"temperature",5,-0.191753715084886,0
1,"po4",5,-0.0956977676852554,0
1,"no2",5,-0.230150713318017,0
1,"salinity",5,-0.0258078096408541,0
1,"oxygen",5,-0.259642660615177,0
6,"depth",5,0.246563491030167,0
6,"temperature",5,0.714406932272301,0
6,"po4",5,0.551685242404002,0
