fold,cd,angle
1,1,1.1058857183711768
1,2,1.4288175311095357
1,3,1.5600781001170456
2,1,1.0894363902276747
2,2,1.480639880568816
2,3,1.5586845021994642
3,1,1.0805784574165216
3,2,1.4610633173584702
3,3,1.5610696331439933
4,1,1.119369556466947
4,2,1.4028895443013867
4,3,1.5598903153777988
5,1,1.1045835694306025
5,2,1.4407628460469262
5,3,1.5603829988166764
6,1,1.0518544134193892
6,2,1.5009966831746078
6,3,1.5643740465342995
7,1,1.1010362999298067
7,2,1.408974872250873
7,3,1.5607679975279127
8,1,1.086332000562875
8,2,1.45566289037502
8,3,1.564683742556739
9,1,1.0706558533463084
9,2,1.4594676596499356
9,3,1.5605112029566688
10,1,1.0640272374077202
10,2,1.4705003536801775
10,3,1.5603109142803877
11,1,1.112799582383354
11,2,1.4261353469971885
11,3,1.5621336548464109
12,1,1.1064232481275291
12,2,1.4190916333380228
12,3,1.558507342285415
13,1,1.0994035603927772
13,2,1.4643081039921164
13,3,1.5598606869179343
14,1,1.1097176942559983
14,2,1.4480109147383193
14,3,1.5625588182585006
15,1,1.1177446578177648
15,2,1.4109840783591197
15,3,1.55608764071674
