fold,j,evr,method,split
1,1,0.04260031064517245,CCA,train
1,1,0.07988531095945954,CCA,test
1,1,0.15067660139068806,PCA,train
1,1,0.189257752729878,PCA,test
1,2,0.07182732063851947,CCA,train
1,2,0.09400410859274337,CCA,test
1,2,0.2448707678673953,PCA,train
1,2,0.2024492649449752,PCA,test
1,3,0.0792742296159332,CCA,train
1,3,0.10161029080522287,CCA,test
1,3,0.2998228026533101,PCA,train
1,3,0.21417445993944612,PCA,test
2,1,0.042948992310292186,CCA,train
2,1,0.04317309514160729,CCA,test
2,1,0.15515927593434034,PCA,train
2,1,0.12011581436823386,PCA,test
2,2,0.07403410686501014,CCA,train
2,2,0.062760382680884,CCA,test
2,2,0.24804605861220358,PCA,train
2,2,0.14925302576434124,PCA,test
2,3,0.08165105249301537,CCA,train
2,3,0.06695922471039904,CCA,test
2,3,0.3032205952409695,PCA,train
2,3,0.15844164245339842,PCA,test
3,1,0.04697212205792028,CCA,train
3,1,0.025852760096615524,CCA,test
3,1,0.15974574599444644,PCA,train
3,1,0.06715369470486376,PCA,test
3,2,0.0738568663052464,CCA,train
3,2,0.07913850538624823,CCA,test
3,2,0.24999688801480735,PCA,train
3,2,0.1371081518708398,PCA,test
3,3,0.08272374825537898,CCA,train
3,3,0.09362326317073405,CCA,test
3,3,0.30473657042603214,PCA,train
3,3,0.15938851196917217,PCA,test
4,1,0.04388822566856625,CCA,train
4,1,0.027431997736086455,CCA,test
4,1,0.1531661048587346,PCA,train
4,1,0.14464378486936785,PCA,test
4,2,0.07368522570799352,CCA,train
4,2,0.042633209868092985,CCA,test
4,2,0.24823767507202912,PCA,train
4,2,0.16468919754376551,PCA,test
4,3,0.08155739114848251,CCA,train
4,3,0.045930008548789786,CCA,test
4,3,0.2937489206287721,PCA,train
4,3,0.2062535964001338,PCA,test
5,1,0.0425219025523664,CCA,train
5,1,0.04037431716286243,CCA,test
5,1,0.15543683776942568,PCA,train
5,1,0.11465760114060346,PCA,test
5,2,0.07209401428254661,CCA,train
5,2,0.050457891683118164,CCA,test
5,2,0.24872678197134945,PCA,train
5,2,0.13961447257218096,PCA,test
5,3,0.07906608487653963,CCA,train
5,3,0.06002497351713656,CCA,test
5,3,0.30421245918262657,PCA,train
5,3,0.14536337114339362,PCA,test
6,1,0.05054490027430094,CCA,train
6,1,0.012810078770953056,CCA,test
6,1,0.1617666913762615,PCA,train
6,1,0.05399406475853044,PCA,test
6,2,0.07564046898692098,CCA,train
6,2,0.08253168918405694,CCA,test
6,2,0.23449761723581278,PCA,train
6,2,0.2393721535634437,PCA,test
6,3,0.08321949281866275,CCA,train
6,3,0.08823414166147227,CCA,test
6,3,0.28751306201084736,PCA,train
6,3,0.30129638395765845,PCA,test
7,1,0.04380829742991087,CCA,train
7,1,0.06854227219854254,CCA,test
7,1,0.14702084469501694,PCA,train
7,1,0.2101577604647287,PCA,test
7,2,0.0731902468365774,CCA,train
7,2,0.07643911196157889,CCA,test
7,2,0.24273324170977428,PCA,train
7,2,0.21936416616160964,PCA,test
7,3,0.08128896239590805,CCA,train
7,3,0.08251918556639776,CCA,test
7,3,0.29816433373668144,PCA,train
7,3,0.23050483585584478,PCA,test
8,1,0.04478053834952245,CCA,train
8,1,0.019129723232671803,CCA,test
8,1,0.15725783669306326,PCA,train
8,1,0.10096169761421481,PCA,test
8,2,0.07469407224679167,CCA,train
8,2,0.025593541300154166,CCA,test
8,2,0.2533880617253863,PCA,train
8,2,0.11220684853711561,PCA,test
8,3,0.0825876544070303,CCA,train
8,3,0.027932725269685984,CCA,test
8,3,0.3094615541910198,PCA,train
8,3,0.12333451126806586,PCA,test
9,1,0.04420605559377151,CCA,train
9,1,0.03738453622736179,CCA,test
9,1,0.14947279781198658,PCA,train
9,1,0.18599612053875866,PCA,test
9,2,0.07560873300805422,CCA,train
9,2,0.05551849978650361,CCA,test
9,2,0.24557536633319463,PCA,train
9,2,0.1961295576746272,PCA,test
9,3,0.08353102479310208,CCA,train
9,3,0.05739962829652653,CCA,test
9,3,0.3024632570755907,PCA,train
9,3,0.19867304789728515,PCA,test
10,1,0.04613969051888472,CCA,train
10,1,0.03777415909142118,CCA,test
10,1,0.1535489254076162,PCA,train
10,1,0.14702366535192643,PCA,test
10,2,0.07114410599309552,CCA,train
10,2,0.09803327846949797,CCA,test
10,2,0.24220794066298265,PCA,train
10,2,0.22958796597471828,PCA,test
10,3,0.07865692661029192,CCA,train
10,3,0.10513661785803763,CCA,test
10,3,0.296226103548202,PCA,train
10,3,0.25741016580430465,PCA,test
11,1,0.041890128705035945,CCA,train
11,1,0.04218629969185022,CCA,test
11,1,0.15086125766309366,PCA,train
11,1,0.20099883470176919,PCA,test
11,2,0.07158935704892884,CCA,train
11,2,0.05087959728748306,CCA,test
11,2,0.2440502896849609,PCA,train
11,2,0.21917339209095654,PCA,test
11,3,0.07915938456042096,CCA,train
11,3,0.056436102590167556,CCA,test
11,3,0.2992884518110232,PCA,train
11,3,0.22312208149808274,PCA,test
12,1,0.044041066423775505,CCA,train
12,1,0.026836809965544235,CCA,test
12,1,0.1533219056767191,PCA,train
12,1,0.14803779308826528,PCA,test
12,2,0.0738804797280011,CCA,train
12,2,0.05299350558817609,CCA,test
12,2,0.24584687477025774,PCA,train
12,2,0.18500252364662234,PCA,test
12,3,0.08179661749378848,CCA,train
12,3,0.05910591801165506,CCA,test
12,3,0.2935032822155642,PCA,train
12,3,0.22271234894327416,PCA,test
13,1,0.043535221533707966,CCA,train
13,1,0.024173164483189666,CCA,test
13,1,0.15852463661345978,PCA,train
13,1,0.06023601136125032,PCA,test
13,2,0.07032324985435447,CCA,train
13,2,0.0713012458591179,CCA,test
13,2,0.23925382261234981,PCA,train
13,2,0.27975675522892546,PCA,test
13,3,0.07787350849021209,CCA,train
13,3,0.07818307849690653,CCA,test
13,3,0.29369000944044693,PCA,train
13,3,0.301204773878129,PCA,test
14,1,0.04212009737655236,CCA,train
14,1,0.04831670595864563,CCA,test
14,1,0.15615699626913637,PCA,train
14,1,0.10997738820817356,PCA,test
14,2,0.06929768286523506,CCA,train
14,2,0.08585434723016021,CCA,test
14,2,0.23996916557096776,PCA,train
14,2,0.2687185193207093,PCA,test
14,3,0.07696533870314114,CCA,train
14,3,0.09048267407863154,CCA,test
14,3,0.29510271268406846,PCA,train
14,3,0.28584563770986904,PCA,test
15,1,0.04295686403389887,CCA,train
15,1,0.03184033100646135,CCA,test
15,1,0.15388490925511347,PCA,train
15,1,0.1398445516865981,PCA,test
15,2,0.0730430877380013,CCA,train
15,2,0.037563330698502165,CCA,test
15,2,0.24981774096447282,PCA,train
15,2,0.14943368070183016,PCA,test
15,3,0.08029360297705515,CCA,train
15,3,0.049079632361694915,CCA,test
15,3,0.3064300320373252,PCA,train
15,3,0.15296566229394257,PCA,test
