Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
AB003623,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Roseateles_592282,Roseateles depolymerans,1.0
AB006164,Bacteria,Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Sporichthya,Sporichthya brevicatena,1.0
AB006167,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Virgisporangium,Virgisporangium myanmarense,1.0
AB006851,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Mitsuaria_592248,Mitsuaria chitosanitabida,1.0
AB016985,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Leifsonia_A_381664,Leifsonia_A_381664 cynodontis,1.0
AB017203,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Kaistiaceae_504716,Prosthecomicrobium,Prosthecomicrobium pneumaticum,1.0
AB018046,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Microbispora_A,Microbispora_A rosea,1.0
AB018439,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 oligophenolica,1.0
AB019582,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter_A_615989,Lysobacter_A_615989 antibioticus,1.0
AB020031,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Umezawaea,Umezawaea tangerina,1.0
AB021183,Bacteria,Bacillota_I,Bacilli_A,Paenibacillales,NBRC-103111,Paenibacillus_F_363168,Paenibacillus_F_363168 chitinolyticus,1.0
AB021391,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudomonas_S,Pseudomonas_S boreopolis,1.0
AB021393,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Xanthobacteraceae,Afipia,Afipia felis,1.0
AB021398,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_E_647464,Pseudomonas_E_647464 ficuserectae,1.0
AB021407,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Pelomonas,Pelomonas saccharophila,1.0
AB024312,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia vinacea,1.0
AB024701,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Catenuloplanes,Catenuloplanes crispus,1.0
AB025013,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Novosphingobium,Novosphingobium sp900117425,1.0
AB025317,Bacteria,Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Sporichthya,Sporichthya polymorpha,1.0
AB025318,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Herbidospora,Acrocarpospora macrocephala,1.0
AB033328,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Erythrobacter_484373,Erythrobacter tepidarius,1.0
AB036996,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,1.0
AB036999,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes rectilineatus,1.0
AB037000,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,1.0
AB037003,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,1.0
AB037005,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes rectilineatus,1.0
AB037011,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes regularis,1.0
AB039961,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea_394555,Nonomuraea candida,1.0
AB047498,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes nipponensis,1.0
AB049195,Bacteria,Bacillota_I,Bacilli_A,Bacillales_B_310392,Bacillaceae_G,Ectobacillus,Ectobacillus funiculus,1.0
AB049939,Bacteria,Bacillota_I,Bacilli_A,Thermoactinomycetales_367745,Thermoactinomycetaceae_367745,Shimazuella,Shimazuella alba,1.0
AB055863,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 aquatilis,1.0
AB062751,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,Haliangium tepidum,1.0
AB073203,Bacteria,Bacillota_I,Bacilli_A,Paenibacillales,NBRC-103111,Paenibacillus_G_363728,Paenibacillus_G_363728 filicis,1.0
AB078049,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga filiformis,1.0
AB078055,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga rupis,1.0
AB081581,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium palustre,1.0
AB087721,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Nocardioides_A_392796 aromaticivorans,1.0
AB089840,Bacteria,Bacillota_I,Bacilli_A,Alicyclobacillales,Alicyclobacillaceae_368324,Alicyclobacillus_A_368322,Alicyclobacillus_A pomorum,1.0
