perc_identity	mean_occupancy	min_occupancy	max_occupancy	gg2_mapped_percent	unmapped_percent	n_features	n_samples
0.8	6.632104526364909	1	1652	99.93173119658135	0.06826880341864232	21430	237
0.81	6.622663551401869	1	1652	99.8664027391962	0.13359726080379258	21400	237
0.82	6.624530780780781	1	1652	99.73595315651801	0.2640468434819879	21312	237
0.83	6.614418145028469	1	1651	99.5741493070019	0.42585069299809364	21251	237
0.84	6.589311824913919	1	1649	99.35290711635363	0.6470928836463609	21201	237
0.85	6.564075829383886	1	1643	99.05750600603373	0.9424939939662591	21100	237
0.86	6.512080281556169	1	1637	98.73270143537893	1.2672985646210781	21026	237
0.87	6.452320513434551	1	1631	98.30510726796994	1.6948927320300562	20879	237
0.88	6.3614028326428365	1	1628	97.76021025735943	2.239789742640559	20758	237
0.89	6.2362594678578365	1	1621	96.69338297743208	3.30661702256791	20596	237
0.9	6.099416638070493	1	1618	95.37769121767646	4.622308782323544	20399	237
0.91	5.939998016463354	1	1618	93.66826639082703	6.331733609172975	20166	237
0.92	5.731455871259743	1	1608	91.19158088458425	8.808419115415745	19885	237
0.93	5.426939820742637	1	1431	87.66782119228016	12.33217880771984	19525	237
0.94	5.059737281067556	1	1016	81.90345185315309	18.096548146846914	19184	237
0.95	4.6143390191897655	1	906	75.93962904142082	24.060370958579195	18760	237
0.96	4.061232406073368	1	754	67.88632282963823	32.11367717036177	18046	237
0.97	3.413403880070547	1	387	58.85716100543248	41.14283899456752	17010	237
0.98	2.799845986010396	1	120	49.171218234367444	50.828781765632556	15583	237
0.99	2.0903941829314965	1	53	37.797969201006204	62.2020307989938	13065	237
