"dataset","var","type","units","description","source_column"
"soil","latitude","geographic","deg","Latitude","Latitude"
"soil","longitude","geographic","deg","Longitude","Longitude"
"soil","clay_silt","measured","percent","Texture (% clay + silt)","Clay_silt"
"soil","soil_c","measured","percent","Soil carbon","Soil_C"
"soil","soil_n","measured","percent","Soil nitrogen","Soil_N"
"soil","soil_p","measured","mg P/kg soil","Soil phosphorus","Soil_P"
"soil","soil_c_n_ratio","measured","unitless","Soil C:N ratio","Soil_C_N_ratio"
"soil","ph","measured","unitless","Soil pH","pH"
"soil","aridity_index","eo_meteorological","Precipitation / Evapotranspiration","Aridity index","Aridity_Index"
"soil","mdr","eo_meteorological","degC","Mean diurnal temperature range","MDR"
"soil","max_t","eo_meteorological","degC","Max temperature","MAXT"
"soil","min_t","eo_meteorological","degC","Min temperature","MINT"
"soil","psea","eo_meteorological","CV, %","Precipitation seasonality","PSEA"
"soil","uv_light","eo_meteorological","unitless","UV intensity (0-16)","UV_Light"
"soil","npp","eo_meteorological","NDVI index","Net primary productivity proxy","NPP2003_2015"
"soil","continent","classifier",NA,"Continent","Continent"
"soil","forest","classifier",NA,"Forest indicator","Forest"
"soil","grassland","classifier",NA,"Grassland indicator","Grassland"
"soil","shrubland","classifier",NA,"Shrubland indicator","Shrubland"
"soil","ecosystem_type","classifier",NA,"Ecosystem type","Ecosystem_type"
