"sample_id","ph","soil_c","soil_n","soil_c_n_ratio","soil_p","clay_silt","latitude","longitude"
"1",5.9,1.771,0.248,7.144,559.298,82,-26.73333333,-54.68333333
"2",5.12,3.217,0.156,20.597,911.506,80,64.8,-148.25
"3",4.04,34.772,1.398,24.881,1269.108,42,42.53,-72.19
"4",8.13,5.931,0.585,10.142,763.273,35.8,39.09,-96.57
"5",5.46,9.713,0.895,10.85,1702.348,28.2,44.21,-122.26
"6",5.79,10.647,0.65,16.39,2457.207,4.6,19.81,-155.26
"7",5.16,19.257,0.992,19.405,926.275,53.2,39.99,-105.37
"8",5.81,4.374,0.223,19.587,434.225,6.2,35,-83.5
"9",4.38,21.215,1.039,20.428,875.79,26.6,19.81,-155.26
"10",7.42,2.75,0.223,12.34,715.831,34.8,42.53,-72.19
"11",4.63,5.308,0.31,17.125,530.809,36.2,35,-83.5
"12",5,3.729,0.481,7.757,705.448,20.6,43.94,-71.75
"13",4.18,6.458,1.474,4.383,921.441,6.8,43.94,-71.75
"14",6.31,1.642,0.342,4.803,695.064,61.8,42.4,-85.4
"15",5.56,2.087,0.127,16.422,644.132,76,64.85,-147.84
"16",5.84,1.953,0.179,10.903,511.743,40.8,42.4,-85.4
"17",5.21,4.89,0.442,11.074,731.496,38,39.99,-105.37
"18",5.13,3.9,0.382,10.207,473.79,73.4,18.3,-65.8
"19",7.13,2.966,0.312,9.5,495.541,81.6,39.09,-96.57
"20",4.87,0.897,0.065,13.708,373.178,29,45.4,-93.2
"21",4.86,0.607,0.06,10.102,318.485,8.6,45.4,-93.2
"22",5.8,0.83,0.052,16.012,488.112,76.2,64.85,-147.84
"23",4.97,5.335,0.385,13.859,259.228,76,18.3,-65.8
"24",5.37,4.979,0.074,67.519,560.438,43,35.96666667,-79.08333333
"25",5.2,5.001,0.336,14.884,347.846,50,-29.81161,30.71573
"26",4.9,1.475,0.111,13.288,75.101,16.5,-27.734896,151.139517
"27",5.1,1.397,0.081,17.248,138.207,20,-31.782138,117.610853
"28",5.2,22.38,1.263,17.72,909.357,58,-29.28424,30.29174
"29",5.6,5.958,0.322,18.502,423.573,82.4,-29.67,30.4
"30",5.4,1.608,0.13,12.373,426.527,71,36.871944,-86.70167
"31",6.6,1.675,0.099,16.921,291.632,39.5,41.2,-101.63
"32",5.4,3.132,0.426,7.353,670.538,42.45,46.631345,10.372252
"33",5.6,3.344,0.242,13.811,446.667,92,39.070856,-96.582821
"34",5.8,5.524,0.374,14.77,1007.284,64.7,48.46,-123.38
