"canonical_direction","var","fold","value"
1,"ABY1",1,-0.0236021278906024
1,"Abditibacteriia",1,0.0798970334281864
1,"Acidimicrobiia_401430",1,0.0456003752640496
1,"Acidimicrobiia_402965",1,0.100783104906466
1,"Actinomycetes",1,-0.0739195124910847
1,"Alphaproteobacteria",1,0.082851735407701
1,"Anaerolineae",1,0.18254910067162
1,"Armatimonadia",1,0.0164479941603521
1,"B15-G4",1,-0.00303973009533378
1,"Babeliae",1,-0.0182784290739238
1,"Bacilli_A",1,-0.0365090515245837
1,"Bacteriovoracia",1,0.00751121106973355
1,"Bacteroidia",1,0.0232216714894604
1,"Bdellovibrionia",1,-0.112386078058927
1,"Binatia",1,0.103630135739468
1,"Blastocatellia",1,0.231821923969989
1,"Bradymonadia",1,0.11721842402958
1,"CG2-30-53-67",1,0.115946931332695
1,"CSP1-3",1,-0.0584766155957138
1,"Chlamydiia",1,0.0486116237937007
1,"Chloroflexia",1,0.209621131155998
1,"Chthonomonadetes",1,-0.0930339999365101
1,"Clostridia_258483",1,-0.0477291207943625
1,"Cyanobacteriia",1,0.090991087463687
1,"Deferrimicrobia",1,-0.0621508419546186
1,"Dehalococcoidia",1,0.213943008259339
1,"Deinococci",1,0.101037843554362
1,"Desulfobaccia",1,-0.0289518462136862
1,"Desulfuromonadia",1,-0.0795648796538139
1,"Dojkabacteria",1,-0.045193813904985
1,"Dormibacteria",1,-0.0729259551663447
1,"Doudnabacteria",1,-0.0502258400801165
1,"Elusimicrobia_984204",1,-0.158763845597717
1,"Elusimicrobia_984208",1,-0.041875560149304
1,"Entotheonellia",1,0.137921827235961
1,"Eremiobacteria",1,-0.133812613023985
1,"FAC87",1,0.00346406337395662
1,"Fibrobacteria",1,-0.0358513803109311
1,"Fimbriimonadia",1,0.0212026940139503
1,"Gammaproteobacteria",1,-0.107895877019923
1,"Gemmatimonadetes",1,0.0996654702676284
1,"Gracilibacteria_12420",1,0.0261491310428791
1,"HRBIN11",1,-0.0315481219807533
1,"Holophagae",1,-0.0646736648198606
1,"Hydrogenedentia",1,0.188577413886185
1,"Ignavibacteria",1,0.00229726809442443
1,"Kapaibacteriia",1,0.123785714764426
1,"Koll11",1,0.0619846271010822
1,"Krumholzibacteria",1,-0.0133282812791794
1,"Ktedonobacteria",1,-0.157909570767402
1,"Leptospirillia",1,-0.0131226803775294
1,"Limnocylindria",1,0.0839030570904502
1,"Methylomirabilia",1,-0.0210665570778875
1,"Microgenomatia",1,-0.0388027545700192
1,"Myxococcia",1,-0.0371809014045027
1,"Negativicutes",1,-0.0239644624442619
1,"Nitriliruptoria",1,0.0905436423531545
1,"Nitrososphaeria_A",1,-0.0422371920377874
1,"Nitrospiria",1,0.0135356210822841
1,"Oligoflexia",1,0.0294587356109344
1,"Omnitrophia",1,0.0356016491651309
1,"Paceibacteria",1,-0.0832514217976474
1,"Palsa-1180",1,-0.0887770210561083
1,"Phycisphaerae",1,0.189254416898097
1,"Planctomycetia",1,0.162631995764642
1,"Polarisedimenticolia",1,-0.0240836309715516
1,"Polyangia_463783",1,0.0359445900946618
1,"RBG-16-71-46",1,-0.0351837807656497
1,"Rhodothermia",1,0.11998646026476
1,"Rubrobacteria",1,0.290808543968198
1,"SM23-61",1,0.0429164523651138
1,"SZUA-365",1,-0.153542145615097
1,"Saccharimonadia",1,-0.106611906968202
1,"Sericytochromatia",1,0.106602949861147
1,"Spirochaetia",1,-0.0589061607201834
1,"Sumerlaeia",1,0.0992900464965043
1,"Syntrophobacteria",1,-0.0585880025074978
1,"Terriglobia",1,-0.258421866315367
1,"Thermoanaerobaculia",1,0.103971200696663
1,"Thermodesulfovibrionia",1,-0.0188527180083865
1,"Thermoleophilia",1,-0.0419455176412101
1,"Thermosulfidibacteria",1,-0.0660566138245706
1,"UBA10030",1,-0.0174056592532556
1,"UBA1018",1,-0.0787365080051158
1,"UBA1135",1,-0.0244131890804075
1,"UBA1384",1,-0.0101785458299471
1,"UBA1551",1,0.0348961155265991
1,"UBA2361",1,0.0181445960922822
1,"UBA4151",1,-0.00917471649681164
1,"UBA4738_401429",1,0.156896589917736
1,"UBA4738_401450",1,0.00715322717117273
1,"UBA4802",1,-0.0383077810291834
1,"UBA4882",1,-0.0417900006282358
1,"UBA6911",1,0.00493258709325647
1,"UBA796",1,0.00866983183339022
1,"UBA8108",1,-0.056342246857827
1,"UBA9042",1,-0.0455345569465191
