"canonical_direction","var","fold","value"
1,"ph",1,0.929107733119921
1,"soil_c",1,-0.349765598774777
1,"soil_n",1,0.106217990175698
1,"soil_p",1,-0.0277288919135381
1,"clay_silt",1,-0.0487000337450121
3,"ph",1,-0.299358170599024
3,"soil_c",1,0.119567172403022
3,"soil_n",1,-0.726154216678993
3,"soil_p",1,-0.452047853928226
3,"clay_silt",1,-0.405513462584604
2,"ph",1,-0.321188016922999
2,"soil_c",1,-0.826360995209564
2,"soil_n",1,0.0892278216979677
2,"soil_p",1,0.453865519611615
2,"clay_silt",1,-0.00320145655066545
5,"ph",1,-0.128506015793235
5,"soil_c",1,-0.444009040680896
5,"soil_n",1,0.760261501847162
5,"soil_p",1,-0.446466191968958
5,"clay_silt",1,-0.0949345244703621
4,"ph",1,-0.00129823788398907
4,"soil_c",1,-0.0374417962959273
4,"soil_n",1,-0.189415690822571
4,"soil_p",1,-0.43773194732608
4,"clay_silt",1,0.878128045804743
1,"ph",2,0.927690704399902
1,"soil_c",2,-0.349029283990581
1,"soil_n",2,0.108052269783559
1,"soil_p",2,-0.0534941405147915
1,"clay_silt",2,-0.0550599656033436
3,"ph",2,-0.495656578680555
3,"soil_c",2,-0.296263084098785
3,"soil_n",2,-0.634325278970211
3,"soil_p",2,-0.256310327464924
3,"clay_silt",2,-0.445521264930363
2,"ph",2,-0.20369197029669
2,"soil_c",2,-0.778419331326391
2,"soil_n",2,0.157420780260039
2,"soil_p",2,0.566982607791229
2,"clay_silt",2,0.0795131829233638
5,"ph",2,-0.164530785875307
5,"soil_c",2,-0.470756304055503
5,"soil_n",2,0.773674585725651
5,"soil_p",2,-0.346875035612216
5,"clay_silt",2,-0.180065176429322
4,"ph",2,-0.0350670880380711
4,"soil_c",2,-0.139204415708332
4,"soil_n",2,0.0519021196169655
4,"soil_p",2,-0.565560102124356
4,"clay_silt",2,0.810456890184904
1,"ph",3,0.924585307205217
1,"soil_c",3,-0.365399247541087
1,"soil_n",3,0.0919480927920162
1,"soil_p",3,-0.0365378976839095
1,"clay_silt",3,-0.0428477521159897
3,"ph",3,-0.267160975186673
3,"soil_c",3,0.225527795869663
3,"soil_n",3,-0.611433422420055
3,"soil_p",3,-0.51002389203181
3,"clay_silt",3,-0.493747937850783
2,"ph",3,-0.388855199560561
2,"soil_c",3,-0.835015252001032
2,"soil_n",3,0.00555490826536329
2,"soil_p",3,0.388995435529409
2,"clay_silt",3,0.0138872902979297
5,"ph",3,-0.103860628808298
5,"soil_c",3,-0.452626119380805
5,"soil_n",3,0.776477610534099
5,"soil_p",3,-0.408525898272989
5,"clay_silt",3,-0.12054740402564
4,"ph",3,0.0223030983958344
4,"soil_c",3,0.0808513158746821
4,"soil_n",3,-0.157844872042608
4,"soil_p",3,-0.554112488989705
4,"clay_silt",3,0.813025204061206
1,"ph",4,0.947620657657566
1,"soil_c",4,-0.306000882866846
1,"soil_n",4,0.0521589171114615
1,"soil_p",4,-0.0546106373575135
1,"clay_silt",4,-0.0517269225695648
3,"ph",4,-0.395514235393174
3,"soil_c",4,0.0662902871332299
3,"soil_n",4,-0.573177994214975
3,"soil_p",4,-0.554990916736785
3,"clay_silt",4,-0.450140152308708
2,"ph",4,-0.297600523773572
2,"soil_c",4,-0.819531313801038
2,"soil_n",4,0.0693289756419494
2,"soil_p",4,0.483998519127988
2,"clay_silt",4,-0.0272264681439491
5,"ph",4,-0.0972827210551195
5,"soil_c",4,-0.453964178454704
5,"soil_n",4,0.799959329761241
5,"soil_p",4,-0.356238668963687
5,"clay_silt",4,-0.132708998666193
4,"ph",4,-0.0404833928577559
4,"soil_c",4,-0.162576534786575
4,"soil_n",4,-0.0262433357358883
4,"soil_p",4,-0.502953881596251
4,"clay_silt",4,0.847513212614548
1,"ph",5,0.934813732910488
1,"soil_c",5,-0.336485897627611
1,"soil_n",5,0.0814005116435459
1,"soil_p",5,-0.0564195555370738
1,"clay_silt",5,-0.0555996035675462
3,"ph",5,-0.289339749344815
3,"soil_c",5,0.281403875725518
3,"soil_n",5,-0.685420789694006
3,"soil_p",5,-0.479997789298313
3,"clay_silt",5,-0.369993015474231
2,"ph",5,-0.368059017598314
2,"soil_c",5,-0.828948104306699
2,"soil_n",5,0.0512588975352557
2,"soil_p",5,0.414513527920459
