"canonical_direction","var","fold","value","seed"
3,"ph",1,-0.0507574436379118,0
3,"soil_c",1,-0.219743453673813,0
3,"soil_n",1,0.00932081471381075,0
3,"soil_p",1,-0.0657117894839332,0
3,"clay_silt",1,0.971973034409257,0
5,"ph",1,-0.161659806174461,0
5,"soil_c",1,0.34865862480863,0
5,"soil_n",1,0.0103716229980843,0
5,"soil_p",1,-0.917913779284498,0
5,"clay_silt",1,0.098132531049728,0
1,"ph",1,-0.293419912351129,0
1,"soil_c",1,-0.81532198980619,0
1,"soil_n",1,0.468830244040155,0
1,"soil_p",1,-0.0715613229454088,0
1,"clay_silt",1,-0.155666269004822,0
4,"ph",1,0.204750967317115,0
4,"soil_c",1,-0.116481034390338,0
4,"soil_n",1,0.941611907157434,0
4,"soil_p",1,-0.237067050559914,0
4,"clay_silt",1,0.0409321371079677,0
2,"ph",1,0.941301401220634,0
2,"soil_c",1,-0.185499493116145,0
2,"soil_n",1,-0.00164756263107342,0
2,"soil_p",1,-0.269621386772119,0
2,"clay_silt",1,0.0827236571131846,0
3,"ph",2,0.311478844019465,0
3,"soil_c",2,-0.214781955620507,0
3,"soil_n",2,-0.175910475926593,0
3,"soil_p",2,0.639296360276807,0
3,"clay_silt",2,0.645914320528842,0
5,"ph",2,-0.367601233021259,0
5,"soil_c",2,-0.707510948814869,0
5,"soil_n",2,0.273775986465335,0
5,"soil_p",2,-0.396576423515602,0
5,"clay_silt",2,0.363416345717746,0
1,"ph",2,0.0442377014992582,0
1,"soil_c",2,-0.71305193835058,0
1,"soil_n",2,0.342607322406511,0
1,"soil_p",2,0.393152414076041,0
1,"clay_silt",2,-0.4665312003716,0
4,"ph",2,-0.208746012703139,0
4,"soil_c",2,-0.227177655710432,0
4,"soil_n",2,0.946943799359242,0
4,"soil_p",2,-0.0702557048566358,0
4,"clay_silt",2,0.0563648092042708,0
2,"ph",2,0.736890681339566,0
2,"soil_c",2,-0.0448734560642766,0
2,"soil_n",2,0.446460699911023,0
2,"soil_p",2,-0.482721226382214,0
2,"clay_silt",2,0.150437886620253,0
3,"ph",3,-0.120753886786934,0
3,"soil_c",3,-0.426932826396606,0
3,"soil_n",3,-0.226683789512302,0
3,"soil_p",3,0.460850601779844,0
3,"clay_silt",3,0.734423612761975,0
5,"ph",3,0.119868312961321,0
5,"soil_c",3,0.753171090665364,0
5,"soil_n",3,-0.28167202343836,0
5,"soil_p",3,-0.383358515799066,0
5,"clay_silt",3,0.438248805258189,0
1,"ph",3,-0.23049442044756,0
1,"soil_c",3,-0.504043089644668,0
1,"soil_n",3,0.51983917329777,0
1,"soil_p",3,-0.621572985476991,0
1,"clay_silt",3,0.190334294214973,0
4,"ph",3,0.318920367007788,0
4,"soil_c",3,-0.226768125225891,0
4,"soil_n",3,0.915416456425743,0
4,"soil_p",3,0.0272798979985527,0
4,"clay_silt",3,0.0901916590338414,0
2,"ph",3,0.948584088106005,0
2,"soil_c",3,-0.0618782750519332,0
2,"soil_n",3,-0.200477395108781,0
2,"soil_p",3,-0.191851825025706,0
2,"clay_silt",3,0.139143803862762,0
3,"ph",4,0.0788608046658877,0
3,"soil_c",4,-0.0735816188303092,0
3,"soil_n",4,-0.273402330477323,0
3,"soil_p",4,0.230822954569598,0
3,"clay_silt",4,0.92754441844641,0
5,"ph",4,0.266196629935462,0
5,"soil_c",4,0.808235781265874,0
5,"soil_n",4,-0.471947053643545,0
5,"soil_p",4,0.227871749457147,0
5,"clay_silt",4,-0.0351385891728825,0
