fold,cd,angle
1,1,0.9348577381611328
1,2,1.3353530358995993
1,3,1.3887589873133173
1,4,1.570736580543878
2,1,0.9116316625002576
2,2,1.2496924160556884
2,3,1.4963864926264852
2,4,1.5335306983892911
3,1,0.9375802256170092
3,2,1.3678154919161962
3,3,1.3361836563791931
3,4,1.5574711410647553
4,1,0.9055851434485405
4,2,1.3598490531051322
4,3,1.4301815742173594
4,4,1.5654788130190251
5,1,0.9295152601559952
5,2,1.3454131538270768
5,3,1.3883149544154227
5,4,1.5625794666825186
6,1,0.8039983145148739
6,2,1.3693557723204028
6,3,1.4722252565237466
6,4,1.526707571093174
7,1,0.9243449979136206
7,2,1.3698670160485087
7,3,1.3631065485373728
7,4,1.5653618583080047
8,1,0.9011901583300157
8,2,1.294675844693223
8,3,1.5000257473460652
8,4,1.5464890128912032
9,1,0.9084283721931407
9,2,1.4115966648255647
9,3,1.3384899868021554
9,4,1.5647966225493715
10,1,0.9775912959872581
10,2,1.4580380577040604
10,3,1.2529261387778405
10,4,1.5611320369633588
11,1,0.9612149139127301
11,2,1.3817514032276315
11,3,1.3268998929019278
11,4,1.552796983615381
12,1,0.9321793903402943
12,2,1.4127765625622628
12,3,1.319058353365792
12,4,1.5690311723078738
13,1,0.9534331496323484
13,2,1.2697203440023734
13,3,1.471851733684087
13,4,1.545985911587527
14,1,0.9197581797376472
14,2,1.3254661188195025
14,3,1.4420906659755963
14,4,1.5363957274132405
15,1,0.920937078273578
15,2,1.3313587104687978
15,3,1.432258833809667
15,4,1.5495874950830646
