fold,j,evr,method,split
1,1,0.08570199397793346,CCA,train
1,1,0.08274719067018717,CCA,test
1,1,0.13408840879922213,PCA,train
1,1,0.08121387988157239,PCA,test
1,2,0.11922617347611365,CCA,train
1,2,0.12962785615094918,CCA,test
1,2,0.21982066972626166,PCA,train
1,2,0.13650138150933297,PCA,test
1,3,0.1638314366333199,CCA,train
1,3,0.14713571979099527,CCA,test
1,3,0.2893103265457804,PCA,train
1,3,0.24001531031991022,PCA,test
1,4,0.18149690364602916,CCA,train
1,4,0.16373419762447075,CCA,test
1,4,0.34725708206174927,PCA,train
1,4,0.25977109619319905,PCA,test
2,1,0.08462644282221447,CCA,train
2,1,0.08771949289576313,CCA,test
2,1,0.1242309680636451,PCA,train
2,1,0.19001812965923132,PCA,test
2,2,0.1276495358613803,CCA,train
2,2,0.11744049808625799,CCA,test
2,2,0.20913366029843747,PCA,train
2,2,0.25829049563678974,PCA,test
2,3,0.1664036563300954,CCA,train
2,3,0.15286658291650007,CCA,test
2,3,0.2829331197185833,PCA,train
2,3,0.3095337041873363,PCA,test
2,4,0.18390257994643067,CCA,train
2,4,0.17413915909055355,CCA,test
2,4,0.34140222786655455,PCA,train
2,4,0.33395378910314283,PCA,test
3,1,0.08657936279896124,CCA,train
3,1,0.07670243908496946,CCA,test
3,1,0.13244216043347293,PCA,train
3,1,0.10235189792108,PCA,test
3,2,0.1178623963564402,CCA,train
3,2,0.09549241072230234,CCA,test
3,2,0.21977638257643756,PCA,train
3,2,0.14295447366234512,PCA,test
3,3,0.16530919952508777,CCA,train
3,3,0.11645614145218296,CCA,test
3,3,0.28800935321654625,PCA,train
3,3,0.23725050433021289,PCA,test
3,4,0.18221435064395983,CCA,train
3,4,0.12926828337501492,CCA,test
3,4,0.34579018724986393,PCA,train
3,4,0.2714418363609908,PCA,test
4,1,0.08610181161736323,CCA,train
4,1,0.07169759695820328,CCA,test
4,1,0.13280521944969362,PCA,train
4,1,0.10410414655645625,PCA,test
4,2,0.1186555012113534,CCA,train
4,2,0.09842840523721447,CCA,test
4,2,0.21562815559533605,PCA,train
4,2,0.18045126496669275,PCA,test
