fold,cd,null_mean,null_sd
1,1,1.4770972509222975,0.0607077060633113
1,2,1.3543821267615892,0.07461048215320344
1,3,1.4950514042159835,0.059694917906973
1,4,1.5053647412588276,0.0509215694982822
2,1,1.5019637633675305,0.052005316585929724
2,2,1.3624140716432942,0.07083487998454578
2,3,1.5108002414493875,0.04489573507141874
2,4,1.5073705795433352,0.0453069268914743
3,1,1.479416369820339,0.062334125275913414
3,2,1.379731616269743,0.06928427365901006
3,3,1.4809190155144523,0.07338558957083395
3,4,1.4921680024318795,0.057264096902991744
4,1,1.4896456280581103,0.05791785785925241
4,2,1.3718372902052365,0.0637524014422581
4,3,1.4953708423160101,0.04937814385159004
4,4,1.5061188958427285,0.04583757610602096
5,1,1.485924863720834,0.06118188074624016
5,2,1.371788926624701,0.07939069849218955
5,3,1.4834555604124766,0.06097069504960885
5,4,1.5152261745925268,0.04701468251096756
6,1,1.4758359627992528,0.061656271794308416
6,2,1.3878070585646038,0.06665591893295998
6,3,1.4969241150129944,0.051473808469750575
6,4,1.5160895413123154,0.03662356154228645
7,1,1.5001085302948367,0.050584978551144376
7,2,1.3403000683304696,0.06619095646013541
7,3,1.471884333446923,0.05828288511002866
7,4,1.5075800962677017,0.052734841128962505
8,1,1.4858619365449097,0.06386962602251385
8,2,1.3483134241888108,0.08138160003722995
8,3,1.5037176468223974,0.04486907351988236
8,4,1.5063599750244858,0.05264087706945454
9,1,1.4957817022744204,0.05943139098864114
9,2,1.3934194713960564,0.06741682343648703
9,3,1.412146669772436,0.07552790326461876
9,4,1.5049842613024311,0.05213000525515758
10,1,1.4867831807939775,0.061769187945345666
10,2,1.438123983314469,0.06690781309513187
10,3,1.3851808643184493,0.07603414533762991
10,4,1.5003125692770187,0.049171854281139654
11,1,1.483539685300573,0.07006691302814617
11,2,1.3781135055802087,0.06675483606815814
11,3,1.4514469533618508,0.06102027365308808
11,4,1.5145367224934567,0.04631530749532959
12,1,1.4908638130821488,0.054204711447979295
12,2,1.3917201207489778,0.07825362135582876
12,3,1.3957152746628743,0.07651182947410537
12,4,1.5090973469048492,0.050186571455669064
13,1,1.4943038458057358,0.05550034420913663
13,2,1.3463169160934343,0.07763939633372122
13,3,1.515883549020185,0.03832516835028503
13,4,1.4994228072189888,0.053158027450782894
14,1,1.4852226870392964,0.06667221858708511
14,2,1.346917778057825,0.0697994125799481
14,3,1.5029648279812446,0.060437587947191264
14,4,1.503560447865469,0.054387264688287085
15,1,1.4935896760750174,0.05775029155374459
15,2,1.329377302524265,0.07359615672305066
15,3,1.5066360025354946,0.05148097286121136
15,4,1.506115104923908,0.044597918924349514
