"canonical_direction","var","fold","value"
1,"Archaea",1,0.70710678128179
1,"Bacteria",1,-0.707106781091305
2,"Archaea",1,-0.707106781186541
2,"Bacteria",1,-0.707106781186554
1,"Archaea",2,0.707106781265015
1,"Bacteria",2,-0.70710678110808
2,"Archaea",2,-0.707106781186545
2,"Bacteria",2,-0.707106781186551
1,"Archaea",3,0.707106781258918
1,"Bacteria",3,-0.707106781114177
2,"Archaea",3,-0.707106781186541
2,"Bacteria",3,-0.707106781186554
1,"Archaea",4,0.7071067812836
1,"Bacteria",4,-0.707106781089495
2,"Archaea",4,-0.707106781186543
2,"Bacteria",4,-0.707106781186552
1,"Archaea",5,0.707106781243687
1,"Bacteria",5,-0.707106781129408
2,"Archaea",5,-0.707106781186545
2,"Bacteria",5,-0.70710678118655
1,"Archaea",6,0.707106781275982
1,"Bacteria",6,-0.707106781097113
2,"Archaea",6,-0.707106781186545
2,"Bacteria",6,-0.70710678118655
1,"Archaea",7,0.707106781282165
1,"Bacteria",7,-0.70710678109093
2,"Archaea",7,-0.707106781186543
2,"Bacteria",7,-0.707106781186552
1,"Archaea",8,0.707106781281797
1,"Bacteria",8,-0.707106781091298
2,"Archaea",8,-0.707106781186544
2,"Bacteria",8,-0.707106781186551
1,"Archaea",9,0.707106781278658
1,"Bacteria",9,-0.707106781094437
2,"Archaea",9,-0.707106781186543
2,"Bacteria",9,-0.707106781186552
1,"Archaea",10,0.707106781269087
1,"Bacteria",10,-0.707106781104008
2,"Archaea",10,-0.707106781186545
2,"Bacteria",10,-0.70710678118655
1,"Archaea",11,0.707106781240336
1,"Bacteria",11,-0.707106781132759
2,"Archaea",11,-0.707106781186544
2,"Bacteria",11,-0.707106781186551
1,"Archaea",12,0.707106781302827
1,"Bacteria",12,-0.707106781070268
2,"Archaea",12,-0.707106781186541
2,"Bacteria",12,-0.707106781186554
1,"Archaea",13,0.707106781265057
1,"Bacteria",13,-0.707106781108038
2,"Archaea",13,-0.707106781186542
2,"Bacteria",13,-0.707106781186553
1,"Archaea",14,0.707106781281046
1,"Bacteria",14,-0.707106781092049
2,"Archaea",14,-0.707106781186543
2,"Bacteria",14,-0.707106781186552
1,"Archaea",15,0.70710678127894
1,"Bacteria",15,-0.707106781094155
2,"Archaea",15,-0.707106781186543
2,"Bacteria",15,-0.707106781186552
