"canonical_direction","var","fold","value"
1,"ph",1,-0.861296507675383
1,"soil_c",1,-0.454510110176019
1,"soil_n",1,0.0562328323552616
1,"soil_p",1,0.179665691199048
1,"clay_silt",1,-0.127070821140201
2,"ph",1,0.00590152712274177
2,"soil_c",1,0.387710991159388
2,"soil_n",1,-0.852846590947265
2,"soil_p",1,0.32043876213072
2,"clay_silt",1,0.140060884423825
1,"ph",2,-0.854771576673042
1,"soil_c",2,-0.427288471949715
1,"soil_n",2,0.104208926668259
1,"soil_p",2,0.183299957174132
1,"clay_silt",2,-0.205746783093613
2,"ph",2,-0.110024632710531
2,"soil_c",2,0.81685174234362
2,"soil_n",2,-0.461119848540165
2,"soil_p",2,0.160729560656721
2,"clay_silt",2,0.286674562597553
1,"ph",3,-0.760534088837004
1,"soil_c",3,-0.467959673598097
1,"soil_n",3,0.32909909325642
1,"soil_p",3,0.0237917286677396
1,"clay_silt",3,-0.306152550320316
2,"ph",3,-0.080786655278443
2,"soil_c",3,0.561873121908647
2,"soil_n",3,-0.551528359817884
2,"soil_p",3,0.49342237493667
2,"clay_silt",3,-0.360725573579145
1,"ph",4,-0.847521353723433
1,"soil_c",4,-0.460364709832379
1,"soil_n",4,0.122414133951775
1,"soil_p",4,0.173201259636499
1,"clay_silt",4,-0.157442028673782
2,"ph",4,-0.0110465578630652
2,"soil_c",4,0.452570173713713
2,"soil_n",4,-0.723897209260741
2,"soil_p",4,0.519438057009712
2,"clay_silt",4,0.0348589555007613
1,"ph",5,-0.872480121601707
1,"soil_c",5,-0.420167864170695
1,"soil_n",5,0.085631305662519
1,"soil_p",5,0.166122232207442
1,"clay_silt",5,-0.165251586331439
2,"ph",5,-0.0103652810101032
2,"soil_c",5,0.403073888896444
2,"soil_n",5,-0.728687130249682
2,"soil_p",5,0.532827323667129
2,"clay_silt",5,0.150113658278273
1,"ph",6,-0.896627066955133
1,"soil_c",6,-0.351086562639235
1,"soil_n",6,-0.122453697164701
1,"soil_p",6,0.233210920384873
1,"clay_silt",6,-0.058445590094883
2,"ph",6,0.0792786807578768
2,"soil_c",6,0.392039766120787
2,"soil_n",6,-0.381777073717804
2,"soil_p",6,0.802132848079338
2,"clay_silt",6,-0.225496945817123
1,"ph",7,-0.869642738590288
1,"soil_c",7,-0.412223323579947
1,"soil_n",7,0.130919396951826
1,"soil_p",7,0.151641180028308
1,"clay_silt",7,-0.183462537688978
2,"ph",7,0.00166508482344839
2,"soil_c",7,0.48071913625244
2,"soil_n",7,-0.707315699459896
2,"soil_p",7,0.515661100367312
2,"clay_silt",7,0.0520045228684035
1,"ph",8,-0.845447302207061
1,"soil_c",8,-0.462089985417243
1,"soil_n",8,0.121848564955621
1,"soil_p",8,0.16769332595038
1,"clay_silt",8,-0.169480323984378
2,"ph",8,0.0503201455079365
2,"soil_c",8,0.182505129127722
2,"soil_n",8,-0.742053261971029
2,"soil_p",8,0.628798134709512
2,"clay_silt",8,0.13464628840829
1,"ph",9,-0.862664172441835
1,"soil_c",9,-0.443209709260641
1,"soil_n",9,0.117669501345729
1,"soil_p",9,0.170378300657047
1,"clay_silt",9,-0.128455448777411
2,"ph",9,0.000568913017594334
2,"soil_c",9,0.446402308704275
2,"soil_n",9,-0.711513953434562
2,"soil_p",9,0.537084208989093
2,"clay_silt",9,0.0775441915552153
1,"ph",10,-0.841234029013057
1,"soil_c",10,-0.446101689751619
1,"soil_n",10,0.192941538294311
1,"soil_p",10,0.176898750778388
1,"clay_silt",10,-0.157476936739577
2,"ph",10,-0.0471382609670069
2,"soil_c",10,0.357706291766917
2,"soil_n",10,-0.814730933373015
2,"soil_p",10,0.450329020467395
2,"clay_silt",10,-0.0569339328817178
1,"ph",11,-0.835436889219803
1,"soil_c",11,-0.493769678778195
1,"soil_n",11,0.123630157959078
1,"soil_p",11,0.206977712735194
1,"clay_silt",11,-0.0106074937632806
2,"ph",11,0.0902790607489288
2,"soil_c",11,0.338251099351505
2,"soil_n",11,-0.695586156572803
2,"soil_p",11,0.44897864981292
2,"clay_silt",11,0.438193970490504
1,"ph",12,-0.840127932511857
1,"soil_c",12,-0.447977974293403
1,"soil_n",12,0.109066382845995
1,"soil_p",12,0.215378663722307
1,"clay_silt",12,-0.187662854362328
2,"ph",12,0.0577135520271925
2,"soil_c",12,0.377412560166703
2,"soil_n",12,-0.623673564554516
2,"soil_p",12,0.68198226377381
2,"clay_silt",12,-0.0126642060403364
1,"ph",13,-0.849461321996566
1,"soil_c",13,-0.414959672536018
1,"soil_n",13,0.162375320779906
1,"soil_p",13,0.130230799726348
1,"clay_silt",13,-0.250794989194174
2,"ph",13,0.048892666112659
2,"soil_c",13,0.611083105260117
2,"soil_n",13,-0.431993428935105
2,"soil_p",13,0.433536983596054
2,"clay_silt",13,-0.499614158003328
1,"ph",14,-0.835155987796725
1,"soil_c",14,-0.471475257155293
1,"soil_n",14,0.152384635052441
1,"soil_p",14,0.178593922289344
1,"clay_silt",14,-0.158457224066528
2,"ph",14,-0.000734197825906058
2,"soil_c",14,0.455808821307134
2,"soil_n",14,-0.717902516906351
2,"soil_p",14,0.524936155056815
2,"clay_silt",14,0.0359970652393681
1,"ph",15,-0.861818969008467
1,"soil_c",15,-0.429092473796867
1,"soil_n",15,0.10950891254928
1,"soil_p",15,0.166341933968819
1,"clay_silt",15,-0.182991455166233
2,"ph",15,-0.0137743707737108
2,"soil_c",15,0.450707278012218
2,"soil_n",15,-0.719108104672241
2,"soil_p",15,0.527143805843147
2,"clay_silt",15,0.0409409087894459
