"canonical_direction","fold","train","test","seed"
2,1,0.108135549426636,NA,0
1,1,0.11409154499465,0.106045979884658,0
2,2,0.127449259206671,0.338752551786884,0
1,2,0.100174840507511,0.0263817309997357,0
2,3,0.106613246888957,0.215984334702694,0
1,3,0.112070712059767,0.310181717001969,0
2,4,0.114812000619407,0.143556121901701,0
1,4,0.131747183463738,0.245625752851022,0
2,5,0.103044229822531,0.0994019540139734,0
1,5,0.0937504656412443,0.104176147232956,0
2,6,0.108322213605362,0.0733317476187741,0
1,6,0.111593965037227,0.0670776565399943,0
2,7,0.110098313848078,0.0566793141296767,0
1,7,0.140430987852279,0.305643924638596,0
2,8,0.110828541326206,NA,0
1,8,0.109076841785666,0.298013233376047,0
2,9,0.0841486716353959,0.0470419349965942,0
1,9,0.143609116263915,0.300665159667324,0
2,10,0.117511853067268,0.225369732497032,0
1,10,0.0807655357905658,0.515022263581699,0
2,11,0.110009826596833,NA,0
1,11,0.11002624259403,0.281421637844038,0
2,12,0.107748924553669,NA,0
1,12,0.108864342698217,0.139945303760583,0
2,13,0.115340672084608,NA,0
1,13,0.111517763407105,0.407543776717412,0
2,14,0.110817193496497,NA,0
1,14,0.111845061397547,0.240788056932925,0
2,15,0.102346786248888,NA,0
1,15,0.110217934502106,0.673535943428248,0
1,1,0.0916611401691108,NA,1
2,1,0.0958594188953387,0.0467970117915412,1
1,2,0.101848021767135,0.241960200845745,1
2,2,0.0704672736915625,0.0579308432903942,1
1,3,0.0806242993102856,NA,1
2,3,0.0951201658342014,0.0371357622878092,1
1,4,0.0954141133982871,0.086004460497092,1
2,4,0.0760237835170857,0.029782578863654,1
1,5,0.0718398905946695,0.213556093664505,1
2,5,0.104935223793272,0.246408256161276,1
1,6,0.104440595436971,0.511369709400667,1
2,6,0.092919652868551,0.322851799737308,1
1,7,0.0821423557529241,0.367803016751885,1
2,7,0.112603352565932,0.496136937543381,1
1,8,0.082422956879644,NA,1
2,8,0.0936609284441911,0.292333725172311,1
1,9,0.204267988098026,0.742256964721155,1
2,9,0.103678449544627,0.0237744158685957,1
1,10,0.0723811756893742,0.0586278207288252,1
2,10,0.102916875968718,0.301278556015115,1
1,11,0.0907739544064419,NA,1
2,11,0.0937961283408182,0.314859867961376,1
1,12,0.0850245620187453,NA,1
2,12,0.0946190051255355,0.335825456024988,1
1,13,0.0962192173940366,0.794817187915418,1
2,13,0.0926294304115052,0.0947011290859559,1
1,14,0.0882621818460602,NA,1
2,14,0.0940442731249617,0.0635757223332362,1
1,15,0.0856689735037144,0.23962838702653,1
2,15,0.0938458742519601,0.453514736878113,1
1,1,0.0839817702586829,NA,2
2,1,0.0644042238917968,0.416539595526111,2
1,2,0.06627262708384,0.00499481210179749,2
2,2,0.0966863541662193,0.326117499114502,2
1,3,0.0888958572769548,0.2279627120072,2
2,3,0.0684891521401448,0.0635255490285167,2
1,4,0.13050349617439,0.467515956791226,2
2,4,0.0829350412230928,0.151490044327151,2
1,5,0.05842310710164,0.271215898277186,2
2,5,0.0719889137612094,0.0796540750199971,2
1,6,0.0762215985261433,0.128271139216999,2
2,6,0.0663335821301135,0.00793530034048445,2
1,7,0.0815126148871667,0.0957197771075907,2
2,7,0.0740095554314911,0.12340110749941,2
1,8,0.0781913675937808,NA,2
2,8,0.0805013975742916,0.0605662655331955,2
1,9,0.114212536142264,0.0967475603778879,2
2,9,0.0850375566203807,0.0631654392562176,2
1,10,0.0706849559030928,0.0908961480579671,2
2,10,0.104972586973933,0.43072612086869,2
1,11,0.0855279647917229,0.308250685110925,2
2,11,0.0682402308162868,0.31485998156488,2
1,12,0.0847900268018333,NA,2
2,12,0.0704757981105786,0.0810980194745611,2
1,13,0.0823726754287166,0.297146660277621,2
2,13,0.0810598377211181,0.540575665422263,2
1,14,0.085227229588344,NA,2
2,14,0.0765467708947157,0.0524180308964865,2
1,15,0.0805021795148357,0.262336522205178,2
2,15,0.0736620917688704,0.109284895905747,2
1,1,0.0927141292900726,0.370144673266466,3
2,1,0.104181248372394,0.154596457184476,3
1,2,0.066570324458113,0.209634184402742,3
2,2,0.123636427025875,0.163677335468014,3
1,3,0.10505099680797,0.0734310807760525,3
2,3,0.127450159942055,0.0488347478966193,3
1,4,0.0956987151497789,0.00818964301242676,3
