"canonical_direction","var","fold","value","seed"
2,"ph",1,-0.0579444197565501,0
2,"soil_c",1,-0.399988602706308,0
2,"soil_n",1,0.851133133512272,0
2,"soil_p",1,-0.328087688890163,0
2,"clay_silt",1,0.0676935695648092,0
1,"ph",1,-0.064115214709369,0
1,"soil_c",1,-0.120880998365915,0
1,"soil_n",1,0.117485231645779,0
1,"soil_p",1,-0.417071984432329,0
1,"clay_silt",1,-0.890800316358076,0
2,"ph",2,-0.419374232023287,0
2,"soil_c",2,-0.608822986844119,0
2,"soil_n",2,0.618077070540262,0
2,"soil_p",2,-0.267283468142883,0
2,"clay_silt",2,-0.000326703175217326,0
1,"ph",2,0.301953558378576,0
1,"soil_c",2,0.210810066140517,0
1,"soil_n",2,0.121009793599926,0
1,"soil_p",2,-0.757019455717724,0
1,"clay_silt",2,-0.525986062661447,0
2,"ph",3,-0.098740344293944,0
2,"soil_c",3,-0.484750363850949,0
2,"soil_n",3,0.837865615605503,0
2,"soil_p",3,-0.230716333970777,0
2,"clay_silt",3,-0.00431422996406776,0
1,"ph",3,-0.0561922267882199,0
1,"soil_c",3,-0.101142334513281,0
1,"soil_n",3,0.0745533162504813,0
1,"soil_p",3,-0.350745015982602,0
1,"clay_silt",3,-0.926300382498682,0
2,"ph",4,0.0549170391027985,0
2,"soil_c",4,-0.474406961241848,0
2,"soil_n",4,0.808343345876382,0
2,"soil_p",4,-0.339630224261951,0
2,"clay_silt",4,-0.0561649346711043,0
1,"ph",4,0.236160617854429,0
1,"soil_c",4,0.240318798049745,0
1,"soil_n",4,-0.337849686423888,0
1,"soil_p",4,-0.434175090004664,0
1,"clay_silt",4,-0.764084169762248,0
2,"ph",5,0.127902889564893,0
2,"soil_c",5,-0.550689937195238,0
2,"soil_n",5,0.781074658638757,0
2,"soil_p",5,-0.255805542233513,0
2,"clay_silt",5,-0.0697663680280364,0
1,"ph",5,-0.783396104597992,0
1,"soil_c",5,-0.198426804995465,0
1,"soil_n",5,0.222636277943751,0
1,"soil_p",5,-0.117034516085187,0
1,"clay_silt",5,-0.532591171676777,0
2,"ph",6,-0.132119500633984,0
2,"soil_c",6,-0.534882349113203,0
2,"soil_n",6,0.799499419499888,0
2,"soil_p",6,-0.238925748381644,0
2,"clay_silt",6,0.0126678782352254,0
1,"ph",6,-0.0728351800073496,0
1,"soil_c",6,-0.0299763156742241,0
1,"soil_n",6,0.0142909277555127,0
1,"soil_p",6,-0.325493015132359,0
1,"clay_silt",6,-0.942149947479609,0
2,"ph",7,-0.0793422153406945,0
2,"soil_c",7,-0.434128104302092,0
2,"soil_n",7,0.84847915059313,0
2,"soil_p",7,-0.287111478130434,0
2,"clay_silt",7,0.0537376223368734,0
1,"ph",7,-0.0934121079549756,0
1,"soil_c",7,-0.261234536388107,0
1,"soil_n",7,0.145155747981737,0
1,"soil_p",7,-0.298139278508234,0
1,"clay_silt",7,-0.901705869185707,0
2,"ph",8,-0.0937574221355594,0
2,"soil_c",8,-0.442183474255008,0
2,"soil_n",8,0.827682687935775,0
2,"soil_p",8,-0.332128046702668,0
2,"clay_silt",8,-0.0177665296314451,0
1,"ph",8,-0.0754782859773146,0
1,"soil_c",8,-0.0368294682484188,0
1,"soil_n",8,-0.0303560564302598,0
1,"soil_p",8,-0.337056686159485,0
1,"clay_silt",8,-0.937239520489642,0
2,"ph",9,0.248706317039296,0
2,"soil_c",9,0.381211082846343,0
2,"soil_n",9,0.878243627807615,0
2,"soil_p",9,0.14052452373718,0
2,"clay_silt",9,-0.0420031739708524,0
1,"ph",9,-0.0750669251060296,0
1,"soil_c",9,-0.409108348234656,0
1,"soil_n",9,0.329982786607075,0
1,"soil_p",9,0.195382774389226,0
1,"clay_silt",9,-0.824580043522056,0
2,"ph",10,0.0235713836601265,0
2,"soil_c",10,-0.191158200793198,0
2,"soil_n",10,0.902654341057658,0
2,"soil_p",10,-0.313022208529238,0
2,"clay_silt",10,0.223908842342366,0
1,"ph",10,-0.0454971442043647,0
1,"soil_c",10,0.283758991603339,0
1,"soil_n",10,0.241378705716441,0
1,"soil_p",10,-0.612915956063572,0
1,"clay_silt",10,-0.695328120949266,0
2,"ph",11,-0.134849296516065,0
2,"soil_c",11,-0.495918708125316,0
2,"soil_n",11,0.819136681335608,0
2,"soil_p",11,-0.254483337945928,0
2,"clay_silt",11,-0.0115598511593538,0
1,"ph",11,-0.0873319293200376,0
1,"soil_c",11,-0.106634322528257,0
1,"soil_n",11,0.0375262439709247,0
1,"soil_p",11,-0.334438739735852,0
1,"clay_silt",11,-0.931528188385896,0
2,"ph",12,-0.076687920268184,0
2,"soil_c",12,-0.422864228341089,0
2,"soil_n",12,0.847308674665759,0
2,"soil_p",12,-0.312045971412157,0
2,"clay_silt",12,-0.000358937367662176,0
1,"ph",12,-0.077362600413484,0
1,"soil_c",12,-0.0480216812443246,0
1,"soil_n",12,0.00506411175307856,0
1,"soil_p",12,-0.334700552748713,0
1,"clay_silt",12,-0.937901295952613,0
2,"ph",13,-0.0603070620723133,0
2,"soil_c",13,-0.41341036467603,0
2,"soil_n",13,0.839222711112424,0
2,"soil_p",13,-0.348055506496544,0
2,"clay_silt",13,0.00418738500561926,0
1,"ph",13,-0.0841902992102137,0
1,"soil_c",13,-0.060850297190798,0
1,"soil_n",13,0.0262944601461519,0
1,"soil_p",13,-0.39569694298025,0
1,"clay_silt",13,-0.912108417641452,0
2,"ph",14,-0.0871895679738643,0
2,"soil_c",14,-0.504740431987706,0
2,"soil_n",14,0.813672544659318,0
2,"soil_p",14,-0.271658802535514,0
2,"clay_silt",14,0.0421136631747354,0
1,"ph",14,-0.0864287976399348,0
1,"soil_c",14,-0.0983404000395232,0
1,"soil_n",14,0.0768021385499357,0
1,"soil_p",14,-0.364830845435968,0
1,"clay_silt",14,-0.918618045975157,0
2,"ph",15,-0.111895042652844,0
2,"soil_c",15,-0.477370395018409,0
2,"soil_n",15,0.834843790451069,0
2,"soil_p",15,-0.24923076599579,0
2,"clay_silt",15,0.0227349118346731,0
1,"ph",15,-0.0741844247651332,0
1,"soil_c",15,-0.105561528653917,0
1,"soil_n",15,0.115098541533847,0
1,"soil_p",15,-0.363406353649689,0
1,"clay_silt",15,-0.915446111278175,0
1,"ph",1,0.0482936267937198,1
1,"soil_c",1,0.904163526216939,1
1,"soil_n",1,-0.325762183471924,1
1,"soil_p",1,-0.153566517742603,1
1,"clay_silt",1,-0.224616045549011,1
2,"ph",1,-0.839898785131137,1
2,"soil_c",1,-0.0424720577504668,1
2,"soil_n",1,-0.532245707552769,1
2,"soil_p",1,0.0885903246953827,1
2,"clay_silt",1,-0.0404031707629448,1
1,"ph",2,0.181804383045782,1
1,"soil_c",2,0.713549708319485,1
1,"soil_n",2,-0.595812304791789,1
1,"soil_p",2,0.199760158970237,1
1,"clay_silt",2,-0.25079385241549,1
2,"ph",2,-0.494815170902162,1
2,"soil_c",2,-0.220362703416122,1
2,"soil_n",2,-0.710868542368272,1
2,"soil_p",2,0.445238137847085,1
2,"clay_silt",2,0.0550194662448689,1
1,"ph",3,0.0329247863953258,1
1,"soil_c",3,0.870354463270469,1
1,"soil_n",3,-0.428623743221996,1
1,"soil_p",3,-0.156732695790838,1
1,"clay_silt",3,-0.18197696426333,1
2,"ph",3,-0.858758388253358,1
2,"soil_c",3,-0.108688024911599,1
2,"soil_n",3,-0.483672602226404,1
2,"soil_p",3,0.118797208673543,1
2,"clay_silt",3,-0.0516621806762335,1
1,"ph",4,-0.169323241787162,1
1,"soil_c",4,0.88793542565038,1
1,"soil_n",4,-0.30204838858411,1
1,"soil_p",4,-0.0492720021138375,1
1,"clay_silt",4,-0.298729577422793,1
2,"ph",4,-0.767528490414399,1
2,"soil_c",4,-0.12968902548723,1
2,"soil_n",4,-0.387829029024183,1
2,"soil_p",4,-0.490569111899161,1
2,"clay_silt",4,0.0548758942250121,1
1,"ph",5,0.208500682852181,1
1,"soil_c",5,0.905465243223344,1
1,"soil_n",5,0.0350281915335714,1
1,"soil_p",5,-0.240584481466953,1
1,"clay_silt",5,-0.278482120862056,1
2,"ph",5,-0.725954357841147,1
2,"soil_c",5,-0.361725274877984,1
2,"soil_n",5,0.490260108627731,1
2,"soil_p",5,-0.13530653054451,1
2,"clay_silt",5,-0.288932975837352,1
1,"ph",6,0.126000909819824,1
1,"soil_c",6,0.827805903176513,1
1,"soil_n",6,-0.0701549047015294,1
1,"soil_p",6,-0.434953538255839,1
1,"clay_silt",6,-0.323658564378791,1
2,"ph",6,-0.822425921500773,1
2,"soil_c",6,0.0755249017008983,1
2,"soil_n",6,-0.551654774200989,1
2,"soil_p",6,-0.00995652741019915,1
2,"clay_silt",6,-0.116144179922455,1
1,"ph",7,-0.0717057139567434,1
1,"soil_c",7,0.883073327385961,1
1,"soil_n",7,-0.330393785722085,1
1,"soil_p",7,-0.231236895425234,1
1,"clay_silt",7,-0.228930630531981,1
2,"ph",7,-0.856846240432747,1
2,"soil_c",7,-0.405677697734967,1
2,"soil_n",7,-0.0693836091955377,1
2,"soil_p",7,-0.253854805171231,1
2,"clay_silt",7,-0.178840091934674,1
1,"ph",8,-0.0123038340319554,1
1,"soil_c",8,0.875729768378329,1
1,"soil_n",8,-0.434295030796294,1
1,"soil_p",8,-0.153776746301574,1
1,"clay_silt",8,-0.14382811605072,1
2,"ph",8,-0.886073727680409,1
2,"soil_c",8,-0.211494136303628,1
2,"soil_n",8,-0.404041881643017,1
2,"soil_p",8,0.0747430026297031,1
2,"clay_silt",8,-0.0361555094002863,1
1,"ph",9,-0.0911336117845341,1
1,"soil_c",9,0.748195111422751,1
1,"soil_n",9,-0.558505035042878,1
1,"soil_p",9,0.0225187568772868,1
1,"clay_silt",9,0.345635315711022,1
2,"ph",9,-0.756062402974815,1
2,"soil_c",9,-0.406490680409206,1
2,"soil_n",9,-0.48349132504216,1
2,"soil_p",9,0.168855014109407,1
2,"clay_silt",9,-0.0293102775063108,1
1,"ph",10,-0.0954787669550399,1
1,"soil_c",10,0.701211915686627,1
1,"soil_n",10,-0.27096686453106,1
1,"soil_p",10,-0.376553980458417,1
1,"clay_silt",10,-0.532888086268556,1
2,"ph",10,-0.632803495318665,1
2,"soil_c",10,0.344102326968839,1
2,"soil_n",10,-0.590546256586116,1
2,"soil_p",10,0.284174902001634,1
2,"clay_silt",10,0.22727311497755,1
1,"ph",11,-0.00144015057737434,1
1,"soil_c",11,0.864361508975002,1
1,"soil_n",11,-0.433089893192418,1
1,"soil_p",11,-0.158692684455029,1
1,"clay_silt",11,-0.200316959051918,1
2,"ph",11,-0.871429091874184,1
2,"soil_c",11,-0.169465103046116,1
2,"soil_n",11,-0.450456026481602,1
2,"soil_p",11,0.0914171324566255,1
2,"clay_silt",11,-0.0250038553970947,1
1,"ph",12,0.0090825603994392,1
1,"soil_c",12,0.893351484396919,1
1,"soil_n",12,-0.391287714948157,1
1,"soil_p",12,-0.102558149392897,1
1,"clay_silt",12,-0.195490108563495,1
2,"ph",12,-0.850275957448125,1
2,"soil_c",12,-0.122027102126425,1
2,"soil_n",12,-0.501827419432262,1
2,"soil_p",12,0.0836872314719347,1
2,"clay_silt",12,-0.057496703617,1
1,"ph",13,-0.0193710556544629,1
1,"soil_c",13,0.865015821513581,1
1,"soil_n",13,-0.468225102582382,1
1,"soil_p",13,-0.0797277397206296,1
1,"clay_silt",13,-0.160565038426095,1
2,"ph",13,-0.877983891358326,1
2,"soil_c",13,-0.208982030252279,1
2,"soil_n",13,-0.418983814320211,1
2,"soil_p",13,0.0872646101487596,1
2,"clay_silt",13,-0.048044236909311,1
1,"ph",14,0.033493161449768,1
1,"soil_c",14,0.874150787287537,1
1,"soil_n",14,-0.445992841246865,1
1,"soil_p",14,-0.0705728605480192,1
1,"clay_silt",14,-0.175637314176965,1
2,"ph",14,-0.86199860409335,1
2,"soil_c",14,-0.100420884375522,1
2,"soil_n",14,-0.490716055507937,1
2,"soil_p",14,0.0641815866335636,1
2,"clay_silt",14,-0.0441874340314562,1
1,"ph",15,0.0115725655521706,1
1,"soil_c",15,0.878051737604896,1
1,"soil_n",15,-0.415723384380083,1
1,"soil_p",15,-0.184190066159816,1
1,"clay_silt",15,-0.148792839287299,1
2,"ph",15,-0.866034335517133,1
2,"soil_c",15,-0.139917913417117,1
2,"soil_n",15,-0.460636284973215,1
2,"soil_p",15,0.113440061182913,1
2,"clay_silt",15,-0.0731646956891824,1
1,"ph",1,-0.617641178316133,2
1,"soil_c",1,0.508007322324819,2
1,"soil_n",1,0.585827970314072,2
1,"soil_p",1,0.0750329886073616,2
1,"clay_silt",1,0.107812685389844,2
2,"ph",1,0.0289473332502373,2
2,"soil_c",1,-0.642684492974991,2
2,"soil_n",1,0.741366202161804,2
2,"soil_p",1,-0.172778459720096,2
2,"clay_silt",1,0.0815012425433621,2
1,"ph",2,0.0373443305893346,2
1,"soil_c",2,0.732278147153003,2
1,"soil_n",2,0.32995850605744,2
1,"soil_p",2,0.164607522913167,2
1,"clay_silt",2,0.571319406160628,2
2,"ph",2,-0.209189372261095,2
2,"soil_c",2,-0.598440553820385,2
2,"soil_n",2,0.757209507168337,2
2,"soil_p",2,-0.101177771774587,2
2,"clay_silt",2,-0.120438909114843,2
1,"ph",3,-0.516078854372675,2
1,"soil_c",3,0.55222450447085,2
1,"soil_n",3,0.567321205150793,2
1,"soil_p",3,0.232840174414993,2
1,"clay_silt",3,0.229440223361028,2
2,"ph",3,-0.0168328037909659,2
2,"soil_c",3,-0.634256333800061,2
2,"soil_n",3,0.74682868330871,2
2,"soil_p",3,-0.19716833319412,2
2,"clay_silt",3,0.0284099617013395,2
1,"ph",4,-0.306827365651654,2
1,"soil_c",4,0.431541104369088,2
1,"soil_n",4,0.719020549680711,2
1,"soil_p",4,0.0593856153821982,2
1,"clay_silt",4,0.44621972250193,2
2,"ph",4,-0.0465468677656103,2
2,"soil_c",4,-0.69580106773149,2
2,"soil_n",4,0.679385686178616,2
2,"soil_p",4,0.0858091265774759,2
2,"clay_silt",4,-0.211580118292224,2
1,"ph",5,-0.509243989873146,2
1,"soil_c",5,0.428051251963861,2
1,"soil_n",5,0.710657543016745,2
1,"soil_p",5,-0.182967780114,2
1,"clay_silt",5,0.137591178728171,2
2,"ph",5,0.221465037163975,2
2,"soil_c",5,-0.538769088251352,2
2,"soil_n",5,0.675136903856516,2
2,"soil_p",5,-0.319485899040515,2
2,"clay_silt",5,0.320624434851863,2
1,"ph",6,-0.695192654647506,2
1,"soil_c",6,0.303337861186314,2
1,"soil_n",6,0.550560853086694,2
1,"soil_p",6,0.347436071437888,2
1,"clay_silt",6,-0.0293979286230424,2
2,"ph",6,0.0433467059740911,2
2,"soil_c",6,-0.577085997288745,2
2,"soil_n",6,0.762961168688457,2
2,"soil_p",6,-0.261170262193701,2
2,"clay_silt",6,0.121544905420455,2
1,"ph",7,-0.708360147300469,2
1,"soil_c",7,0.493200994389854,2
1,"soil_n",7,0.429059648819957,2
1,"soil_p",7,0.26541917667471,2
1,"clay_silt",7,0.0209561269591984,2
2,"ph",7,-0.0491568878042326,2
2,"soil_c",7,-0.629979448610736,2
2,"soil_n",7,0.750325677636146,2
2,"soil_p",7,-0.182941369935366,2
2,"clay_silt",7,0.0652175387111845,2
1,"ph",8,-0.597781537756613,2
1,"soil_c",8,0.677038180462646,2
1,"soil_n",8,0.334338778127782,2
