"canonical_direction","var","fold","value"
1,"ph",1,-0.946170481610987
1,"soil_c",1,0.309657012927574
1,"soil_n",1,-0.091962633415474
1,"soil_p",1,0.00600736570693561
1,"clay_silt",1,0.0195125519950225
3,"ph",1,0.201447283497759
3,"soil_c",1,-0.209818822036378
3,"soil_n",1,0.635103618887006
3,"soil_p",1,0.672095868184537
3,"clay_silt",1,0.245612685210969
2,"ph",1,0.344057525233979
2,"soil_c",1,0.872954533089769
2,"soil_n",1,-0.102290353998753
2,"soil_p",1,-0.329710604012361
2,"clay_silt",1,-0.0200599992150472
5,"ph",1,0.0519531174461681
5,"soil_c",1,0.358645956551967
5,"soil_n",1,-0.715779201153675
5,"soil_p",1,0.55448814585455
5,"clay_silt",1,-0.221081393923458
4,"ph",1,-0.0926546302212942
4,"soil_c",1,-0.264812418746912
4,"soil_n",1,0.555804439037491
4,"soil_p",1,0.0529838133087525
4,"clay_silt",1,-0.780745568959215
1,"ph",2,-0.948297197547161
1,"soil_c",2,0.294342581090072
1,"soil_n",2,-0.0990906941926894
1,"soil_p",2,0.0545960044339719
1,"clay_silt",2,0.0359886191134396
3,"ph",2,0.486881866828193
3,"soil_c",2,0.390847247687239
3,"soil_n",2,0.632929193473332
3,"soil_p",2,0.377224685438515
3,"clay_silt",2,0.259396702897733
2,"ph",2,0.182472333955443
2,"soil_c",2,0.787994470103906
2,"soil_n",2,-0.198010968754679
2,"soil_p",2,-0.54685170119449
2,"clay_silt",2,-0.0866800760269771
5,"ph",2,0.160019266502003
5,"soil_c",2,0.440283893611415
5,"soil_n",2,-0.747360273388169
5,"soil_p",2,0.227901470715715
5,"clay_silt",2,0.412380247806934
4,"ph",2,0.0427222920052552
4,"soil_c",2,0.265497392120483
4,"soil_n",2,-0.447789190825803
4,"soil_p",2,0.592885705426581
4,"clay_silt",2,-0.612908901406594
1,"ph",3,-0.943609079252893
1,"soil_c",3,0.31912735280888
1,"soil_n",3,-0.0814777474075302
1,"soil_p",3,0.0273165906072977
1,"clay_silt",3,0.0193602374905881
3,"ph",3,0.353415299559771
3,"soil_c",3,0.0102244651558137
3,"soil_n",3,0.580103505425444
3,"soil_p",3,0.617917295547447
3,"clay_silt",3,0.395791896336693
2,"ph",3,0.325399120878612
2,"soil_c",3,0.850525897851615
2,"soil_n",3,-0.101246175254617
2,"soil_p",3,-0.373006693944358
2,"clay_silt",3,-0.146069598083044
5,"ph",3,0.0580665700644639
5,"soil_c",3,0.408334176403422
5,"soil_n",3,-0.779571626990178
5,"soil_p",3,0.471199701029264
5,"clay_silt",3,-0.0114190176331865
4,"ph",3,-0.101716623615342
4,"soil_c",3,-0.271602437897437
4,"soil_n",3,0.29389371785032
4,"soil_p",3,0.409249975782668
4,"clay_silt",3,-0.813650283683639
1,"ph",4,-0.957474076607339
1,"soil_c",4,0.280638061982494
1,"soil_n",4,-0.0429298816864938
1,"soil_p",4,0.035371807099402
1,"clay_silt",4,0.0373032346122908
3,"ph",4,0.473769089218921
3,"soil_c",4,0.231302552343149
3,"soil_n",4,0.510503464183075
3,"soil_p",4,0.635158692129774
3,"clay_silt",4,0.240835272020717
2,"ph",4,0.24835967956595
2,"soil_c",4,0.822349614604934
2,"soil_n",4,-0.169840526443035
2,"soil_p",4,-0.481526436140509
2,"clay_silt",4,-0.0366751659899274
5,"ph",4,0.0224210647849774
5,"soil_c",4,0.374877080573709
5,"soil_n",4,-0.682465240805528
5,"soil_p",4,0.514244019317631
5,"clay_silt",4,-0.358829700558275
4,"ph",4,-0.0935918945607344
4,"soil_c",4,-0.313781963149176
4,"soil_n",4,0.670171381205775
4,"soil_p",4,-0.0596147688459963
4,"clay_silt",4,-0.663398700649138
1,"ph",5,-0.956599688377149
1,"soil_c",5,0.274990813566848
1,"soil_n",5,-0.065996860656262
1,"soil_p",5,0.0565607797144644
1,"clay_silt",5,0.0417418403067514
3,"ph",5,0.308344096151115
3,"soil_c",5,-0.202605420152374
3,"soil_n",5,0.67740899836704
3,"soil_p",5,0.596244319056104
3,"clay_silt",5,0.222451619500328
2,"ph",5,0.327233248031881
2,"soil_c",5,0.872518203084849
2,"soil_n",5,-0.143428291502635
2,"soil_p",5,-0.330824071527083
2,"clay_silt",5,-0.040176430440872
5,"ph",5,0.0481746198200861
5,"soil_c",5,0.329133458380125
5,"soil_n",5,-0.71530871574156
5,"soil_p",5,0.592344434880399
5,"clay_silt",5,-0.163743348659751
4,"ph",5,-0.12155348177977
4,"soil_c",5,-0.251091257417456
4,"soil_n",5,0.462327173801939
4,"soil_p",5,0.102265436654842
4,"clay_silt",5,-0.835447961482846
1,"ph",6,-0.955281981531187
1,"soil_c",6,0.28877499908675
1,"soil_n",6,-0.0227324992756395
1,"soil_p",6,-0.0361687208048866
1,"clay_silt",6,0.0471210438797609
3,"ph",6,0.186414461849655
3,"soil_c",6,-0.292717994133432
3,"soil_n",6,0.758604129174023
3,"soil_p",6,0.509585133775704
3,"clay_silt",6,0.210733459513968
2,"ph",6,0.360075267431569
2,"soil_c",6,0.882733543976544
2,"soil_n",6,-0.225623309318224
2,"soil_p",6,-0.199276595119466
2,"clay_silt",6,-0.0225887815647794
5,"ph",6,-0.0941660713835319
5,"soil_c",6,0.0993899052336627
5,"soil_n",6,-0.304339432061173
5,"soil_p",6,0.651977180778866
5,"clay_silt",6,-0.680850691102065
4,"ph",6,-0.0404000129211504
4,"soil_c",6,-0.304896560066592
4,"soil_n",6,0.75929693858566
4,"soil_p",6,-0.419332097525906
4,"clay_silt",6,-0.391196469378876
1,"ph",7,-0.963257966265459
1,"soil_c",7,0.261253716080374
1,"soil_n",7,-0.0478513114469534
1,"soil_p",7,0.0380497596627554
1,"clay_silt",7,0.0119605201701617
3,"ph",7,0.406130051941864
3,"soil_c",7,0.163206307617837
3,"soil_n",7,0.577311817550313
3,"soil_p",7,0.637055530421651
3,"clay_silt",7,0.263236392885547
2,"ph",7,0.241818223886802
2,"soil_c",7,0.841501086104648
2,"soil_n",7,-0.123658685716326
2,"soil_p",7,-0.4611469348224
2,"clay_silt",7,-0.0738370004248932
5,"ph",7,0.0365408915375411
5,"soil_c",7,0.370559200324812
5,"soil_n",7,-0.623367227265496
5,"soil_p",7,0.554725936176687
5,"clay_silt",7,-0.406254942129328
4,"ph",7,-0.121399473301954
4,"soil_c",7,-0.387229774500436
4,"soil_n",7,0.670311012865171
4,"soil_p",7,-0.0687853682651298
4,"clay_silt",7,-0.617468208709281
1,"ph",8,-0.947265482636546
1,"soil_c",8,0.302446536659681
1,"soil_n",8,-0.0908334605578
1,"soil_p",8,0.0401625668369022
1,"clay_silt",8,0.036748449437794
3,"ph",8,0.50524661879822
3,"soil_c",8,0.317275399955502
3,"soil_n",8,0.602517240684864
3,"soil_p",8,0.484688054184032
3,"clay_silt",8,0.214738537726315
2,"ph",8,0.230093810684263
2,"soil_c",8,0.812324964457919
2,"soil_n",8,-0.248855553356079
2,"soil_p",8,-0.462900100853613
2,"clay_silt",8,-0.104782634996408
5,"ph",8,0.104516215604993
5,"soil_c",8,0.391192233056924
5,"soil_n",8,-0.765931221901309
5,"soil_p",8,0.499236482123764
5,"clay_silt",8,-0.0125417584494465
4,"ph",8,-0.0933665874621686
4,"soil_c",8,-0.171010222394251
4,"soil_n",8,0.233156008827234
4,"soil_p",8,0.33430720611651
4,"clay_silt",8,-0.892140768975763
1,"ph",9,-0.949769775683913
1,"soil_c",9,0.288879158467685
1,"soil_n",9,-0.0992734007653906
1,"soil_p",9,0.0448304182044044
1,"clay_silt",9,0.0511979541038811
3,"ph",9,0.238966618265573
3,"soil_c",9,-0.187630160956632
3,"soil_n",9,0.535924284189862
3,"soil_p",9,0.716413139863466
3,"clay_silt",9,0.327455726321374
2,"ph",9,0.332617036018248
2,"soil_c",9,0.888476879544027
2,"soil_n",9,-0.0920923114925752
2,"soil_p",9,-0.297073435212549
2,"clay_silt",9,-0.05693085385899
5,"ph",9,0.0571552718386189
5,"soil_c",9,0.345694515538737
5,"soil_n",9,-0.743855673163759
5,"soil_p",9,0.546604761334943
5,"clay_silt",9,-0.158526178328857
4,"ph",9,-0.0956979559159121
4,"soil_c",9,-0.278948772656752
4,"soil_n",9,0.482590309249621
4,"soil_p",9,0.194358934005828
4,"clay_silt",9,-0.80147406798803
1,"ph",10,-0.949460882595993
1,"soil_c",10,0.302850723285446
1,"soil_n",10,-0.0769377133493998
1,"soil_p",10,0.0219561986865422
1,"clay_silt",10,0.0200993887798285
3,"ph",10,-0.0127623729687457
3,"soil_c",10,-0.582506175750385
3,"soil_n",10,0.439460772828311
3,"soil_p",10,0.665586993778548
3,"clay_silt",10,0.156178935541405
2,"ph",10,0.477967843331207
2,"soil_c",10,0.843860309558636
2,"soil_n",10,0.221944933152797
2,"soil_p",10,-0.0908357004467923
2,"clay_silt",10,0.043998191611234
5,"ph",10,0.0743311559529574
5,"soil_c",10,0.422259293866885
5,"soil_n",10,-0.768799996356504
5,"soil_p",10,0.472915077084702
5,"clay_silt",10,-0.0383387984416119
4,"ph",10,-0.119863681790436
4,"soil_c",10,-0.201248660836541
4,"soil_n",10,0.247408791537975
4,"soil_p",10,0.284041701153121
4,"clay_silt",10,-0.896237064718314
1,"ph",11,-0.942030182099936
1,"soil_c",11,0.309056338901405
1,"soil_n",11,-0.117746173721055
1,"soil_p",11,0.00961719682690092
1,"clay_silt",11,0.0557374514744431
3,"ph",11,0.256744831747885
3,"soil_c",11,-0.178480174271112
3,"soil_n",11,0.641559010852564
3,"soil_p",11,0.637011050435541
3,"clay_silt",11,0.291283154301434
2,"ph",11,0.337911411846579
2,"soil_c",11,0.862213673753381
2,"soil_n",11,-0.0332142652189406
2,"soil_p",11,-0.363696948238414
2,"clay_silt",11,-0.0949989524393815
5,"ph",11,0.0561937220994544
5,"soil_c",11,0.358253398305526
5,"soil_n",11,-0.66174393197967
5,"soil_p",11,0.581988916285844
5,"clay_silt",11,-0.303118191482575
4,"ph",11,-0.155586351624861
4,"soil_c",11,-0.399590102752749
4,"soil_n",11,0.601749342534336
4,"soil_p",11,0.0342143235641864
4,"clay_silt",11,-0.672939630124911
1,"ph",12,-0.948459496049784
1,"soil_c",12,0.304180322190572
1,"soil_n",12,-0.0829412485921782
1,"soil_p",12,0.0163369336803665
1,"clay_silt",12,0.0274366511244372
3,"ph",12,-0.432764963264597
3,"soil_c",12,-0.86512525591537
3,"soil_n",12,-0.137296069766832
3,"soil_p",12,0.211617194884314
3,"clay_silt",12,-0.0253126490876318
2,"ph",12,-0.0570548917996215
2,"soil_c",12,0.496023514899979
2,"soil_n",12,-0.565752596624942
2,"soil_p",12,-0.620205832601358
2,"clay_silt",12,-0.214415803072896
5,"ph",12,0.0880095018643205
5,"soil_c",12,0.407589937957293
5,"soil_n",12,-0.75130502463681
5,"soil_p",12,0.511437610691495
5,"clay_silt",12,-0.00985395266997046
4,"ph",12,-0.103356243753923
4,"soil_c",12,-0.183057375120039
4,"soil_n",12,0.245966862700378
4,"soil_p",12,0.337272808634323
4,"clay_silt",12,-0.884055902814121
1,"ph",13,-0.942632640536704
1,"soil_c",13,0.303406195848394
1,"soil_n",13,-0.126623646942812
1,"soil_p",13,0.0547959219374167
1,"clay_silt",13,0.0187681722481878
3,"ph",13,0.44468263943415
3,"soil_c",13,0.307413124964245
3,"soil_n",13,0.62079358484127
3,"soil_p",13,0.490554510705338
3,"clay_silt",13,0.285877802272521
2,"ph",13,0.212570641191692
2,"soil_c",13,0.824086633472554
2,"soil_n",13,-0.25632702449998
2,"soil_p",13,-0.454274388943983
2,"clay_silt",13,-0.0602177639553671
5,"ph",13,0.0941329404182826
5,"soil_c",13,0.39445085333162
5,"soil_n",13,-0.760688537191731
5,"soil_p",13,0.506800420350869
5,"clay_silt",13,-0.00733465414674114
4,"ph",13,-0.0763780712197675
4,"soil_c",13,-0.106326130565322
4,"soil_n",13,0.237931801762629
4,"soil_p",13,0.294346768902173
4,"clay_silt",13,-0.91630212350654
1,"ph",14,-0.953104231618221
1,"soil_c",14,0.282635136968924
1,"soil_n",14,-0.0937238494463997
1,"soil_p",14,0.0156767287465435
1,"clay_silt",14,0.0517666228640967
3,"ph",14,-0.494096861295067
3,"soil_c",14,-0.787014486974953
3,"soil_n",14,-0.350310017165134
3,"soil_p",14,-0.0645324323223944
3,"clay_silt",14,-0.0979537952416046
2,"ph",14,0.0764719878053673
2,"soil_c",14,0.696074826497368
2,"soil_n",14,-0.436691662086573
2,"soil_p",14,-0.518193805380242
2,"clay_silt",14,-0.224516020202046
5,"ph",14,0.0359079431902811
5,"soil_c",14,0.282596916160854
5,"soil_n",14,-0.6201609217376
5,"soil_p",14,0.644188992010738
5,"clay_silt",14,-0.345355724310424
4,"ph",14,-0.137525702356419
4,"soil_c",14,-0.416652433529149
4,"soil_n",14,0.642289033066986
4,"soil_p",14,-0.0284057705793391
4,"clay_silt",14,-0.62780995613743
1,"ph",15,-0.961795952928525
1,"soil_c",15,0.25358106964171
1,"soil_n",15,-0.09375636261327
1,"soil_p",15,0.0362589917266051
1,"clay_silt",15,0.023242548013828
3,"ph",15,0.410698098802794
3,"soil_c",15,0.231591255951931
3,"soil_n",15,0.592251715487926
3,"soil_p",15,0.576590620883726
3,"clay_silt",15,0.30736578081645
2,"ph",15,0.231246366090025
2,"soil_c",15,0.839237348758863
2,"soil_n",15,-0.203315531416008
2,"soil_p",15,-0.435294185844304
2,"clay_silt",15,-0.106712497269641
5,"ph",15,0.0535979294165756
5,"soil_c",15,0.372791257931729
5,"soil_n",15,-0.749564431269658
5,"soil_p",15,0.529898972887619
5,"clay_silt",15,-0.124555938758355
4,"ph",15,-0.122182448628619
4,"soil_c",15,-0.247918391332123
4,"soil_n",15,0.419618233315073
4,"soil_p",15,0.237238584411154
4,"clay_silt",15,-0.831412240000432
