fold,j,evr,method,split
1,1,0.05779881908418645,CCA,train
1,1,0.05108684838039573,CCA,test
1,1,0.0878986241297428,PCA,train
1,1,0.07117319515853132,PCA,test
1,2,0.07537089180295936,CCA,train
1,2,0.07542242405797664,CCA,test
1,2,0.15016030911625536,PCA,train
1,2,0.09270616017082413,PCA,test
1,3,0.10571151666164784,CCA,train
1,3,0.08233632093314253,CCA,test
1,3,0.1990764651453589,PCA,train
1,3,0.14738996066448173,PCA,test
1,4,0.1183808012872457,CCA,train
1,4,0.08790936416573772,CCA,test
1,4,0.24091889661544302,PCA,train
1,4,0.1669152797484671,PCA,test
2,1,0.058104636926979966,CCA,train
2,1,0.04661830391561378,CCA,test
2,1,0.08439649883093205,PCA,train
2,1,0.09773600883298911,PCA,test
2,2,0.08308702893427716,CCA,train
2,2,0.06341422458693576,CCA,test
2,2,0.14386357833982327,PCA,train
2,2,0.14716385569896814,PCA,test
2,3,0.10921524233726311,CCA,train
2,3,0.08542297373397569,CCA,test
2,3,0.19426065801461853,PCA,train
2,3,0.18394885149287596,PCA,test
2,4,0.1225751146215561,CCA,train
2,4,0.09650357168400268,CCA,test
2,4,0.23760257960147999,PCA,train
2,4,0.19504592846730448,PCA,test
3,1,0.05727083060484528,CCA,train
3,1,0.053388477553913925,CCA,test
3,1,0.08605767486415189,PCA,train
3,1,0.08586476739462921,PCA,test
3,2,0.07761451653417475,CCA,train
3,2,0.060457212053557356,CCA,test
3,2,0.14860057648888644,PCA,train
3,2,0.1059782210293975,PCA,test
3,3,0.10698149447692325,CCA,train
3,3,0.0768183747546604,CCA,test
3,3,0.1948341615514215,PCA,train
3,3,0.17557612395644265,PCA,test
3,4,0.11751892847993538,CCA,train
3,4,0.088422431010492,CCA,test
3,4,0.2374024411218259,PCA,train
3,4,0.18884831568123966,PCA,test
4,1,0.057740992968139344,CCA,train
4,1,0.04767878660805001,CCA,test
4,1,0.08716343322661442,PCA,train
4,1,0.0781808801082043,PCA,test
4,2,0.07796474400793459,CCA,train
4,2,0.06734974315777742,CCA,test
4,2,0.14573648766805836,PCA,train
4,2,0.1348797204097177,PCA,test
4,3,0.10396174462063432,CCA,train
4,3,0.07744839833057007,CCA,test
4,3,0.19544976775630005,PCA,train
4,3,0.1752911415424244,PCA,test
4,4,0.1175845194345073,CCA,train
4,4,0.082333071439801,CCA,test
4,4,0.23885603209264042,PCA,train
4,4,0.18149982977571338,PCA,test
5,1,0.058233416881551744,CCA,train
5,1,0.07700517758627239,CCA,test
5,1,0.08919451336190606,PCA,train
5,1,0.05514833020076305,PCA,test
5,2,0.07771736233667013,CCA,train
5,2,0.08864474811241409,CCA,test
5,2,0.14952778452810692,PCA,train
5,2,0.1014113226749478,PCA,test
5,3,0.10854391147617415,CCA,train
5,3,0.10727953325567745,CCA,test
5,3,0.20111625716828524,PCA,train
5,3,0.12131883072636632,PCA,test
5,4,0.12114648569520242,CCA,train
5,4,0.11093310645353405,CCA,test
5,4,0.24304054228256639,PCA,train
5,4,0.14122094463188684,PCA,test
6,1,0.05953606399407168,CCA,train
6,1,0.03377979781535113,CCA,test
6,1,0.08659825357814138,PCA,train
6,1,0.05693302205681643,PCA,test
6,2,0.07856125607197598,CCA,train
6,2,0.04457624422851002,CCA,test
6,2,0.1458079215078844,PCA,train
6,2,0.10771810060676036,PCA,test
6,3,0.10927668060074593,CCA,train
6,3,0.06412160582642541,CCA,test
6,3,0.19949098678795418,PCA,train
6,3,0.12111641346009278,PCA,test
6,4,0.1216489102487903,CCA,train
6,4,0.06890317125829293,CCA,test
6,4,0.23853713001156357,PCA,train
6,4,0.1372574452317714,PCA,test
7,1,0.05775523697705036,CCA,train
7,1,0.05661887293518188,CCA,test
7,1,0.08816670393169289,PCA,train
7,1,0.05843573190571274,PCA,test
7,2,0.07826933651889366,CCA,train
7,2,0.06705674764952886,CCA,test
7,2,0.14860222447734478,PCA,train
7,2,0.10350617591967562,PCA,test
7,3,0.10683689956699197,CCA,train
7,3,0.07583457311089695,CCA,test
7,3,0.19663136560779612,PCA,train
7,3,0.15787856546228868,PCA,test
7,4,0.12062071982981538,CCA,train
7,4,0.0812437847822757,CCA,test
7,4,0.23936415737553385,PCA,train
7,4,0.1716458192321998,PCA,test
8,1,0.057553046481877985,CCA,train
8,1,0.05270955726102495,CCA,test
8,1,0.08988396662424603,PCA,train
8,1,0.046492828695863866,PCA,test
8,2,0.0809659829132663,CCA,train
8,2,0.06919321538626905,CCA,test
8,2,0.15089585411609338,PCA,train
8,2,0.08437123171389792,PCA,test
8,3,0.10775743353468342,CCA,train
8,3,0.07934698533178272,CCA,test
8,3,0.20161829243517773,PCA,train
8,3,0.11215251740098797,PCA,test
8,4,0.11932512427666553,CCA,train
8,4,0.08475016968636959,CCA,test
8,4,0.24354962144471828,PCA,train
8,4,0.1337210971048658,PCA,test
9,1,0.05985169626950442,CCA,train
9,1,0.02075446042078607,CCA,test
9,1,0.09014883944990168,PCA,train
9,1,0.03526003663233674,PCA,test
9,2,0.07943332531741619,CCA,train
9,2,0.02764254289857659,CCA,test
9,2,0.15016350625869027,PCA,train
9,2,0.08425999634941606,PCA,test
9,3,0.10702314477388436,CCA,train
9,3,0.06596057899704423,CCA,test
9,3,0.20097814812892642,PCA,train
9,3,0.10823757380289939,PCA,test
9,4,0.11803251678203062,CCA,train
9,4,0.07863739288612823,CCA,test
9,4,0.2421963853356608,PCA,train
9,4,0.13595179265654805,PCA,test
10,1,0.05718899402906671,CCA,train
10,1,0.052737395074346244,CCA,test
10,1,0.08946616025146811,PCA,train
10,1,0.04946824909254529,PCA,test
10,2,0.07502732505829914,CCA,train
10,2,0.06500633412138314,CCA,test
10,2,0.14966327411152655,PCA,train
10,2,0.09674599188183126,PCA,test
10,3,0.10441587192529009,CCA,train
10,3,0.09432695616162129,CCA,test
10,3,0.20134356805115855,PCA,train
10,3,0.11258218195147954,PCA,test
10,4,0.11648939390020559,CCA,train
10,4,0.099943153456603,CCA,test
10,4,0.2427408869902838,PCA,train
10,4,0.13671780267414302,PCA,test
11,1,0.05793028068495494,CCA,train
11,1,0.06287642132177075,CCA,test
11,1,0.09050123736213099,PCA,train
11,1,0.03998943021556911,PCA,test
11,2,0.07676364012996116,CCA,train
11,2,0.0826024760419141,CCA,test
11,2,0.15255111625517537,PCA,train
11,2,0.06425849327979978,PCA,test
11,3,0.10698023062949082,CCA,train
11,3,0.09125827543038821,CCA,test
11,3,0.2038920069085027,PCA,train
11,3,0.08893918421549477,PCA,test
11,4,0.11915703828483314,CCA,train
11,4,0.09939848889240623,CCA,test
11,4,0.2458514022220266,PCA,train
11,4,0.1088611320153105,PCA,test
12,1,0.05884554406543342,CCA,train
12,1,0.03327197576259225,CCA,test
12,1,0.09007210214674523,PCA,train
12,1,0.04289855621702134,PCA,test
12,2,0.08807390697879128,CCA,train
12,2,0.07061566592402217,CCA,test
12,2,0.1504348829420206,PCA,train
12,2,0.08622096979930789,PCA,test
12,3,0.10681714895521544,CCA,train
12,3,0.07848717487273836,CCA,test
12,3,0.19981810738753522,PCA,train
12,3,0.12926106854714045,PCA,test
12,4,0.11870263294140287,CCA,train
12,4,0.08736106993582268,CCA,test
12,4,0.2414669119274472,PCA,train
12,4,0.15134046062525958,PCA,test
13,1,0.05560702347142981,CCA,train
13,1,0.09243999861309368,CCA,test
13,1,0.08854054006147803,PCA,train
13,1,0.05913359867156707,PCA,test
13,2,0.07759796036766278,CCA,train
13,2,0.11139253358446209,CCA,test
13,2,0.1488586297891586,PCA,train
13,2,0.1025510505702521,PCA,test
13,3,0.1037851444529197,CCA,train
13,3,0.131374892456822,CCA,test
13,3,0.19893396489964407,PCA,train
13,3,0.14400840609178958,PCA,test
13,4,0.11607023069093166,CCA,train
13,4,0.13940998679560196,CCA,test
13,4,0.2400245055862039,PCA,train
13,4,0.1761107752755234,PCA,test
14,1,0.05888812810508175,CCA,train
14,1,0.040205667032089554,CCA,test
14,1,0.09076790778809957,PCA,train
14,1,0.025437619261073904,PCA,test
14,2,0.08696608001221569,CCA,train
14,2,0.05728734697961381,CCA,test
14,2,0.15099882237920065,PCA,train
14,2,0.07024271019443919,PCA,test
14,3,0.10681380232920999,CCA,train
14,3,0.07519356565931988,CCA,test
14,3,0.20217719585160085,PCA,train
14,3,0.0911457848406615,PCA,test
14,4,0.12041823455049586,CCA,train
14,4,0.0862712454950323,CCA,test
14,4,0.244352894649762,PCA,train
14,4,0.10128506348434574,PCA,test
15,1,0.057351953200019665,CCA,train
15,1,0.07503915079015352,CCA,test
15,1,0.08848292235061767,PCA,train
15,1,0.05239824809535032,PCA,test
15,2,0.07851991798740379,CCA,train
15,2,0.0916212566560954,CCA,test
15,2,0.14890344610770478,PCA,train
15,2,0.08935422519600913,PCA,test
15,3,0.10439611779331583,CCA,train
15,3,0.10937327481633656,CCA,test
15,3,0.19910873048154104,PCA,train
15,3,0.11900118669304834,PCA,test
15,4,0.11609296215294249,CCA,train
15,4,0.12662759210431238,CCA,test
15,4,0.23996636813688565,PCA,train
15,4,0.15183250952413874,PCA,test
