"canonical_direction","var","fold","value"
1,"01-FULL-45-34b",1,0.00126256424578135
1,"1-14-0-10-45-34",1,0.0504037133901245
1,"12-FULL-43-12b",1,0.0238961363574603
1,"17J80-11",1,-0.00257130576312821
1,"2-01-FULL-37-20",1,0.0106625440688272
1,"2-01-FULL-39-28",1,4.71361441365064e-05
1,"2-01-FULL-52-15",1,-0.0165492484422909
1,"2-01-FULL-59-12",1,0.0444625055627457
1,"2-02-FULL-47-50",1,-0.0223674824513841
1,"2-02-FULL-49-12",1,-0.0285787169679026
1,"2-02-FULL-58-16",1,0.0619738247497648
1,"2-02-FULL-66-22",1,0.0054137954200825
1,"2-12-FULL-35-15",1,0.0258362791562099
1,"2-12-FULL-50-11",1,-0.00766168213103513
1,"2-12-FULL-60-19",1,0.0106232124292766
1,"20-14-0-80-50-8",1,0.00418543311893435
1,"2011-GWC2-44-17",1,0.0318982462469123
1,"2013-40CM-41-45",1,-0.0136050640849573
1,"20CM-2-65-7",1,0.0142282952426536
1,"21-14-0-10-47-8-A",1,0.0101453946341924
1,"3-1-20CM-2-70-9",1,0.00410908347325215
1,"33-17",1,0.0529754593201937
1,"40CM-3-62-11",1,0.00829930512869673
1,"40CM-4-65-16",1,0.0305882777054608
1,"40CM-4-68-19",1,0.0191360447978537
1,"55-13",1,0.00851452813055804
1,"66-474",1,0.0440079530008676
1,"67-14",1,0.0540640019827897
1,"9FT-COMBO-53-11",1,-0.0144772491831627
1,"AA152",1,0.0144642676444994
1,"AC-14",1,-0.0433624571538855
1,"AC-16",1,-0.00383026491651957
1,"AC-51",1,0.00737217718965917
1,"AC-64",1,0.00421039392378801
1,"AG11",1,-0.0337808830069763
1,"AG29",1,0.0133176937270798
1,"AG41",1,0.00927467169024973
1,"AR12",1,0.0146678972518349
1,"AR9",1,-0.0559008544064199
1,"AV2",1,-0.0245981370329392
1,"AV80",1,6.0816542588e-05
1,"AWTP1-13",1,0.00395008436692866
1,"AWTP1-30",1,-0.061894928385834
1,"AWTP1-31",1,-0.0012533151613396
1,"Abditibacterium",1,-0.0149703154402747
1,"Achromobacter",1,-0.0265986114455885
1,"Acidibrevibacterium",1,0.0607327974742571
1,"Acidicaldus",1,-0.00970549179169263
1,"Acidiferrimicrobium",1,0.0358143294558252
1,"Acidisarcina",1,0.0478546797971091
1,"Acidisoma",1,-0.0113121939055096
1,"Acidisphaera",1,0.0195874765613126
1,"Aciditerrimonas",1,0.010569283641018
1,"Acidocella",1,0.0219545634859373
1,"Acidoferrum",1,0.043788594912658
1,"Acidothermus",1,0.0405828316799594
1,"Acidovorax_F_589733",1,0.00473104152207175
1,"Acinetobacter",1,-0.00155305856847556
1,"Actinacidiphila_394746",1,0.00581579932698277
1,"Actinacidiphila_394807",1,0.0254944402114133
1,"Actinoallomurus",1,0.0443966269595156
1,"Actinocatenispora",1,0.014770255754608
1,"Actinocorallia",1,0.00846368946779935
1,"Actinokineospora_380129",1,-0.00744912089699559
1,"Actinokineospora_380854",1,-0.0497721693402713
1,"Actinomarinicola",1,0.00469308914408063
1,"Actinomycetospora",1,0.0451554221564765
1,"Actinophytocola",1,0.0474684810202931
1,"Actinoplanes",1,0.0366721246945922
1,"Actinopolymorpha",1,0.0329335773385394
1,"Actinorhabdospora",1,0.0105481434920007
1,"Actinospica_394695",1,-0.011177445817182
1,"Actinosynnema_379791",1,0.00418747702848967
1,"Actinosynnema_379856",1,-0.029815148095538
1,"Actinosynnema_379891",1,-0.034231842449987
1,"Actinosynnema_379910",1,0.00611143052216203
1,"Actinotalea",1,0.00674921912267825
1,"Adhaeretor",1,-0.0396446406368267
1,"Adhaeribacter_A",1,-0.027521151364442
1,"Aeoliella",1,0.00868684288730557
1,"Aequorivita",1,-0.0223585254492726
1,"Aeromicrobium",1,0.00758756244867615
1,"Aeromonas",1,-0.0156373715415425
1,"Aestuariisphingobium",1,0.0133314378320672
1,"Aestuariivirga",1,-0.00728141732897736
1,"Aetherobacter",1,-0.0344456896640607
1,"Afifella",1,0.00886268705405254
1,"Afipia",1,0.0112438104890315
1,"Aggregicoccus_463470",1,0.000318703165609007
1,"Agreia",1,-0.00645944351240404
1,"Agrobacterium",1,-0.00861136053500075
1,"Agrococcus",1,0.0134467094390478
1,"Agromyces",1,0.00396192922985456
1,"Ahniella",1,0.00589756104553669
1,"Aldehydirespirator",1,-0.0619208491931016
1,"Aldersonia",1,0.0226208551875196
1,"Alg239-R122",1,-0.00623635138718672
1,"Alicyclobacillus_A_368322",1,-0.00654880517813247
1,"Aliidongia",1,0.0330024508406489
1,"Aliihoeflea",1,-0.0444275033423711
1,"Aliterella",1,-0.0903156330578772
1,"Allocoleopsis",1,-0.0238855915533475
1,"Allokutzneria",1,0.0155220622181823
1,"Allorhizobium_499964",1,-0.0282382317499873
1,"Allosphingosinicella",1,-0.0192209471954597
1,"Alpha-05",1,0.0370855469052819
1,"Alsobacter",1,0.0254257029464239
1,"Alteraurantiacibacter_484829",1,-0.00227815765927084
1,"Alteraurantiacibacter_484852",1,-0.0424380254875543
1,"Alteripontixanthobacter_484948",1,-0.00250870940979558
1,"Alterococcus",1,-0.0669672486257715
1,"Amaricoccus",1,-0.0183625339247859
1,"Aminobacter",1,-0.00492332451418485
1,"Amnibacterium_382409",1,-0.0142989720063042
1,"Amoebophilus",1,-0.0047173613126549
1,"Amycolatopsis_C",1,0.0248963753710674
1,"Amycolatopsis_D_380240",1,0.00475996914335959
1,"Amycolatopsis_D_380245",1,-0.0371741997539144
1,"Amycolatopsis_D_380285",1,0.00479507768310473
1,"Amycolatopsis_D_380313",1,0.00363611047727617
1,"Amycolatopsis_D_380363",1,-0.0481292262840127
