fold,cd,angle
1,1,1.0731162584759932
1,2,1.511982973618385
1,3,1.511099839808719
1,4,1.462504797999249
2,1,1.0408218312565398
2,2,1.5093683171024308
2,3,1.5397964761686596
2,4,1.4551021951179084
3,1,1.070155458498275
3,2,1.5054244754224406
3,3,1.525745297250247
3,4,1.4683559501820684
4,1,1.0690115085628404
4,2,1.5085983772875575
4,3,1.4970060027809364
4,4,1.4754647916389838
5,1,1.0426641232953517
5,2,1.5205416105133265
5,3,1.549398247329731
5,4,1.442693244260648
6,1,1.031616142722153
6,2,1.496587145538289
6,3,1.5406536388535697
6,4,1.4704436625968174
7,1,1.0914549716293396
7,2,1.5233031041076295
7,3,1.5028285588891916
7,4,1.446530682764851
8,1,1.0841403628050923
8,2,1.4915198653774195
8,3,1.5325649094687979
8,4,1.4665487372023835
9,1,1.0359417842389202
9,2,1.492505618182577
9,3,1.5454543652426989
9,4,1.506478100254929
10,1,1.0733609153272983
10,2,1.4756709054190504
10,3,1.5267567353260745
10,4,1.4816235043215404
11,1,1.081866358699246
11,2,1.5014024065729596
11,3,1.5057194294461471
11,4,1.4564740223281094
12,1,1.056514527392077
12,2,1.4833390916837053
12,3,1.542067565164835
12,4,1.4903506354231724
13,1,1.102822623175408
13,2,1.503768735055784
13,3,1.523321259634245
13,4,1.446134724638136
14,1,1.057181898906749
14,2,1.4931306864628295
14,3,1.5279226164857371
14,4,1.4873795322404137
15,1,1.0678883880357906
15,2,1.5059490441089296
15,3,1.5130226407303127
15,4,1.4701756205949723
