"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,1,1e-05,0,1,0.999999999999909,0.868001812111285
15,1,1e-05,0,2,0.99999999999999,0.821824984471911
15,1,1e-05,0,3,0.993042161175171,0.603188992474953
15,1,1e-05,0,4,0.99999999999996,0.818418783102281
15,1,1e-05,0,5,0.999999999999989,0.653274553115851
15,2,1e-05,0,1,0.999999999999887,0.91389178824491
15,2,1e-05,0,2,0.999999999999988,0.379249422530751
15,2,1e-05,0,3,0.992959310801367,0.855478595998922
15,2,1e-05,0,4,0.999999999999977,0.436395664148939
15,2,1e-05,0,5,0.999999999999987,0.566515376853665
15,3,1e-05,0,1,0.999999999999991,0.932695709397955
15,3,1e-05,0,2,0.999999999999991,0.70883816884004
15,3,1e-05,0,3,0.999999999999985,0.202186363895222
15,3,1e-05,0,4,0.999999999999989,0.328631266508764
15,3,1e-05,0,5,0.999999999999989,0.705061552108881
15,4,1e-05,0,1,0.999999999999912,0.881927034351707
15,4,1e-05,0,2,0.99999999999999,0.687588113163483
15,4,1e-05,0,3,0.993079704263818,0.66569723013795
15,4,1e-05,0,4,0.999999999999969,0.799824769457783
15,4,1e-05,0,5,0.999999999999987,0.694484088451676
15,5,1e-05,0,1,0.999999999999894,0.659334474594351
15,5,1e-05,0,2,0.999999999999991,0.526738688464033
15,5,1e-05,0,3,0.993183388948384,0.318464658646974
15,5,1e-05,0,4,0.999999999999971,0.45027110677084
15,5,1e-05,0,5,0.99999999999999,-0.00860173374000902
15,6,1e-05,0,1,0.999999999999939,0.402344981529463
15,6,1e-05,0,2,0.99999999999999,0.851586641589345
15,6,1e-05,0,3,0.992443654114443,0.641103195905545
15,6,1e-05,0,4,0.999999999999979,0.596966140115886
15,6,1e-05,0,5,0.999999999999988,0.288884553168528
15,7,1e-05,0,1,0.999999999999913,0.898250313361014
15,7,1e-05,0,2,0.99999999999999,0.771259847311391
15,7,1e-05,0,3,0.992648672105344,0.856717904756404
15,7,1e-05,0,4,0.999999999999969,0.696561663942352
15,7,1e-05,0,5,0.999999999999987,0.797585127104313
15,8,1e-05,0,1,0.999999999999894,0.948708193826239
15,8,1e-05,0,2,0.999999999999989,0.691697218751994
15,8,1e-05,0,3,0.993171873986312,0.71397264131381
15,8,1e-05,0,4,0.999999999999964,0.827069813076055
15,8,1e-05,0,5,0.999999999999988,0.596053842176926
15,9,1e-05,0,1,0.999999999999893,0.843995906569275
15,9,1e-05,0,2,0.99999999999999,0.648776615826843
15,9,1e-05,0,3,0.993213794823231,0.681507679561322
15,9,1e-05,0,4,0.99999999999997,0.671781052284129
15,9,1e-05,0,5,0.999999999999989,0.862963673089858
