"canonical_direction","var","fold","value"
1,"ph",1,-0.927859172283412
1,"soil_c",1,0.365418847858068
1,"soil_n",1,-0.0467006190146503
1,"soil_p",1,-0.0254954183643159
1,"clay_silt",1,0.0521100553223707
4,"ph",1,0.509036606005009
4,"soil_c",1,0.394545845773345
4,"soil_n",1,0.406811051336869
4,"soil_p",1,0.502661762552075
4,"clay_silt",1,0.408719011434665
2,"ph",1,0.257176301023547
2,"soil_c",1,0.646025681126006
2,"soil_n",1,-0.0305749018308448
2,"soil_p",1,-0.697011809306381
2,"clay_silt",1,0.172484441567941
5,"ph",1,-0.0743558991635809
5,"soil_c",1,-0.460339402686389
5,"soil_n",1,0.824165286577509
5,"soil_p",1,-0.24516487830065
5,"clay_silt",1,-0.207857156341451
3,"ph",1,0.130781828183932
3,"soil_c",1,0.536811993161206
3,"soil_n",1,-0.218008173697199
3,"soil_p",1,0.241806341507088
3,"clay_silt",1,-0.76728816413609
1,"ph",2,-0.929210085700173
1,"soil_c",2,0.351984356760066
1,"soil_n",2,-0.0476304016685635
1,"soil_p",2,0.0379711469305023
1,"clay_silt",2,0.0946845608689927
4,"ph",2,-0.592939906449638
4,"soil_c",2,-0.491608702076479
4,"soil_n",2,-0.45916295423382
4,"soil_p",2,-0.214370710458466
4,"clay_silt",2,-0.387243762169227
2,"ph",2,0.144642908622193
2,"soil_c",2,0.651927878929349
2,"soil_n",2,-0.114794126847479
2,"soil_p",2,-0.730191895451384
2,"clay_silt",2,0.0878098736955692
5,"ph",2,-0.0879417871912867
5,"soil_c",2,-0.18523758902654
5,"soil_n",2,0.659550365008017
5,"soil_p",2,-0.0700022887125089
5,"clay_silt",2,-0.719754314519919
3,"ph",2,0.128527048274033
3,"soil_c",2,0.565810687028205
3,"soil_n",2,-0.66846321420392
3,"soil_p",2,0.373497824457381
3,"clay_silt",2,-0.277480396944366
1,"ph",3,-0.925458230369744
1,"soil_c",3,0.371789424791809
1,"soil_n",3,-0.0603063567117972
1,"soil_p",3,0.0164746105834672
