"canonical_direction","var","fold","value","seed"
2,"ph",1,0.228632308219418,0
2,"soil_c",1,-0.218593571500434,0
2,"soil_n",1,0.267537041753372,0
2,"soil_p",1,0.890699519144648,0
2,"clay_silt",1,0.187142769088981,0
5,"ph",1,0.0200060519310937,0
5,"soil_c",1,-0.576584846261967,0
5,"soil_n",1,0.594891390445056,0
5,"soil_p",1,0.0429526772651872,0
5,"clay_silt",1,-0.558040297861448,0
4,"ph",1,0.158731282321925,0
4,"soil_c",1,0.910413428289568,0
4,"soil_n",1,0.0335699976356536,0
4,"soil_p",1,-0.152628155073117,0
4,"clay_silt",1,-0.348610773126982,0
1,"ph",1,-0.221196762384916,0
1,"soil_c",1,-0.250499339879734,0
1,"soil_n",1,0.761123984969168,0
1,"soil_p",1,-0.45291815495989,0
1,"clay_silt",1,0.322300321815897,0
3,"ph",1,-0.865020344907092,0
3,"soil_c",1,-0.068924522132927,0
3,"soil_n",1,-0.189323270851447,0
3,"soil_p",1,0.376283376556307,0
3,"clay_silt",1,-0.263736104443546,0
2,"ph",2,0.438925520459416,0
2,"soil_c",2,-0.199328328449766,0
2,"soil_n",2,0.0812865066091949,0
2,"soil_p",2,0.813178079376855,0
2,"clay_silt",2,0.315826724694248,0
5,"ph",2,-0.155344494493057,0
5,"soil_c",2,-0.865576524875297,0
5,"soil_n",2,0.448054105602154,0
5,"soil_p",2,0.0656651724231713,0
5,"clay_silt",2,-0.146904633007914,0
4,"ph",2,0.407393556738878,0
4,"soil_c",2,0.0736681774438301,0
4,"soil_n",2,-0.894692760822164,0
4,"soil_p",2,0.065909543685843,0
4,"clay_silt",2,0.154221546300405,0
1,"ph",2,-0.502460910651476,0
1,"soil_c",2,-0.165054943325336,0
1,"soil_n",2,-0.151606727405605,0
1,"soil_p",2,-0.176443789672649,0
1,"clay_silt",2,0.816194148620582,0
3,"ph",2,-0.492172514463692,0
3,"soil_c",2,0.0744425563684977,0
3,"soil_n",2,-0.54445939502797,0
3,"soil_p",2,0.580036939709472,0
3,"clay_silt",2,-0.345464379561856,0
2,"ph",3,0.258886983015365,0
2,"soil_c",3,-0.541543362459345,0
2,"soil_n",3,0.186904514765843,0
2,"soil_p",3,0.71804885693966,0
2,"clay_silt",3,0.298631642679106,0
5,"ph",3,0.210457584175857,0
5,"soil_c",3,-0.173847419630448,0
5,"soil_n",3,0.76646025241311,0
5,"soil_p",3,0.0386781648126338,0
5,"clay_silt",3,-0.580109783565365,0
4,"ph",3,-0.352486884969865,0
4,"soil_c",3,0.61412846855076,0
4,"soil_n",3,0.418602485509466,0
4,"soil_p",3,-0.139985577545562,0
4,"clay_silt",3,0.5511580692,0
1,"ph",3,-0.517511722554089,0
1,"soil_c",3,-0.711528187609453,0
1,"soil_n",3,0.468057164267084,0
1,"soil_p",3,-0.0707633269811962,0
1,"clay_silt",3,-0.0427117991790988,0
3,"ph",3,-0.389779890940763,0
3,"soil_c",3,0.232399818622357,0
3,"soil_n",3,-0.526930113683229,0
3,"soil_p",3,0.605140676240164,0
3,"clay_silt",3,-0.387571126602433,0
2,"ph",4,0.297170715007436,0
2,"soil_c",4,-0.0660160177158547,0
2,"soil_n",4,0.117545200742472,0
2,"soil_p",4,0.815992546186344,0
2,"clay_silt",4,0.477148553280474,0
5,"ph",4,0.140779217008004,0
5,"soil_c",4,-0.661247269487767,0
5,"soil_n",4,0.581383762887104,0
5,"soil_p",4,0.171944081551654,0
5,"clay_silt",4,-0.41876176249053,0
4,"ph",4,0.152171155355877,0
4,"soil_c",4,0.786015525168548,0
4,"soil_n",4,0.372888020276626,0
4,"soil_p",4,-0.158679093340451,0
4,"clay_silt",4,-0.441360400741275,0
1,"ph",4,-0.45097984026986,0
1,"soil_c",4,-0.418990905601674,0
1,"soil_n",4,0.690100228337363,0
1,"soil_p",4,-0.296114418236286,0
1,"clay_silt",4,0.239043366054293,0
3,"ph",4,-0.630931522470897,0
3,"soil_c",4,-0.0231568195044782,0
3,"soil_n",4,-0.334842769317867,0
3,"soil_p",4,0.569913765489383,0
3,"clay_silt",4,-0.405546292553942,0
2,"ph",5,0.340372924342955,0
2,"soil_c",5,-0.302761339701634,0
2,"soil_n",5,0.463948673673537,0
2,"soil_p",5,0.732782981520062,0
2,"clay_silt",5,0.200655360624708,0
5,"ph",5,-0.0771019594914738,0
5,"soil_c",5,-0.827947655145744,0
5,"soil_n",5,0.467506460620966,0
5,"soil_p",5,0.0524084102359375,0
5,"clay_silt",5,-0.295379477952412,0
4,"ph",5,0.339884150360314,0
4,"soil_c",5,0.450049622176297,0
4,"soil_n",5,0.220906073795412,0
4,"soil_p",5,-0.000288171336932569,0
4,"clay_silt",5,-0.795697508749648,0
1,"ph",5,-0.607038990350691,0
1,"soil_c",5,-0.20273969619018,0
1,"soil_n",5,0.72714397801236,0
1,"soil_p",5,-0.244920672620182,0
1,"clay_silt",5,-0.0409362815405252,0
3,"ph",5,-0.453613171004775,0
3,"soil_c",5,0.0429498833781936,0
3,"soil_n",5,-0.553257853573723,0
3,"soil_p",5,0.622900518165413,0
3,"clay_silt",5,-0.313514099423055,0
2,"ph",6,0.317735670081349,0
2,"soil_c",6,-0.192716858330303,0
2,"soil_n",6,0.254222700622261,0
2,"soil_p",6,0.777832008813426,0
2,"clay_silt",6,0.438466008975437,0
5,"ph",6,-0.156060441998511,0
5,"soil_c",6,-0.917280684786034,0
5,"soil_n",6,0.33565136857674,0
5,"soil_p",6,0.115563995999463,0
5,"clay_silt",6,-0.0906885073363317,0
4,"ph",6,0.158677504269065,0
4,"soil_c",6,-0.0879100400295798,0
4,"soil_n",6,0.730093675159716,0
4,"soil_p",6,0.0186670385641685,0
4,"clay_silt",6,-0.658565138512479,0
1,"ph",6,-0.466821250000167,0
